#>P	ENSMUSG00000026923	ENSMUST00000028288	ENSMUSP00000028288	2	26459534	26503558	-1	notch 1 [Source:MGI Symbol;Acc:MGI:97363]
#>E	ENSMUSE00000748052,ENSMUSE00000568958,ENSMUSE00000568959,ENSMUSE00000164307,ENSMUSE00000164271,ENSMUSE00000164280,ENSMUSE00000164305,ENSMUSE00001289205,ENSMUSE00000164284,ENSMUSE00000164285,ENSMUSE00000164306,ENSMUSE00000164295,ENSMUSE00000164291,ENSMUSE00000164290,ENSMUSE00000164283,ENSMUSE00001266499,ENSMUSE00000164288,ENSMUSE00000164304,ENSMUSE00000164276,ENSMUSE00000164301,ENSMUSE00000164302,ENSMUSE00000662974,ENSMUSE00000662975,ENSMUSE00000164277,ENSMUSE00000164308,ENSMUSE00000164282,ENSMUSE00000164293,ENSMUSE00000568972,ENSMUSE00000568973,ENSMUSE00000568974,ENSMUSE00000164287,ENSMUSE00000164298,ENSMUSE00000164286,ENSMUSE00000842070	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	26459531-26460976,26462148-26462245,26462342-26462489,26463710-26464005,26464806-26464971,26465063-26465150,26465350-26465566,26466467-26466615,26467629-26468030,26468232-26468803,26469605-26469717,26469801-26470058,26470274-26470406,26470822-26471006,26471152-26471305,26472071-26472272,26472784-26473012,26473681-26473833,26474121-26474240,26476074-26476187,26476348-26476493,26476947-26477139,26477880-26477990,26478070-26478303,26478607-26478720,26479447-26479560,26479871-26480056,26480224-26480379,26480974-26481207,26481571-26481693,26484268-26484606,26485187-26485449,26501881-26501959,26503498-26503558
2	26459582	26459764	-1	DUF3454_notch	90.3	26459582-26459764	PF11936	http://pfam.sanger.ac.uk/family?acc=PF11936
2	26465547	26467633	-1	Notch_NODP_dom	81.4	26465547-26465566,26466467-26466615,26467629-26467633	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
2	26481086	26481190	-1	EGF-like_Ca-bd_dom	181.5	26481086-26481190	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	26479977	26480245	-1	EGF-like_Ca-bd_dom	181.5	26479977-26480056,26480224-26480245	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	26484380	26484478	-1	EGF-like_Ca-bd_dom	181.5	26484380-26484478	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	26479553	26479958	-1	EGF-like_Ca-bd_dom	181.5	26479553-26479560,26479871-26479958	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	26473715	26473816	-1	EGF-like_Ca-bd_dom	181.5	26473715-26473816	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	26460890	26462429	-1	Ankyrin_rpt-contain_dom	97.8	26460890-26460976,26462148-26462245,26462342-26462429	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	26462457	26463910	-1	Ankyrin_rpt-contain_dom	97.8	26462457-26462489,26463710-26463910	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	26467754	26467921	-1	Notch_NOD_dom	87.7	26467754-26467921	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
2	26468252	26468359	-1	Notch_dom	92.1	26468252-26468359	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
2	26468378	26468479	-1	Notch_dom	92.1	26468378-26468479	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
2	26467934	26468239	-1	Notch_dom	92.1	26467934-26468030,26468232-26468239	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
2	26469913	26469996	-1	EGF-like_dom	648.1	26469913-26469996	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26472816	26472908	-1	EGF-like_dom	648.1	26472816-26472908	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26481680	26484346	-1	EGF-like_dom	648.1	26481680-26481693,26484268-26484346	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26485302	26485403	-1	EGF-like_dom	648.1	26485302-26485403	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26476457	26476996	-1	EGF-like_dom	648.1	26476457-26476493,26476947-26476996	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26472933	26473690	-1	EGF-like_dom	648.1	26472933-26473012,26473681-26473690	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26471201	26471290	-1	EGF-like_dom	648.1	26471201-26471290	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26470909	26470986	-1	EGF-like_dom	648.1	26470909-26470986	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26478179	26478265	-1	EGF-like_dom	648.1	26478179-26478265	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26478290	26478682	-1	EGF-like_dom	648.1	26478290-26478303,26478607-26478682	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26478710	26479522	-1	EGF-like_dom	648.1	26478710-26478720,26479447-26479522	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26476180	26476432	-1	EGF-like_dom	648.1	26476180-26476187,26476348-26476432	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26470380	26470887	-1	EGF-like_dom	648.1	26470380-26470406,26470822-26470887	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26484488	26484580	-1	EGF-like_dom	648.1	26484488-26484580	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26481203	26481655	-1	EGF-like_dom	648.1	26481203-26481207,26481571-26481655	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26484602	26485274	-1	EGF-like_dom	648.1	26484602-26484606,26485187-26485274	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26470057	26470358	-1	EGF-like_dom	648.1	26470057-26470058,26470274-26470358	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26477135	26477961	-1	EGF-like_dom	648.1	26477135-26477139,26477880-26477961	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26472080	26472169	-1	EGF-like_dom	648.1	26472080-26472169	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26472191	26472794	-1	EGF-like_dom	648.1	26472191-26472272,26472784-26472794	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
2	26477983	26478154	-1	EGF-like_dom	648.1	26477983-26477990,26478070-26478154	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
