#>P	ENSMUSG00000047497	ENSMUST00000061318	ENSMUSP00000057796	15	11065031	11345674	1	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 12 [Source:MGI Symbol;Acc:MGI:2146046]
#>E	ENSMUSE00000872412,ENSMUSE00000476633,ENSMUSE00000477831,ENSMUSE00000478855,ENSMUSE00000480115,ENSMUSE00000481409,ENSMUSE00000500225,ENSMUSE00000502293,ENSMUSE00000503793,ENSMUSE00000499175,ENSMUSE00000491723,ENSMUSE00000494085,ENSMUSE00000496643,ENSMUSE00000497733,ENSMUSE00000516563,ENSMUSE00000517488,ENSMUSE00000511854,ENSMUSE00000124917,ENSMUSE00000341580,ENSMUSE00000266780,ENSMUSE00000266813,ENSMUSE00000468041,ENSMUSE00000469124,ENSMUSE00000508958	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	11065031-11065157,11071499-11071866,11151921-11152071,11215541-11215737,11217802-11217885,11237534-11237658,11241396-11241545,11255549-11255692,11256909-11257053,11258096-11258188,11258956-11259101,11263284-11263453,11270561-11270694,11277336-11277456,11285862-11286106,11286711-11286849,11292010-11292136,11299895-11300105,11310536-11311645,11317203-11317355,11327679-11327858,11331718-11331861,11336295-11336454,11345499-11345677
15	11215642	11256942	1	Peptidase_M12B	91.7	11215642-11215737,11217802-11217885,11237534-11237658,11241396-11241545,11255549-11255692,11256909-11256942	PF01421	http://pfam.sanger.ac.uk/family?acc=PF01421
15	11071528	11152016	1	Peptidase_M12B_N	106.6	11071528-11071866,11151921-11152016	PF01562	http://pfam.sanger.ac.uk/family?acc=PF01562
15	11299905	11299997	1	TSP1_rpt	127.4	11299905-11299997	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11331844	11336441	1	TSP1_rpt	127.4	11331844-11331861,11336295-11336441	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11311631	11317325	1	TSP1_rpt	127.4	11311631-11311645,11317203-11317325	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11317341	11327729	1	TSP1_rpt	127.4	11317341-11317355,11327679-11327729	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11327844	11331831	1	TSP1_rpt	127.4	11327844-11327858,11331718-11331831	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11300091	11310658	1	TSP1_rpt	127.4	11300091-11300105,11310536-11310658	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11286810	11292128	1	TSP1_rpt	127.4	11286810-11286849,11292010-11292128	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11259022	11263353	1	TSP1_rpt	127.4	11259022-11259101,11263284-11263353	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
15	11277417	11286758	1	ADAM_spacer1	116.3	11277417-11277456,11285862-11286106,11286711-11286758	PF05986	http://pfam.sanger.ac.uk/family?acc=PF05986
