#>P	ENSMUSG00000031543	ENSMUST00000121802	ENSMUSP00000113571	8	22975136	23141691	1	ankyrin 1, erythroid [Source:MGI Symbol;Acc:MGI:88024]
#>E	ENSMUSE00000715390,ENSMUSE00001029992,ENSMUSE00001028344,ENSMUSE00001057594,ENSMUSE00000995112,ENSMUSE00001085956,ENSMUSE00000968721,ENSMUSE00000991788,ENSMUSE00001013605,ENSMUSE00000998298,ENSMUSE00001020833,ENSMUSE00000637812,ENSMUSE00000637810,ENSMUSE00000637809,ENSMUSE00000637808,ENSMUSE00001263762,ENSMUSE00001308597,ENSMUSE00001257588,ENSMUSE00001246546,ENSMUSE00001293559,ENSMUSE00001236061,ENSMUSE00001290538,ENSMUSE00001240973,ENSMUSE00001229504,ENSMUSE00001288395,ENSMUSE00001214988,ENSMUSE00001296345,ENSMUSE00001206407,ENSMUSE00001311330,ENSMUSE00001262961,ENSMUSE00001225393,ENSMUSE00001304461,ENSMUSE00001210162,ENSMUSE00001300045,ENSMUSE00001302741,ENSMUSE00001251448,ENSMUSE00001299888,ENSMUSE00001265259,ENSMUSE00001242558,ENSMUSE00001278340,ENSMUSE00001300489,ENSMUSE00001310015,ENSMUSE00001249736	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	22975136-22975261,23064952-23065053,23082193-23082291,23084719-23084817,23085579-23085677,23086919-23087104,23087960-23088058,23088560-23088658,23088935-23089033,23093804-23094001,23095212-23095310,23096098-23096196,23096748-23096846,23097846-23098043,23098921-23099019,23099598-23099696,23104790-23104987,23106032-23106130,23107882-23107980,23108176-23108274,23109248-23109340,23109657-23109729,23110347-23110370,23111360-23111456,23111810-23111888,23113764-23113861,23113946-23114170,23114781-23114935,23115356-23115567,23116044-23116248,23116557-23116653,23116837-23117065,23119062-23119187,23119314-23119433,23120535-23120613,23120900-23120974,23122769-23122900,23123832-23123978,23132097-23132634,23135558-23135834,23140145-23140228,23141164-23141229,23141596-23141694
8	23113953	23114856	1	ZU5_dom	114.9	23113953-23114170,23114781-23114856	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
8	23120926	23123893	1	Death_domain	95.9	23120926-23120974,23122769-23122900,23123832-23123893	PF00531	http://pfam.sanger.ac.uk/family?acc=PF00531
8	23099017	23104876	1	Ankyrin_rpt-contain_dom	498.5	23099017-23099019,23099598-23099696,23104790-23104876	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23096754	23097935	1	Ankyrin_rpt-contain_dom	498.5	23096754-23096846,23097846-23097935	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23097948	23099010	1	Ankyrin_rpt-contain_dom	498.5	23097948-23098043,23098921-23099010	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23089031	23093995	1	Ankyrin_rpt-contain_dom	498.5	23089031-23089033,23093804-23093995	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23095212	23096190	1	Ankyrin_rpt-contain_dom	498.5	23095212-23095310,23096098-23096190	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23085579	23086996	1	Ankyrin_rpt-contain_dom	498.5	23085579-23085677,23086919-23086996	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23064976	23084811	1	Ankyrin_rpt-contain_dom	498.5	23064976-23065053,23082193-23082291,23084719-23084811	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23104904	23107974	1	Ankyrin_rpt-contain_dom	498.5	23104904-23104987,23106032-23106130,23107882-23107974	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	23088041	23089027	1	Ankyrin_rpt-contain_dom	498.5	23088041-23088058,23088560-23088658,23088935-23089027	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
