#>P	ENSMUSG00000005198	ENSMUST00000058470	ENSMUSP00000050771	11	69734413	69758223	-1	polymerase (RNA) II (DNA directed) polypeptide A [Source:MGI Symbol;Acc:MGI:98086]
#>E	ENSMUSE00000824897,ENSMUSE00000111749,ENSMUSE00000111766,ENSMUSE00000111759,ENSMUSE00000111769,ENSMUSE00000111751,ENSMUSE00000111753,ENSMUSE00000111763,ENSMUSE00000111760,ENSMUSE00000111758,ENSMUSE00000111756,ENSMUSE00000111773,ENSMUSE00000111754,ENSMUSE00000111762,ENSMUSE00000111775,ENSMUSE00000111768,ENSMUSE00000111767,ENSMUSE00000111779,ENSMUSE00000328838,ENSMUSE00000111761,ENSMUSE00000393326,ENSMUSE00000111757,ENSMUSE00000111750,ENSMUSE00000111778,ENSMUSE00000111771,ENSMUSE00000328888,ENSMUSE00000328897,ENSMUSE00000111772,ENSMUSE00000651680	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	69734410-69735566,69735650-69735799,69735901-69736014,69736139-69736325,69736775-69736978,69737182-69737364,69737448-69737552,69739427-69739527,69739879-69740125,69740257-69740481,69740999-69741204,69741637-69741742,69741841-69742012,69742374-69742557,69742687-69742909,69743254-69743457,69743591-69743685,69743803-69743971,69744051-69744260,69744597-69744807,69744920-69745044,69745569-69745701,69745922-69746142,69746267-69746428,69746698-69746979,69747105-69747278,69747376-69747512,69747981-69748113,69758131-69758223
11	69736805	69742771	-1	RNA_pol_Rpb1_5	335.7	69736805-69736978,69737182-69737364,69737448-69737552,69739427-69739527,69739879-69740125,69740257-69740481,69740999-69741204,69741637-69741742,69741841-69742012,69742374-69742557,69742687-69742771	PF04998	http://pfam.sanger.ac.uk/family?acc=PF04998
11	69746062	69758178	-1	RNA_pol_Rpb1_1	364.7	69746062-69746142,69746267-69746428,69746698-69746979,69747105-69747278,69747376-69747512,69747981-69748113,69758131-69758178	PF04997	http://pfam.sanger.ac.uk/family?acc=PF04997
11	69742790	69743451	-1	RNA_pol_Rpb1_4	130.4	69742790-69742909,69743254-69743451	PF05000	http://pfam.sanger.ac.uk/family?acc=PF05000
11	69743663	69744695	-1	RNA_pol_Rpb1_3	171.5	69743663-69743685,69743803-69743971,69744051-69744260,69744597-69744695	PF04983	http://pfam.sanger.ac.uk/family?acc=PF04983
11	69741002	69742444	-1	RNA_pol_Rpb1_6	228.1	69741002-69741204,69741637-69741742,69741841-69742012,69742374-69742444	PF04992	http://pfam.sanger.ac.uk/family?acc=PF04992
11	69744705	69746058	-1	RNA_pol_asu	250.6	69744705-69744807,69744920-69745044,69745569-69745701,69745922-69746058	PF00623	http://pfam.sanger.ac.uk/family?acc=PF00623
11	69737469	69740101	-1	RNA_pol_Rpb1_7	183.3	69737469-69737552,69739427-69739527,69739879-69740101	PF04990	http://pfam.sanger.ac.uk/family?acc=PF04990
11	69734596	69734637	-1	RNA_pol_II_repeat_euk	114.3	69734596-69734637	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735226	69735267	-1	RNA_pol_II_repeat_euk	114.3	69735226-69735267	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735100	69735141	-1	RNA_pol_II_repeat_euk	114.3	69735100-69735141	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734638	69734679	-1	RNA_pol_II_repeat_euk	114.3	69734638-69734679	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734974	69735015	-1	RNA_pol_II_repeat_euk	114.3	69734974-69735015	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734806	69734847	-1	RNA_pol_II_repeat_euk	114.3	69734806-69734847	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734515	69734553	-1	RNA_pol_II_repeat_euk	114.3	69734515-69734553	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734461	69734502	-1	RNA_pol_II_repeat_euk	114.3	69734461-69734502	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735352	69735393	-1	RNA_pol_II_repeat_euk	114.3	69735352-69735393	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735058	69735099	-1	RNA_pol_II_repeat_euk	114.3	69735058-69735099	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735394	69735435	-1	RNA_pol_II_repeat_euk	114.3	69735394-69735435	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734932	69734973	-1	RNA_pol_II_repeat_euk	114.3	69734932-69734973	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735702	69735743	-1	RNA_pol_II_repeat_euk	114.3	69735702-69735743	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735310	69735351	-1	RNA_pol_II_repeat_euk	114.3	69735310-69735351	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734890	69734931	-1	RNA_pol_II_repeat_euk	114.3	69734890-69734931	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734443	69734481	-1	RNA_pol_II_repeat_euk	114.3	69734443-69734481	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735184	69735225	-1	RNA_pol_II_repeat_euk	114.3	69735184-69735225	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734764	69734802	-1	RNA_pol_II_repeat_euk	114.3	69734764-69734802	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734722	69734760	-1	RNA_pol_II_repeat_euk	114.3	69734722-69734760	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735436	69735477	-1	RNA_pol_II_repeat_euk	114.3	69735436-69735477	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69734554	69734595	-1	RNA_pol_II_repeat_euk	114.3	69734554-69734595	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
11	69735142	69735183	-1	RNA_pol_II_repeat_euk	114.3	69735142-69735183	PF05001	http://pfam.sanger.ac.uk/family?acc=PF05001
