#>P	ENSMUSG00000062743	ENSMUST00000162659	ENSMUSP00000125295	17	21392522	21398584	1	zinc finger protein 677 [Source:MGI Symbol;Acc:MGI:3053207]
#>E	ENSMUSE00000865459,ENSMUSE00001019883,ENSMUSE00000855308	0,1,0	21392522-21392551,21393176-21393302,21396840-21398587
17	21393182	21393301	1	KRAB	80.6	21393182-21393301	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
17	21397823	21397891	1	Znf_C2H2	108.8	21397823-21397891	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
17	21397991	21398047	1	Znf_C2H2	108.8	21397991-21398047	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
17	21398327	21398395	1	Znf_C2H2	108.8	21398327-21398395	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
17	21397907	21397954	1	Znf_C2H2	108.8	21397907-21397954	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
17	21397403	21397471	1	Znf_C2H2	295.5	21397403-21397471	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21398159	21398227	1	Znf_C2H2	295.5	21398159-21398227	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397235	21397303	1	Znf_C2H2	295.5	21397235-21397303	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397487	21397555	1	Znf_C2H2	295.5	21397487-21397555	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21398411	21398479	1	Znf_C2H2	295.5	21398411-21398479	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397571	21397639	1	Znf_C2H2	295.5	21397571-21397639	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21398243	21398311	1	Znf_C2H2	295.5	21398243-21398311	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397739	21397807	1	Znf_C2H2	295.5	21397739-21397807	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397319	21397387	1	Znf_C2H2	295.5	21397319-21397387	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21398075	21398143	1	Znf_C2H2	295.5	21398075-21398143	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
17	21397655	21397723	1	Znf_C2H2	295.5	21397655-21397723	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
