#>P	ENSMUSG00000005871	ENSMUST00000079362	ENSMUSP00000078337	18	34261023	34318578	1	adenomatosis polyposis coli [Source:MGI Symbol;Acc:MGI:88039]
#>E	ENSMUSE00001207606,ENSMUSE00001262805,ENSMUSE00001285185,ENSMUSE00001235284,ENSMUSE00001274558,ENSMUSE00001224466,ENSMUSE00001229850,ENSMUSE00001297240,ENSMUSE00001260424,ENSMUSE00000141542,ENSMUSE00001288218,ENSMUSE00001212960,ENSMUSE00001223623,ENSMUSE00001243643,ENSMUSE00000363587	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34261023-34261157,34268298-34268379,34269056-34269254,34272439-34272547,34276564-34276677,34279269-34279352,34289838-34289942,34296031-34296129,34298423-34298801,34299966-34300061,34304583-34304722,34305566-34305643,34306263-34306379,34310693-34310907,34312005-34318581
18	34318060	34318578	1	EB1-bd	283.7	34318060-34318578	PF05937	http://pfam.sanger.ac.uk/family?acc=PF05937
18	34316722	34317777	1	APC_basic_dom	357.2	34316722-34317777	PF05956	http://pfam.sanger.ac.uk/family?acc=PF05956
18	34316140	34316205	1	SAMP	98.1	34316140-34316205	PF05924	http://pfam.sanger.ac.uk/family?acc=PF05924
18	34315195	34315257	1	SAMP	98.1	34315195-34315257	PF05924	http://pfam.sanger.ac.uk/family?acc=PF05924
18	34314745	34314810	1	SAMP	98.1	34314745-34314810	PF05924	http://pfam.sanger.ac.uk/family?acc=PF05924
18	34261032	34268327	1	APC_N	98.3	34261032-34261157,34268298-34268327	PF16689	http://pfam.sanger.ac.uk/family?acc=PF16689
18	34314163	34314228	1	APC_rpt	223.8	34314163-34314228	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34314955	34315026	1	APC_rpt	223.8	34314955-34315026	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34315567	34315641	1	APC_rpt	223.8	34315567-34315641	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34316071	34316139	1	APC_rpt	223.8	34316071-34316139	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34315894	34315962	1	APC_rpt	223.8	34315894-34315962	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34313821	34313886	1	APC_rpt	223.8	34313821-34313886	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34314505	34314576	1	APC_rpt	223.8	34314505-34314576	PF05923	http://pfam.sanger.ac.uk/family?acc=PF05923
18	34313563	34313607	1	APC_15aa_rpt	77.5	34313563-34313607	PF05972	http://pfam.sanger.ac.uk/family?acc=PF05972
18	34313104	34313148	1	APC_15aa_rpt	77.5	34313104-34313148	PF05972	http://pfam.sanger.ac.uk/family?acc=PF05972
18	34313512	34313556	1	APC_15aa_rpt	77.5	34313512-34313556	PF05972	http://pfam.sanger.ac.uk/family?acc=PF05972
18	34305569	34306292	1	Armadillo	93.4	34305569-34305643,34306263-34306292	PF00514	http://pfam.sanger.ac.uk/family?acc=PF00514
18	34310894	34312113	1	Armadillo	93.4	34310894-34310907,34312005-34312113	PF00514	http://pfam.sanger.ac.uk/family?acc=PF00514
