#>P	ENSMUSG00000015468	ENSMUST00000015612	ENSMUSP00000015612	17	34564446	34587982	1	notch 4 [Source:MGI Symbol;Acc:MGI:107471]
#>E	ENSMUSE00000837270,ENSMUSE00000141112,ENSMUSE00000141127,ENSMUSE00000141114,ENSMUSE00000141135,ENSMUSE00000141128,ENSMUSE00000141139,ENSMUSE00000141116,ENSMUSE00000141113,ENSMUSE00000141144,ENSMUSE00000141147,ENSMUSE00000141133,ENSMUSE00000141126,ENSMUSE00000141137,ENSMUSE00000141145,ENSMUSE00000141119,ENSMUSE00000141131,ENSMUSE00000141123,ENSMUSE00001222219,ENSMUSE00001244412,ENSMUSE00001236734,ENSMUSE00001278084,ENSMUSE00000141149,ENSMUSE00001300971,ENSMUSE00001209409,ENSMUSE00001288812,ENSMUSE00001244961,ENSMUSE00001305780,ENSMUSE00001224200,ENSMUSE00000293877	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	34564446-34564509,34565301-34565382,34565473-34565768,34567342-34567689,34568164-34568286,34568393-34568629,34568717-34568872,34570035-34570229,34571737-34571850,34572496-34572609,34572678-34572800,34573749-34573908,34575063-34575208,34575407-34575559,34576409-34576526,34576769-34576856,34577418-34577568,34577948-34578132,34580920-34581172,34581379-34581491,34582399-34582922,34583350-34583733,34583829-34584004,34584412-34584631,34584781-34584850,34584991-34585129,34585905-34586209,34586527-34586674,34587117-34587214,34587374-34587985
17	34583729	34584003	1	Notch_NODP_dom	42.6	34583729-34583733,34583829-34584003	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
17	34586069	34586667	1	Ankyrin_rpt-contain_dom	97.3	34586069-34586209,34586527-34586667	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
17	34568809	34568844	1	EGF-like_CS	115.9	34568809-34568844	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
17	34575070	34575105	1	EGF-like_CS	115.9	34575070-34575105	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
17	34568536	34568622	1	EGF-like_Ca-bd_dom	137.8	34568536-34568622	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
17	34568851	34570123	1	EGF-like_Ca-bd_dom	137.8	34568851-34568872,34570035-34570123	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
17	34568410	34568520	1	EGF-like_Ca-bd_dom	137.8	34568410-34568520	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
17	34567470	34567571	1	EGF-like_Ca-bd_dom	137.8	34567470-34567571	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
17	34582669	34582779	1	Notch_dom	80.2	34582669-34582779	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
17	34582798	34582905	1	Notch_dom	80.2	34582798-34582905	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
17	34583357	34583449	1	Notch_dom	80.2	34583357-34583449	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
17	34567368	34567457	1	EGF-like_dom	427.7	34567368-34567457	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34576516	34576847	1	EGF-like_dom	427.7	34576516-34576526,34576769-34576847	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34580968	34581060	1	EGF-like_dom	427.7	34580968-34581060	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34570154	34571750	1	EGF-like_dom	427.7	34570154-34570229,34571737-34571750	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34577968	34578042	1	EGF-like_dom	427.7	34577968-34578042	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34565684	34567346	1	EGF-like_dom	427.7	34565684-34565768,34567342-34567346	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34568202	34568276	1	EGF-like_dom	427.7	34568202-34568276	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34575550	34576488	1	EGF-like_dom	427.7	34575550-34575559,34576409-34576488	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34567602	34568177	1	EGF-like_dom	427.7	34567602-34567689,34568164-34568177	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34581408	34582416	1	EGF-like_dom	427.7	34581408-34581491,34582399-34582416	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34572534	34572694	1	EGF-like_dom	427.7	34572534-34572609,34572678-34572694	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34577433	34577522	1	EGF-like_dom	427.7	34577433-34577522	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34571775	34572512	1	EGF-like_dom	427.7	34571775-34571850,34572496-34572512	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34565321	34565497	1	EGF-like_dom	427.7	34565321-34565382,34565473-34565497	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34565519	34565656	1	EGF-like_dom	427.7	34565519-34565656	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34578067	34580943	1	EGF-like_dom	427.7	34578067-34578132,34580920-34580943	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
17	34572716	34573750	1	EGF-like_dom	427.7	34572716-34572800,34573749-34573750	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
