#>P	ENSMUSG00000019820	ENSMUST00000076817	ENSMUSP00000076093	10	12384191	12861646	-1	utrophin [Source:MGI Symbol;Acc:MGI:104631]
#>E	ENSMUSE00000666683,ENSMUSE00000577279,ENSMUSE00000482705,ENSMUSE00000477160,ENSMUSE00000098355,ENSMUSE00000509182,ENSMUSE00000519560,ENSMUSE00000508284,ENSMUSE00000510573,ENSMUSE00000512417,ENSMUSE00000514656,ENSMUSE00000521296,ENSMUSE00000461391,ENSMUSE00000463180,ENSMUSE00000449727,ENSMUSE00000312264,ENSMUSE00000312272,ENSMUSE00000312281,ENSMUSE00000312292,ENSMUSE00000312301,ENSMUSE00000312308,ENSMUSE00000312314,ENSMUSE00000098341,ENSMUSE00000098340,ENSMUSE00000312321,ENSMUSE00000477343,ENSMUSE00000312337,ENSMUSE00000312343,ENSMUSE00000312347,ENSMUSE00000312352,ENSMUSE00000312359,ENSMUSE00000312366,ENSMUSE00000312369,ENSMUSE00000312376,ENSMUSE00000312384,ENSMUSE00000312391,ENSMUSE00000312399,ENSMUSE00000312407,ENSMUSE00000312416,ENSMUSE00000312425,ENSMUSE00000312431,ENSMUSE00000312438,ENSMUSE00000312441,ENSMUSE00000312447,ENSMUSE00000312451,ENSMUSE00000312460,ENSMUSE00000312465,ENSMUSE00000470634,ENSMUSE00000098305,ENSMUSE00000098303,ENSMUSE00000098312,ENSMUSE00000098302,ENSMUSE00000098284,ENSMUSE00000098290,ENSMUSE00000098318,ENSMUSE00000098293,ENSMUSE00000098320,ENSMUSE00000312550,ENSMUSE00000312561,ENSMUSE00000098323,ENSMUSE00000098287,ENSMUSE00000098307,ENSMUSE00000098314,ENSMUSE00000098294,ENSMUSE00000098301,ENSMUSE00000098308,ENSMUSE00000479514,ENSMUSE00000098316,ENSMUSE00000312647,ENSMUSE00000577311,ENSMUSE00000098306,ENSMUSE00000098304,ENSMUSE00000495807,ENSMUSE00000383059	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	12384188-12384196,12385518-12385540,12401311-12401403,12402883-12402991,12405854-12406094,12406436-12406594,12413936-12414001,12415181-12415246,12415451-12415489,12421597-12421733,12436281-12436392,12439627-12439793,12441936-12442093,12448007-12448092,12455363-12455564,12463286-12463360,12465181-12465242,12475271-12475331,12478413-12478491,12481224-12481370,12486386-12486654,12501378-12501507,12525338-12525494,12538041-12538213,12621191-12621380,12633944-12634098,12636596-12636801,12640927-12641044,12643403-12643611,12649143-12649218,12652711-12652860,12654699-12654834,12658496-12658671,12660779-12660929,12663366-12663538,12664947-12665138,12666699-12666836,12667500-12667658,12669656-12669826,12670120-12670248,12671751-12671930,12678580-12678750,12680472-12680627,12682277-12682450,12683245-12683373,12684410-12684571,12686332-12686481,12688293-12688427,12690730-12690909,12693364-12693534,12697989-12698144,12699002-12699115,12709966-12710178,12711438-12711583,12713254-12713434,12714133-12714374,12720018-12720105,12720819-12720942,12726211-12726380,12727733-12727912,12728711-12728818,12733899-12734000,12735098-12735217,12736952-12737102,12738085-12738266,12739367-12739570,12744045-12744205,12745232-12745347,12747915-12748087,12750031-12750123,12750465-12750542,12751495-12751587,12765271-12765332,12861568-12861646
10	12439695	12448025	-1	EF-hand_dom_typ2	127.5	12439695-12439793,12441936-12442093,12448007-12448025	PF09069	http://pfam.sanger.ac.uk/family?acc=PF09069
10	12436314	12439679	-1	Znf_ZZ	61.6	12436314-12436392,12439627-12439679	PF00569	http://pfam.sanger.ac.uk/family?acc=PF00569
10	12750031	12765318	-1	CH-domain	143.1	12750031-12750123,12750465-12750542,12751495-12751587,12765271-12765318	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
10	12744138	12748039	-1	CH-domain	143.1	12744138-12744205,12745232-12745347,12747915-12748039	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
10	12658501	12660907	-1	Spectrin_repeat	378.4	12658501-12658671,12660779-12660907	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12636731	12643513	-1	Spectrin_repeat	378.4	12636731-12636801,12640927-12641044,12643403-12643513	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12478456	12486520	-1	Spectrin_repeat	378.4	12478456-12478491,12481224-12481370,12486386-12486520	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12737093	12739495	-1	Spectrin_repeat	378.4	12737093-12737102,12738085-12738266,12739367-12739495	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12688425	12693489	-1	Spectrin_repeat	378.4	12688425-12688427,12690730-12690909,12693364-12693489	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12671751	12678711	-1	Spectrin_repeat	378.4	12671751-12671930,12678580-12678711	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12733935	12737086	-1	Spectrin_repeat	378.4	12733935-12734000,12735098-12735217,12736952-12737086	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
10	12448035	12465199	-1	EF-hand_dom_typ1	129.8	12448035-12448092,12455363-12455564,12463286-12463360,12465181-12465199	PF09068	http://pfam.sanger.ac.uk/family?acc=PF09068
