#>P	ENSMUSG00000027204	ENSMUST00000103234	ENSMUSP00000099524	2	125301589	125505603	-1	fibrillin 1 [Source:MGI Symbol;Acc:MGI:95489]
#>E	ENSMUSE00000661663,ENSMUSE00000166940,ENSMUSE00000166942,ENSMUSE00000661666,ENSMUSE00000166968,ENSMUSE00000166912,ENSMUSE00000166969,ENSMUSE00000166966,ENSMUSE00000166931,ENSMUSE00000325662,ENSMUSE00000166959,ENSMUSE00000166918,ENSMUSE00000166949,ENSMUSE00000166904,ENSMUSE00000166913,ENSMUSE00000376156,ENSMUSE00000343818,ENSMUSE00000166934,ENSMUSE00000166903,ENSMUSE00000166917,ENSMUSE00000166971,ENSMUSE00000166953,ENSMUSE00000166921,ENSMUSE00000166924,ENSMUSE00000325741,ENSMUSE00000166976,ENSMUSE00000166955,ENSMUSE00000166964,ENSMUSE00000166915,ENSMUSE00000166970,ENSMUSE00000166907,ENSMUSE00000166974,ENSMUSE00000166935,ENSMUSE00000166946,ENSMUSE00000166972,ENSMUSE00000166961,ENSMUSE00000166939,ENSMUSE00000166937,ENSMUSE00000166947,ENSMUSE00000325797,ENSMUSE00000166922,ENSMUSE00000166925,ENSMUSE00000400603,ENSMUSE00000560088,ENSMUSE00000166919,ENSMUSE00000166923,ENSMUSE00000166920,ENSMUSE00000166905,ENSMUSE00000166906,ENSMUSE00000166929,ENSMUSE00000166977,ENSMUSE00000166908,ENSMUSE00000166932,ENSMUSE00000325872,ENSMUSE00000166952,ENSMUSE00000166936,ENSMUSE00001297624,ENSMUSE00001227016,ENSMUSE00001271081,ENSMUSE00001302164,ENSMUSE00001223389,ENSMUSE00001242132,ENSMUSE00001222415,ENSMUSE00001218573,ENSMUSE00000661664	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	125301586-125301975,125303086-125303260,125306270-125306501,125308470-125308589,125309381-125309509,125309757-125309873,125312500-125312622,125312839-125312964,125314594-125314800,125315359-125315484,125316967-125317098,125317412-125317534,125318997-125319116,125320863-125320979,125321196-125321261,125321616-125321765,125324826-125324951,125328093-125328212,125328991-125329119,125330533-125330649,125332258-125332383,125335365-125335487,125338433-125338558,125341256-125341327,125342003-125342161,125342800-125342922,125343805-125343930,125344025-125344093,125345855-125346019,125346330-125346452,125348107-125348229,125350246-125350371,125351682-125351804,125351953-125352075,125358806-125358931,125360108-125360233,125361184-125361306,125362462-125362587,125362675-125362800,125363612-125363740,125363862-125363987,125365484-125365711,125367583-125367708,125369334-125369384,125369794-125369931,125370146-125370265,125370776-125370901,125372391-125372516,125373911-125373964,125377787-125377939,125379007-125379129,125381985-125382107,125383611-125383736,125387266-125387385,125389171-125389311,125389880-125390065,125394612-125394770,125397778-125397903,125403104-125403229,125412606-125412803,125466603-125466698,125468543-125468638,125477497-125477595,125479190-125479272,125505440-125505603
2	125379119	125382045	-1	cEGF	706.8	125379119-125379129,125381985-125382045	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
2	125319013	125319117	-1	EGF-like_Ca-bd_dom	1073.7	125319013-125319117	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125342804	125342923	-1	EGF-like_Ca-bd_dom	1073.7	125342804-125342923	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125370156	125370266	-1	EGF-like_Ca-bd_dom	1073.7	125370156-125370266	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125315363	125315485	-1	EGF-like_Ca-bd_dom	1073.7	125315363-125315485	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125360112	125360234	-1	EGF-like_Ca-bd_dom	1073.7	125360112-125360234	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125358810	125358932	-1	EGF-like_Ca-bd_dom	1073.7	125358810-125358932	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125343809	125343931	-1	EGF-like_Ca-bd_dom	1073.7	125343809-125343931	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125383615	125383737	-1	EGF-like_Ca-bd_dom	1073.7	125383615-125383737	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125309385	125309510	-1	EGF-like_Ca-bd_dom	1073.7	125309385-125309510	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125350250	125350372	-1	EGF-like_Ca-bd_dom	1073.7	125350250-125350372	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125309761	125309874	-1	EGF-like_Ca-bd_dom	1073.7	125309761-125309874	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125317416	125317535	-1	EGF-like_Ca-bd_dom	1073.7	125317416-125317535	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125320867	125320980	-1	EGF-like_Ca-bd_dom	1073.7	125320867-125320980	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125363640	125363741	-1	EGF-like_Ca-bd_dom	1073.7	125363640-125363741	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125372395	125372517	-1	EGF-like_Ca-bd_dom	1073.7	125372395-125372517	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125335372	125335488	-1	EGF-like_Ca-bd_dom	1073.7	125335372-125335488	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125316971	125317099	-1	EGF-like_Ca-bd_dom	1073.7	125316971-125317099	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125328097	125328213	-1	EGF-like_Ca-bd_dom	1073.7	125328097-125328213	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125306284	125306379	-1	EGF-like_Ca-bd_dom	1073.7	125306284-125306379	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125346337	125346453	-1	EGF-like_Ca-bd_dom	1073.7	125346337-125346453	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125403108	125403230	-1	EGF-like_Ca-bd_dom	1073.7	125403108-125403230	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125308474	125308590	-1	EGF-like_Ca-bd_dom	1073.7	125308474-125308590	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125351969	125352076	-1	EGF-like_Ca-bd_dom	1073.7	125351969-125352076	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125306398	125306502	-1	EGF-like_Ca-bd_dom	1073.7	125306398-125306502	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	125312504	125312623	-1	EGF-like_Ca-bd_dom	1073.7	125312504-125312623	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
