#>P	ENSMUSG00000023830	ENSMUST00000024599	ENSMUSP00000024599	17	12683713	12769533	-1	insulin-like growth factor 2 receptor [Source:MGI Symbol;Acc:MGI:96435]
#>E	ENSMUSE00000371471,ENSMUSE00000135666,ENSMUSE00000135699,ENSMUSE00000135687,ENSMUSE00000135677,ENSMUSE00000135655,ENSMUSE00000135657,ENSMUSE00000135678,ENSMUSE00000135673,ENSMUSE00000135667,ENSMUSE00000135671,ENSMUSE00000135706,ENSMUSE00000135689,ENSMUSE00000135668,ENSMUSE00000135651,ENSMUSE00000135705,ENSMUSE00000135708,ENSMUSE00000135707,ENSMUSE00000245427,ENSMUSE00000245461,ENSMUSE00000135684,ENSMUSE00000135656,ENSMUSE00000135663,ENSMUSE00000135709,ENSMUSE00000245617,ENSMUSE00000245636,ENSMUSE00000135688,ENSMUSE00000135660,ENSMUSE00000135703,ENSMUSE00000135681,ENSMUSE00000135682,ENSMUSE00000135685,ENSMUSE00000135704,ENSMUSE00000135672,ENSMUSE00000245802,ENSMUSE00000135679,ENSMUSE00000135674,ENSMUSE00000135691,ENSMUSE00000135669,ENSMUSE00000135676,ENSMUSE00000135698,ENSMUSE00000135675,ENSMUSE00000135665,ENSMUSE00000135700,ENSMUSE00000135694,ENSMUSE00000468080,ENSMUSE00000416277,ENSMUSE00000402412	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12683710-12684126,12685138-12685207,12685591-12685734,12686622-12686808,12688316-12688503,12688990-12689136,12690132-12690246,12691157-12691293,12691883-12692117,12692639-12692785,12693074-12693281,12694003-12694164,12695286-12695435,12697325-12697543,12698086-12698342,12698525-12698644,12699180-12699306,12700342-12700532,12701220-12701356,12701933-12702030,12702197-12702327,12703361-12703576,12704272-12704359,12704633-12704808,12704897-12705040,12705688-12705852,12709379-12709574,12710637-12710741,12712019-12712120,12713961-12714140,12714873-12715041,12715378-12715493,12715873-12716047,12716569-12716716,12717273-12717410,12718652-12718795,12719813-12719950,12722128-12722292,12725315-12725418,12726190-12726355,12726671-12726833,12731408-12731513,12733797-12733926,12735967-12736099,12739287-12739385,12740282-12740406,12748644-12748783,12769400-12769533
17	12692646	12692765	-1	FN_type2_col-bd	60.6	12692646-12692765	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
17	12698239	12700386	-1	CIMR	1314.3	12698239-12698342,12698525-12698644,12699180-12699306,12700342-12700386	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12700399	12702247	-1	CIMR	1314.3	12700399-12700532,12701220-12701356,12701933-12702030,12702197-12702247	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12704681	12705853	-1	CIMR	1314.3	12704681-12704808,12704897-12705040,12705688-12705853	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12709533	12713999	-1	CIMR	1314.3	12709533-12709574,12710637-12710741,12712019-12712120,12713961-12713999	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12690203	12692106	-1	CIMR	1314.3	12690203-12690246,12691157-12691293,12691883-12692106	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12686627	12686746	-1	CIMR	1314.3	12686627-12686746	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12695403	12698214	-1	CIMR	1314.3	12695403-12695435,12697325-12697543,12698086-12698214	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12731492	12740320	-1	CIMR	1314.3	12731492-12731513,12733797-12733926,12735967-12736099,12739287-12739385,12740282-12740320	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12714030	12715935	-1	CIMR	1314.3	12714030-12714140,12714873-12715041,12715378-12715493,12715873-12715935	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12693078	12695327	-1	CIMR	1314.3	12693078-12693281,12694003-12694164,12695286-12695327	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12718698	12725363	-1	CIMR	1314.3	12718698-12718795,12719813-12719950,12722128-12722292,12725315-12725363	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12715957	12718691	-1	CIMR	1314.3	12715957-12716047,12716569-12716716,12717273-12717410,12718652-12718691	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12725370	12731449	-1	CIMR	1314.3	12725370-12725418,12726190-12726355,12726671-12726833,12731408-12731449	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
17	12702257	12704668	-1	CIMR	1314.3	12702257-12702327,12703361-12703576,12704272-12704359,12704633-12704668	PF00878	http://pfam.sanger.ac.uk/family?acc=PF00878
