#>P	ENSMUSG00000015647	ENSMUST00000015791	ENSMUSP00000015791	2	180176550	180225802	-1	laminin, alpha 5 [Source:MGI Symbol;Acc:MGI:105382]
#>E	ENSMUSE00000378411,ENSMUSE00000170612,ENSMUSE00000170630,ENSMUSE00001298555,ENSMUSE00001287259,ENSMUSE00000170567,ENSMUSE00000170631,ENSMUSE00000170597,ENSMUSE00000170604,ENSMUSE00000170608,ENSMUSE00001222911,ENSMUSE00001255066,ENSMUSE00000170581,ENSMUSE00000170575,ENSMUSE00000170579,ENSMUSE00000170592,ENSMUSE00000170572,ENSMUSE00000170583,ENSMUSE00000170613,ENSMUSE00000399794,ENSMUSE00000384695,ENSMUSE00000348555,ENSMUSE00000392335,ENSMUSE00000225747,ENSMUSE00000225754,ENSMUSE00000225760,ENSMUSE00000225769,ENSMUSE00000170569,ENSMUSE00000170580,ENSMUSE00000170606,ENSMUSE00000170582,ENSMUSE00000170610,ENSMUSE00000170638,ENSMUSE00000170636,ENSMUSE00000170632,ENSMUSE00000170585,ENSMUSE00000170594,ENSMUSE00000170617,ENSMUSE00000170635,ENSMUSE00001012117,ENSMUSE00001054095,ENSMUSE00001008253,ENSMUSE00001001981,ENSMUSE00001046471,ENSMUSE00000969745,ENSMUSE00001066670,ENSMUSE00000983431,ENSMUSE00000992326,ENSMUSE00001083231,ENSMUSE00001076242,ENSMUSE00000976846,ENSMUSE00001050812,ENSMUSE00001034179,ENSMUSE00001084808,ENSMUSE00001031203,ENSMUSE00001041825,ENSMUSE00001076321,ENSMUSE00000981066,ENSMUSE00001061352,ENSMUSE00001092373,ENSMUSE00001025835,ENSMUSE00001091951,ENSMUSE00000993387,ENSMUSE00001073582,ENSMUSE00001039816,ENSMUSE00000984477,ENSMUSE00000989819,ENSMUSE00001091466,ENSMUSE00001067423,ENSMUSE00001002886,ENSMUSE00001056903,ENSMUSE00001055925,ENSMUSE00001061934,ENSMUSE00000981993,ENSMUSE00000979958,ENSMUSE00000966991,ENSMUSE00000973111,ENSMUSE00000996509,ENSMUSE00000999688	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	180176547-180176764,180176888-180177007,180177103-180177193,180177274-180177407,180177491-180177644,180177735-180177899,180178009-180178204,180178277-180178422,180178515-180178629,180178721-180178891,180179010-180179140,180179252-180179528,180179606-180179754,180179836-180179958,180180074-180180236,180180310-180180443,180180609-180180762,180180842-180180978,180181093-180181269,180181350-180181498,180181572-180181751,180182358-180182468,180182767-180182869,180182964-180183105,180183320-180183474,180183618-180183734,180184018-180184214,180184401-180184571,180185329-180185440,180185623-180185733,180185814-180185965,180186562-180186711,180186801-180186981,180187176-180187276,180187546-180187760,180187859-180187939,180188265-180188392,180188567-180188680,180189333-180189563,180190160-180190243,180190330-180190431,180190640-180190801,180190905-180191045,180191228-180191372,180191551-180191755,180192094-180192305,180192389-180192504,180192863-180193002,180193404-180193530,180193692-180193893,180193975-180194072,180194490-180194598,180194675-180194835,180195146-180195299,180195372-180195478,180195555-180195697,180195881-180196019,180196168-180196324,180196484-180196583,180197036-180197141,180197226-180197275,180197373-180197478,180197717-180197769,180198261-180198398,180198475-180198609,180198696-180198830,180198930-180199067,180199150-180199290,180201458-180201520,180201721-180201855,180201979-180202069,180202161-180202279,180202392-180202507,180206725-180206822,180206933-180207103,180207187-180207305,180208254-180208371,180221226-180221378,180225491-180225802
2	180181180	180181725	-1	Laminin_domII	144.1	180181180-180181269,180181350-180181498,180181572-180181725	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
2	180197052	180197273	-1	Laminin_EGF	502.7	180197052-180197141,180197226-180197273	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180198482	180198607	-1	Laminin_EGF	502.7	180198482-180198607	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180188651	180189374	-1	Laminin_EGF	502.7	180188651-180188680,180189333-180189374	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180191306	180191621	-1	Laminin_EGF	502.7	180191306-180191372,180191551-180191621	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180201728	180201853	-1	Laminin_EGF	502.7	180201728-180201853	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180187550	180187705	-1	Laminin_EGF	502.7	180187550-180187705	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180198703	180198828	-1	Laminin_EGF	502.7	180198703-180198828	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180197759	180198396	-1	Laminin_EGF	502.7	180197759-180197769,180198261-180198396	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180198940	180199065	-1	Laminin_EGF	502.7	180198940-180199065	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180199163	180199288	-1	Laminin_EGF	502.7	180199163-180199288	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180186946	180187274	-1	Laminin_EGF	502.7	180186946-180186981,180187176-180187274	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180202405	180206783	-1	Laminin_EGF	502.7	180202405-180202507,180206725-180206783	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180188324	180188620	-1	Laminin_EGF	502.7	180188324-180188392,180188567-180188620	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180186707	180186939	-1	Laminin_EGF	502.7	180186707-180186711,180186801-180186939	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180190968	180191296	-1	Laminin_EGF	502.7	180190968-180191045,180191228-180191296	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180191745	180192229	-1	Laminin_EGF	502.7	180191745-180191755,180192094-180192229	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180196306	180196581	-1	Laminin_EGF	502.7	180196306-180196324,180196484-180196581	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180187712	180188296	-1	Laminin_EGF	502.7	180187712-180187760,180187859-180187939,180188265-180188296	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180201983	180202277	-1	Laminin_EGF	502.7	180201983-180202069,180202161-180202277	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
2	180183624	180185888	-1	Laminin_aI	213.4	180183624-180183734,180184018-180184214,180184401-180184571,180185329-180185440,180185623-180185733,180185814-180185888	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
2	180189375	180190675	-1	Laminin_IV	110.3	180189375-180189563,180190160-180190243,180190330-180190431,180190640-180190675	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
2	180206787	180225652	-1	Laminin_N	262	180206787-180206822,180206933-180207103,180207187-180207305,180208254-180208371,180221226-180221378,180225491-180225652	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
2	180177597	180178170	-1	Laminin_G	209.8	180177597-180177644,180177735-180177899,180178009-180178170	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
2	180178726	180179299	-1	Laminin_G	209.8	180178726-180178891,180179010-180179140,180179252-180179299	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
2	180176697	180177360	-1	Laminin_G	209.8	180176697-180176764,180176888-180177007,180177103-180177193,180177274-180177360	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
