#>P	ENSMUSG00000020964	ENSMUST00000021347	ENSMUSP00000021347	12	91809847	91849031	-1	sel-1 suppressor of lin-12-like (C. elegans) [Source:MGI Symbol;Acc:MGI:1329016]
#>E	ENSMUSE00000652964,ENSMUSE00001271965,ENSMUSE00000113589,ENSMUSE00000113592,ENSMUSE00001226846,ENSMUSE00001207013,ENSMUSE00001274288,ENSMUSE00001229891,ENSMUSE00001235678,ENSMUSE00001258321,ENSMUSE00001245953,ENSMUSE00001300975,ENSMUSE00001264882,ENSMUSE00001308489,ENSMUSE00001276472,ENSMUSE00001273636,ENSMUSE00001270245,ENSMUSE00001304078,ENSMUSE00001213838,ENSMUSE00001263153,ENSMUSE00000530353	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	91809844-91810053,91811877-91812005,91813832-91814004,91814619-91814693,91814974-91815139,91815766-91815914,91816221-91816308,91817282-91817344,91818219-91818296,91820042-91820110,91823534-91823590,91824820-91824974,91825297-91825378,91826505-91826564,91826652-91826705,91830687-91830849,91831569-91831674,91833055-91833222,91841638-91841854,91843226-91843263,91848959-91849031
12	91833059	91833184	-1	FN_type2_col-bd	64	91833059-91833184	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
12	91811961	91813888	-1	Sel1-like	195.5	91811961-91812005,91813832-91813888	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91830810	91831606	-1	Sel1-like	195.5	91830810-91830849,91831569-91831606	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91814000	91814661	-1	Sel1-like	195.5	91814000-91814004,91814619-91814661	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91817339	91820068	-1	Sel1-like	195.5	91817339-91817344,91818219-91818296,91820042-91820068	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91820069	91824828	-1	Sel1-like	195.5	91820069-91820110,91823534-91823590,91824820-91824828	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91816261	91817332	-1	Sel1-like	195.5	91816261-91816308,91817282-91817332	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91815131	91815831	-1	Sel1-like	195.5	91815131-91815139,91815766-91815831	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91826535	91830695	-1	Sel1-like	195.5	91826535-91826564,91826652-91826705,91830687-91830695	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91815844	91816251	-1	Sel1-like	195.5	91815844-91815914,91816221-91816251	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91830705	91830803	-1	Sel1-like	195.5	91830705-91830803	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91825310	91826519	-1	Sel1-like	195.5	91825310-91825378,91826505-91826519	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
12	91813892	91813993	-1	Sel1-like	195.5	91813892-91813993	PF08238	http://pfam.sanger.ac.uk/family?acc=PF08238
