#>P	ENSMUSG00000026725	ENSMUST00000039178	ENSMUSP00000039452	1	160086034	160147855	-1	tenascin N [Source:MGI Symbol;Acc:MGI:2665790]
#>E	ENSMUSE00000449698,ENSMUSE00000449700,ENSMUSE00000449705,ENSMUSE00000449708,ENSMUSE00000449714,ENSMUSE00000658895,ENSMUSE00000658896,ENSMUSE00000964512,ENSMUSE00001021401,ENSMUSE00000981900,ENSMUSE00000981340,ENSMUSE00001060709,ENSMUSE00000966723,ENSMUSE00001012004,ENSMUSE00001067727,ENSMUSE00000658907,ENSMUSE00000658908,ENSMUSE00000658909,ENSMUSE00000658910,ENSMUSE00000658911,ENSMUSE00000225620	0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1	160086031-160086168,160088393-160088556,160097194-160097361,160098213-160098309,160104827-160104978,160105398-160105530,160107011-160107141,160110246-160110509,160114491-160114754,160116070-160116333,160118339-160118602,160120498-160120761,160122655-160122918,160125353-160125616,160126332-160126595,160130684-160130947,160139249-160139338,160140587-160140772,160144983-160145246,160146012-160146386,160147447-160147855
1	160086100	160104958	-1	Fibrinogen_a/b/g_C_dom	250.8	160086100-160086168,160088393-160088556,160097194-160097361,160098213-160098309,160104827-160104958	PF00147	http://pfam.sanger.ac.uk/family?acc=PF00147
1	160139277	160140743	-1	FN3_dom	563.3	160139277-160139338,160140587-160140743	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160110280	160110501	-1	FN3_dom	563.3	160110280-160110501	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160116104	160116328	-1	FN3_dom	563.3	160116104-160116328	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160105432	160107136	-1	FN3_dom	563.3	160105432-160105530,160107011-160107136	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160130721	160130936	-1	FN3_dom	563.3	160130721-160130936	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160126369	160126590	-1	FN3_dom	563.3	160126369-160126590	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160114525	160114746	-1	FN3_dom	563.3	160114525-160114746	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160122692	160122907	-1	FN3_dom	563.3	160122692-160122907	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160145020	160145241	-1	FN3_dom	563.3	160145020-160145241	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160125387	160125608	-1	FN3_dom	563.3	160125387-160125608	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160120529	160120756	-1	FN3_dom	563.3	160120529-160120756	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	160118376	160118591	-1	FN3_dom	563.3	160118376-160118591	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
