#>P	ENSMUSG00000057751	ENSMUST00000030897	ENSMUSP00000030897	4	154171024	154273872	1	multiple EGF-like-domains 6 [Source:MGI Symbol;Acc:MGI:1919351]
#>E	ENSMUSE00000666956,ENSMUSE00000630120,ENSMUSE00000630119,ENSMUSE00000630117,ENSMUSE00000357465,ENSMUSE00000666955,ENSMUSE00000301725,ENSMUSE00000301719,ENSMUSE00000301711,ENSMUSE00000355445,ENSMUSE00000666954,ENSMUSE00000406971,ENSMUSE00000476240,ENSMUSE00000666953,ENSMUSE00000666952,ENSMUSE00000666951,ENSMUSE00000666950,ENSMUSE00000523779,ENSMUSE00000523778,ENSMUSE00000523777,ENSMUSE00000523776,ENSMUSE00001258193,ENSMUSE00001271254,ENSMUSE00001242407,ENSMUSE00001264672,ENSMUSE00001233387,ENSMUSE00001257151,ENSMUSE00001296540,ENSMUSE00001220764,ENSMUSE00001312282,ENSMUSE00001225747,ENSMUSE00001296085,ENSMUSE00001251664,ENSMUSE00001373309,ENSMUSE00001234945,ENSMUSE00001372486,ENSMUSE00000788348	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	154171024-154171142,154177039-154177173,154182658-154182767,154224101-154224223,154242402-154242524,154249427-154249552,154250822-154250944,154252129-154252251,154252424-154252561,154253026-154253145,154253715-154253837,154254109-154254279,154254542-154254673,154255996-154256124,154258101-154258229,154258860-154258994,154259081-154259215,154262514-154262639,154263170-154263301,154263393-154263521,154263646-154263777,154265070-154265198,154265287-154265415,154265660-154265788,154266134-154266262,154266451-154266579,154267190-154267318,154267433-154267561,154267656-154267787,154267934-154268062,154268576-154268704,154269647-154269775,154269893-154270021,154270402-154270530,154270623-154270751,154271611-154271739,154273808-154273875
4	154266480	154266572	1	EGF_extracell	27.7	154266480-154266572	PF07974	http://pfam.sanger.ac.uk/family?acc=PF07974
4	154253714	154253833	1	EGF-like_Ca-bd_dom	92.7	154253714-154253833	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
4	154252128	154252247	1	EGF-like_Ca-bd_dom	92.7	154252128-154252247	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
4	154256037	154258150	1	Laminin_EGF	112	154256037-154256124,154258101-154258150	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154269934	154270433	1	Laminin_EGF	112	154269934-154270021,154270402-154270433	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154270443	154270666	1	Laminin_EGF	112	154270443-154270530,154270623-154270666	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154263687	154265113	1	Laminin_EGF	112	154263687-154263777,154265070-154265113	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154263434	154263668	1	Laminin_EGF	112	154263434-154263521,154263646-154263668	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154267474	154267705	1	Laminin_EGF	112	154267474-154267561,154267656-154267705	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154263226	154263418	1	Laminin_EGF	112	154263226-154263301,154263393-154263418	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	154252510	154253033	1	cEGF	95.5	154252510-154252561,154253026-154253033	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
4	154224163	154242412	1	cEGF	95.5	154224163-154224223,154242402-154242412	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
