#>P	ENSMUSG00000041936	ENSMUST00000180572	ENSMUSP00000137931	4	156166499	156197420	-1	agrin [Source:MGI Symbol;Acc:MGI:87961]
#>E	ENSMUSE00001132892,ENSMUSE00001210647,ENSMUSE00001251329,ENSMUSE00001234845,ENSMUSE00001275516,ENSMUSE00001297718,ENSMUSE00001288900,ENSMUSE00001217850,ENSMUSE00001284303,ENSMUSE00001206097,ENSMUSE00001204850,ENSMUSE00001240108,ENSMUSE00001281960,ENSMUSE00001309418,ENSMUSE00001242884,ENSMUSE00001291638,ENSMUSE00001285894,ENSMUSE00000593897,ENSMUSE00001252549,ENSMUSE00001308718,ENSMUSE00001252886,ENSMUSE00001205732,ENSMUSE00001213839,ENSMUSE00001293539,ENSMUSE00001207019,ENSMUSE00001313106,ENSMUSE00001300687,ENSMUSE00001240501,ENSMUSE00001309691,ENSMUSE00001240587,ENSMUSE00001270851,ENSMUSE00001236818,ENSMUSE00001266949,ENSMUSE00001244908,ENSMUSE00001251248,ENSMUSE00001281220	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	156166496-156166653,156166911-156167014,156167282-156167506,156168733-156168820,156168903-156169095,156169220-156169336,156169770-156169881,156170066-156170230,156170315-156170411,156170579-156170713,156170801-156171030,156171402-156171617,156171788-156171980,156172075-156172422,156172562-156172681,156172768-156172882,156173003-156173130,156173543-156173680,156173785-156174090,156174177-156174282,156174356-156174480,156174571-156174714,156174856-156175020,156175100-156175216,156176219-156176324,156176404-156176552,156176634-156176834,156176956-156177150,156177223-156177441,156178429-156178635,156178783-156179007,156179098-156179322,156179393-156179608,156185088-156185135,156195244-156195505,156197214-156197420
4	156172632	156173080	-1	SEA_dom	48.5	156172632-156172681,156172768-156172882,156173003-156173080	PF01390	http://pfam.sanger.ac.uk/family?acc=PF01390
4	156172091	156172183	-1	EGF-like_dom	44.1	156172091-156172183	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	156170706	156170888	-1	EGF-like_dom	44.1	156170706-156170713,156170801-156170888	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	156168916	156168999	-1	EGF-like_dom	44.1	156168916-156168999	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
4	156169072	156170205	-1	Laminin_G	373.2	156169072-156169095,156169220-156169336,156169770-156169881,156170066-156170205	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
4	156166550	156167466	-1	Laminin_G	373.2	156166550-156166653,156166911-156167014,156167282-156167466	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
4	156170955	156171888	-1	Laminin_G	373.2	156170955-156171030,156171402-156171617,156171788-156171888	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
4	156174875	156175015	-1	Laminin_EGF	72.2	156174875-156175015	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	156174596	156174712	-1	Laminin_EGF	72.2	156174596-156174712	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
4	156195269	156197324	-1	NtA_dom	147	156195269-156195505,156197214-156197324	PF03146	http://pfam.sanger.ac.uk/family?acc=PF03146
4	156176223	156176427	-1	Kazal_dom	248.7	156176223-156176324,156176404-156176427	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156176957	156177067	-1	Kazal_dom	248.7	156176957-156177067	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156177224	156177337	-1	Kazal_dom	248.7	156177224-156177337	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156179099	156179203	-1	Kazal_dom	248.7	156179099-156179203	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156178430	156178552	-1	Kazal_dom	248.7	156178430-156178552	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156174181	156174379	-1	Kazal_dom	248.7	156174181-156174282,156174356-156174379	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156176641	156176766	-1	Kazal_dom	248.7	156176641-156176766	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156179394	156179516	-1	Kazal_dom	248.7	156179394-156179516	PF07648	http://pfam.sanger.ac.uk/family?acc=PF07648
4	156178793	156178927	-1	Kazal_dom	218.7	156178793-156178927	PF00050	http://pfam.sanger.ac.uk/family?acc=PF00050
