#>P	ENSMUSG00000030451	ENSMUST00000164095	ENSMUSP00000131573	7	56050877	56231129	1	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:103234]
#>E	ENSMUSE00000967577,ENSMUSE00000964411,ENSMUSE00000593501,ENSMUSE00000593500,ENSMUSE00000593499,ENSMUSE00000593498,ENSMUSE00000593497,ENSMUSE00000593496,ENSMUSE00000593495,ENSMUSE00000593494,ENSMUSE00000593493,ENSMUSE00000593492,ENSMUSE00000593491,ENSMUSE00000593490,ENSMUSE00000593489,ENSMUSE00000593488,ENSMUSE00000593487,ENSMUSE00000593486,ENSMUSE00000593485,ENSMUSE00000593484,ENSMUSE00000593483,ENSMUSE00000593482,ENSMUSE00000593481,ENSMUSE00000593480,ENSMUSE00000593479,ENSMUSE00000593478,ENSMUSE00000593477,ENSMUSE00000593476,ENSMUSE00000593475,ENSMUSE00000593474,ENSMUSE00000593473,ENSMUSE00000593472,ENSMUSE00000593471,ENSMUSE00000593470,ENSMUSE00000593469,ENSMUSE00000593468,ENSMUSE00000593467,ENSMUSE00000593466,ENSMUSE00000593465,ENSMUSE00000593464,ENSMUSE00000593463,ENSMUSE00000593462,ENSMUSE00000593461,ENSMUSE00000593460,ENSMUSE00000593459,ENSMUSE00000593458,ENSMUSE00000593457,ENSMUSE00000593456,ENSMUSE00000593455,ENSMUSE00000593454,ENSMUSE00000593453,ENSMUSE00000593452,ENSMUSE00000593451,ENSMUSE00000593450,ENSMUSE00000593449,ENSMUSE00000593448,ENSMUSE00000593447,ENSMUSE00000593446,ENSMUSE00000593445,ENSMUSE00000593444,ENSMUSE00000593443,ENSMUSE00000593442,ENSMUSE00000593441,ENSMUSE00000593440,ENSMUSE00000593439,ENSMUSE00000593438,ENSMUSE00000593437,ENSMUSE00000593436,ENSMUSE00000593435,ENSMUSE00000199130,ENSMUSE00000199136,ENSMUSE00000199157,ENSMUSE00000199111,ENSMUSE00000199153,ENSMUSE00000199121,ENSMUSE00000199148,ENSMUSE00000199114,ENSMUSE00000199085,ENSMUSE00000199147,ENSMUSE00000199084,ENSMUSE00000199089,ENSMUSE00000199103,ENSMUSE00000199151,ENSMUSE00000338975,ENSMUSE00000381132,ENSMUSE00000282288,ENSMUSE00000282279,ENSMUSE00000282268,ENSMUSE00000282257,ENSMUSE00000422902,ENSMUSE00000282231,ENSMUSE00000873494	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	56050877-56050948,56067984-56068098,56072293-56072430,56084989-56085208,56087340-56087440,56088257-56088413,56090915-56091025,56092539-56092710,56094265-56094438,56097377-56097565,56098335-56098486,56100079-56100236,56100328-56100441,56103728-56103979,56106339-56106532,56108686-56108886,56113045-56113273,56113398-56113522,56114702-56114880,56121545-56121729,56122313-56122468,56124197-56124382,56131169-56131339,56131799-56131902,56132422-56132572,56134596-56134810,56135031-56135163,56135270-56135397,56135486-56135681,56136587-56136720,56137221-56137394,56137469-56137605,56137720-56137871,56138779-56138970,56145764-56145951,56146537-56146729,56148639-56148821,56152443-56152624,56153044-56153191,56153266-56153462,56153777-56154007,56155015-56155153,56156387-56156530,56156860-56157002,56157291-56157558,56157648-56157784,56159374-56159472,56163742-56163910,56164009-56164134,56164915-56165023,56165138-56165277,56168826-56169016,56170386-56170491,56170575-56170666,56177825-56178000,56181069-56181180,56182405-56182486,56182580-56182723,56183942-56184032,56184306-56184483,56184626-56184707,56184793-56184964,56185835-56185979,56188561-56188786,56189804-56189975,56191167-56191353,56191794-56191934,56194210-56194401,56197056-56197209,56202101-56202208,56203776-56203907,56204386-56204544,56204634-56204752,56205312-56205437,56205868-56206023,56206522-56206637,56206728-56206926,56207692-56207906,56212821-56212998,56213442-56213603,56215353-56215444,56215847-56215986,56219705-56219892,56220477-56220674,56222910-56222993,56226519-56226660,56226838-56227032,56227802-56227914,56228429-56228619,56229284-56229389,56229661-56229873,56230860-56231132
7	56165007	56165243	1	Znf_ZZ	38.5	56165007-56165023,56165138-56165243	PF00569	http://pfam.sanger.ac.uk/family?acc=PF00569
7	56168972	56170636	1	APC_su10/DOC_dom	25.5	56168972-56169016,56170386-56170491,56170575-56170636	PF03256	http://pfam.sanger.ac.uk/family?acc=PF03256
7	56159416	56164016	1	CPH_domain	122.9	56159416-56159472,56163742-56163910,56164009-56164016	PF11515	http://pfam.sanger.ac.uk/family?acc=PF11515
7	56145907	56146671	1	Mib_Herc2	77.4	56145907-56145951,56146537-56146671	PF06701	http://pfam.sanger.ac.uk/family?acc=PF06701
7	56226969	56230994	1	HECT_dom	202.9	56226969-56227032,56227802-56227914,56228429-56228619,56229284-56229389,56229661-56229873,56230860-56230994	PF00632	http://pfam.sanger.ac.uk/family?acc=PF00632
7	56131225	56131896	1	Cyt_B5-like_heme/steroid-bd	33.7	56131225-56131339,56131799-56131896	PF00173	http://pfam.sanger.ac.uk/family?acc=PF00173
7	56184400	56184673	1	Reg_chr_condens	749.8	56184400-56184483,56184626-56184673	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56212918	56213489	1	Reg_chr_condens	749.8	56212918-56212998,56213442-56213489	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56207845	56212908	1	Reg_chr_condens	749.8	56207845-56207906,56212821-56212908	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56206918	56207838	1	Reg_chr_condens	749.8	56206918-56206926,56207692-56207838	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56215425	56215973	1	Reg_chr_condens	749.8	56215425-56215444,56215847-56215973	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56100185	56100407	1	Reg_chr_condens	749.8	56100185-56100236,56100328-56100407	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56098428	56100178	1	Reg_chr_condens	749.8	56098428-56098486,56100079-56100178	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56213520	56215418	1	Reg_chr_condens	749.8	56213520-56213603,56215353-56215418	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56185971	56188698	1	Reg_chr_condens	749.8	56185971-56185979,56188561-56188698	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56103880	56106388	1	Reg_chr_condens	749.8	56103880-56103979,56106339-56106388	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56182588	56183964	1	Reg_chr_condens	749.8	56182588-56182723,56183942-56183964	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56100438	56103873	1	Reg_chr_condens	749.8	56100438-56100441,56103728-56103873	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56215983	56219847	1	Reg_chr_condens	749.8	56215983-56215986,56219705-56219847	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56183971	56184393	1	Reg_chr_condens	749.8	56183971-56184032,56184306-56184393	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56184945	56185964	1	Reg_chr_condens	749.8	56184945-56184964,56185835-56185964	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
7	56184704	56184938	1	Reg_chr_condens	749.8	56184704-56184707,56184793-56184938	PF00415	http://pfam.sanger.ac.uk/family?acc=PF00415
