#>P	ENSMUSG00000023885	ENSMUST00000170872	ENSMUSP00000128308	17	14667516	14691414	-1	thrombospondin 2 [Source:MGI Symbol;Acc:MGI:98738]
#>E	ENSMUSE00000882103,ENSMUSE00000555654,ENSMUSE00000136099,ENSMUSE00000555658,ENSMUSE00000555661,ENSMUSE00000241015,ENSMUSE00000241631,ENSMUSE00000555668,ENSMUSE00000555670,ENSMUSE00000555671,ENSMUSE00000136093,ENSMUSE00000136085,ENSMUSE00000136100,ENSMUSE00000136086,ENSMUSE00000136095,ENSMUSE00000136102,ENSMUSE00000241814,ENSMUSE00000241831,ENSMUSE00000136101,ENSMUSE00000136103,ENSMUSE00000658254	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	14667513-14667520,14668725-14668864,14669972-14670069,14670594-14670865,14671273-14671500,14673144-14673378,14674046-14674164,14676207-14676366,14676986-14677093,14678686-14678904,14679682-14679834,14679911-14680038,14680293-14680466,14681239-14681415,14681665-14681835,14683289-14683385,14684072-14684212,14685746-14685942,14687806-14687890,14689727-14690283,14691363-14691414
17	14678764	14678883	-1	EGF_dom	32.3	14678764-14678883	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
17	14676265	14676333	-1	Thrombospondin_3-like_rpt	186.2	14676265-14676333	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14674115	14676261	-1	Thrombospondin_3-like_rpt	186.2	14674115-14674164,14676207-14676261	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14673157	14673261	-1	Thrombospondin_3-like_rpt	186.2	14673157-14673261	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14673265	14673375	-1	Thrombospondin_3-like_rpt	186.2	14673265-14673375	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14676334	14677060	-1	Thrombospondin_3-like_rpt	186.2	14676334-14676366,14676986-14677060	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14671418	14673156	-1	Thrombospondin_3-like_rpt	186.2	14671418-14671500,14673144-14673156	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14674046	14674114	-1	Thrombospondin_3-like_rpt	186.2	14674046-14674114	PF02412	http://pfam.sanger.ac.uk/family?acc=PF02412
17	14679727	14679922	-1	EGF-like_Ca-bd_dom	29.4	14679727-14679834,14679911-14679922	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
17	14681675	14681812	-1	TSP1_rpt	143.1	14681675-14681812	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	14681243	14681395	-1	TSP1_rpt	143.1	14681243-14681395	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	14680300	14680452	-1	TSP1_rpt	143.1	14680300-14680452	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
17	14683296	14684146	-1	VWF_dom	48	14683296-14683385,14684072-14684146	PF00093	http://pfam.sanger.ac.uk/family?acc=PF00093
17	14667519	14671354	-1	Thrombospondin_C	320.3	14667519-14667520,14668725-14668864,14669972-14670069,14670594-14670865,14671273-14671354	PF05735	http://pfam.sanger.ac.uk/family?acc=PF05735
