#>P	ENSMUSG00000033788	ENSMUST00000081904	ENSMUSP00000080579	6	84019518	84210828	1	dysferlin [Source:MGI Symbol;Acc:MGI:1349385]
#>E	ENSMUSE00000558999,ENSMUSE00000653647,ENSMUSE00000653646,ENSMUSE00000514197,ENSMUSE00000515180,ENSMUSE00000558992,ENSMUSE00000493051,ENSMUSE00000494090,ENSMUSE00000340984,ENSMUSE00000496136,ENSMUSE00000350542,ENSMUSE00000410880,ENSMUSE00000367300,ENSMUSE00000402289,ENSMUSE00000358733,ENSMUSE00000331455,ENSMUSE00000370655,ENSMUSE00000411164,ENSMUSE00000364952,ENSMUSE00000558987,ENSMUSE00000482504,ENSMUSE00000475731,ENSMUSE00001238124,ENSMUSE00001306034,ENSMUSE00001223566,ENSMUSE00001298757,ENSMUSE00001308738,ENSMUSE00001253253,ENSMUSE00001311392,ENSMUSE00000490809,ENSMUSE00000505641,ENSMUSE00000504786,ENSMUSE00000502201,ENSMUSE00000481750,ENSMUSE00000483098,ENSMUSE00000558979,ENSMUSE00001294088,ENSMUSE00001204716,ENSMUSE00001310680,ENSMUSE00001238016,ENSMUSE00001242039,ENSMUSE00001211909,ENSMUSE00001213040,ENSMUSE00001283288,ENSMUSE00001280870,ENSMUSE00001258642,ENSMUSE00001239651,ENSMUSE00001242397,ENSMUSE00001311537,ENSMUSE00001211480,ENSMUSE00001215430,ENSMUSE00001244327,ENSMUSE00001244731,ENSMUSE00001282217,ENSMUSE00000558972	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	84019518-84019608,84037234-84037289,84039506-84039597,84058419-84058524,84063321-84063435,84064471-84064563,84064876-84065087,84066944-84067072,84067454-84067516,84068053-84068103,84070173-84070203,84070879-84070994,84072633-84072759,84073862-84073965,84083716-84083784,84083914-84083957,84087792-84087874,84097708-84097823,84098153-84098266,84099416-84099593,84100154-84100278,84101863-84101969,84106810-84107002,84108047-84108202,84111856-84111987,84112067-84112233,84113285-84113399,84113599-84113704,84113976-84114118,84116048-84116221,84129471-84129564,84130116-84130193,84137218-84137399,84140011-84140151,84140657-84140686,84141923-84141952,84149675-84149776,84149874-84150035,84151884-84152049,84152333-84152409,84179672-84179770,84185958-84186086,84186353-84186508,84188205-84188296,84189684-84189854,84190755-84190897,84192896-84193035,84194319-84194407,84194665-84194760,84195178-84195319,84199748-84199847,84203183-84203361,84205784-84205893,84207093-84207240,84210793-84210831
6	84203338	84210798	1	Ferlin_C	92.3	84203338-84203361,84205784-84205893,84207093-84207240,84210793-84210798	PF16165	http://pfam.sanger.ac.uk/family?acc=PF16165
6	84070911	84072701	1	FerIin_dom	65.4	84070911-84070994,84072633-84072701	PF08151	http://pfam.sanger.ac.uk/family?acc=PF08151
6	84101890	84106924	1	Ferlin_A-domain	69.5	84101890-84101969,84106810-84106924	PF08165	http://pfam.sanger.ac.uk/family?acc=PF08165
6	84108047	84111921	1	Ferlin_B-domain	101.9	84108047-84108202,84111856-84111921	PF08150	http://pfam.sanger.ac.uk/family?acc=PF08150
6	84019524	84058470	1	C2_dom	331.2	84019524-84019608,84037234-84037289,84039506-84039597,84058419-84058470	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84194732	84203223	1	C2_dom	331.2	84194732-84194760,84195178-84195319,84199748-84199847,84203183-84203223	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84130130	84140088	1	C2_dom	331.2	84130130-84130193,84137218-84137399,84140011-84140088	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84149886	84151988	1	C2_dom	331.2	84149886-84150035,84151884-84151988	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84072720	84087852	1	C2_dom	331.2	84072720-84072759,84073862-84073965,84083716-84083784,84083914-84083957,84087792-84087852	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84186452	84189804	1	C2_dom	331.2	84186452-84186508,84188205-84188296,84189684-84189804	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
6	84065085	84070193	1	C2_dom	331.2	84065085-84065087,84066944-84067072,84067454-84067516,84068053-84068103,84070173-84070193	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
