#>P	ENSMUSG00000066842	ENSMUST00000074783	ENSMUSP00000074340	1	150563530	150993051	-1	hemicentin 1 [Source:MGI Symbol;Acc:MGI:2685047]
#>E	ENSMUSE00001324391,ENSMUSE00000159808,ENSMUSE00000159697,ENSMUSE00000467215,ENSMUSE00001238636,ENSMUSE00000159782,ENSMUSE00000159818,ENSMUSE00000159699,ENSMUSE00000159675,ENSMUSE00000159820,ENSMUSE00000159754,ENSMUSE00000159775,ENSMUSE00000159687,ENSMUSE00000159679,ENSMUSE00000159824,ENSMUSE00000159821,ENSMUSE00000159778,ENSMUSE00000159725,ENSMUSE00000159714,ENSMUSE00000159747,ENSMUSE00000475795,ENSMUSE00000159739,ENSMUSE00000689500,ENSMUSE00000689501,ENSMUSE00000689502,ENSMUSE00000689503,ENSMUSE00000689504,ENSMUSE00000689505,ENSMUSE00000689506,ENSMUSE00000689507,ENSMUSE00000689508,ENSMUSE00000689509,ENSMUSE00000689510,ENSMUSE00000689512,ENSMUSE00000689513,ENSMUSE00000689514,ENSMUSE00000689515,ENSMUSE00000689516,ENSMUSE00000689517,ENSMUSE00000689518,ENSMUSE00000689519,ENSMUSE00000689520,ENSMUSE00000689521,ENSMUSE00000689522,ENSMUSE00000689523,ENSMUSE00000689524,ENSMUSE00000689525,ENSMUSE00000689527,ENSMUSE00000689528,ENSMUSE00000689529,ENSMUSE00000689530,ENSMUSE00000689531,ENSMUSE00000689532,ENSMUSE00000689533,ENSMUSE00000689534,ENSMUSE00000689535,ENSMUSE00000689536,ENSMUSE00000689537,ENSMUSE00000689538,ENSMUSE00000689540,ENSMUSE00000689542,ENSMUSE00000689543,ENSMUSE00000689544,ENSMUSE00000689545,ENSMUSE00000689546,ENSMUSE00000689547,ENSMUSE00000689548,ENSMUSE00000689549,ENSMUSE00000689550,ENSMUSE00000689551,ENSMUSE00000689552,ENSMUSE00000689553,ENSMUSE00000689554,ENSMUSE00000689555,ENSMUSE00000689557,ENSMUSE00000689558,ENSMUSE00000689560,ENSMUSE00000689561,ENSMUSE00000689563,ENSMUSE00000689564,ENSMUSE00000689566,ENSMUSE00000689567,ENSMUSE00000689569,ENSMUSE00000689570,ENSMUSE00000689572,ENSMUSE00000260235,ENSMUSE00000260248,ENSMUSE00000159819,ENSMUSE00000159744,ENSMUSE00000159721,ENSMUSE00000159703,ENSMUSE00000260072,ENSMUSE00000689576,ENSMUSE00000689577,ENSMUSE00000689578,ENSMUSE00000689580,ENSMUSE00000689581,ENSMUSE00000689582,ENSMUSE00000689584,ENSMUSE00000689586,ENSMUSE00000689588,ENSMUSE00000689589,ENSMUSE00000689591,ENSMUSE00000689592,ENSMUSE00000689594,ENSMUSE00000689595,ENSMUSE00000915655	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	150563527-150563893,150565317-150565443,150573476-150573595,150577272-150577622,150580228-150580356,150582223-150582348,150583167-150583280,150586355-150586489,150586949-150587068,150588212-150588274,150592956-150593193,150593912-150594033,150595119-150595256,150595847-150595996,150597936-150598106,150598256-150598426,150598872-150599042,150599481-150599651,150603791-150603961,150604096-150604266,150604845-150605114,150607289-150607370,150609623-150609813,150610618-150610752,150612627-150612840,150615110-150615300,150618841-150619110,150622901-150623035,150623164-150623301,150624487-150624594,150627030-150627194,150627373-150627494,150630216-150630372,150630654-150630781,150631167-150631311,150632406-150632547,150633610-150633746,150635122-150635203,150638853-150639049,150646578-150646856,150648887-150648984,150649579-150649762,150649962-150650086,150652512-150652671,150655793-150655942,150656454-150656585,150656693-150656774,150657071-150657273,150657378-150657491,150658479-150658640,150663858-150663954,150664773-150664960,150667827-150667940,150669373-150669567,150671912-150672062,150674296-150674441,150675513-150675626,150675976-150676149,150677236-150677427,150679509-150679595,150680611-150680724,150683590-150683757,150686665-150686946,150689516-150689677,150690554-150690676,150694837-150694933,150697420-150697595,150700437-150700560,150701832-150701983,150703169-150703345,150704137-150704238,150715701-150715824,150719095-150719249,150720617-150720786,150721613-150721721,150722362-150722643,150723258-150723536,150732803-150732957,150734445-150734571,150737182-150737329,150737478-150737608,150738588-150738782,150742264-150742359,150743587-150743856,150744953-150745080,150748172-150748340,150748945-150749104,150750651-150750763,150753570-150753714,150755256-150755383,150756523-150756618,150758268-150758462,150765357-150765515,150770234-150770347,150772436-150772563,150773764-150773905,150798722-150798997,150802817-150802938,150806368-150806512,150808533-150808796,150809687-150809807,150817021-150817127,150819359-150819530,150859139-150859261,150860219-150860377,150876425-150876495,150992784-150993051
1	150565433	150573536	-1	cEGF	148.2	150565433-150565443,150573476-150573536	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
1	150593068	150595997	-1	G2_nidogen/fibulin_G2F	184	150593068-150593193,150593912-150594033,150595119-150595256,150595847-150595997	PF07474	http://pfam.sanger.ac.uk/family?acc=PF07474
1	150598876	150599025	-1	TSP1_rpt	204.7	150598876-150599025	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150597940	150598089	-1	TSP1_rpt	204.7	150597940-150598089	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150604100	150604252	-1	TSP1_rpt	204.7	150604100-150604252	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150598260	150598412	-1	TSP1_rpt	204.7	150598260-150598412	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150599485	150599634	-1	TSP1_rpt	204.7	150599485-150599634	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150603795	150603947	-1	TSP1_rpt	204.7	150603795-150603947	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
1	150577504	150577623	-1	EGF-like_Ca-bd_dom	205.8	150577504-150577623	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150580232	150580357	-1	EGF-like_Ca-bd_dom	205.8	150580232-150580357	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150582227	150582349	-1	EGF-like_Ca-bd_dom	205.8	150582227-150582349	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150586953	150587069	-1	EGF-like_Ca-bd_dom	205.8	150586953-150587069	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150583171	150583281	-1	EGF-like_Ca-bd_dom	205.8	150583171-150583281	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150586359	150586490	-1	EGF-like_Ca-bd_dom	205.8	150586359-150586490	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
1	150722366	150722614	-1	Ig_I-set	2317.3	150722366-150722614	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150737186	150737579	-1	Ig_I-set	2317.3	150737186-150737329,150737478-150737579	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150772446	150773900	-1	Ig_I-set	2317.3	150772446-150772563,150773764-150773900	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150715705	150719196	-1	Ig_I-set	2317.3	150715705-150715824,150719095-150719196	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150667831	150669490	-1	Ig_I-set	2317.3	150667831-150667940,150669373-150669490	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150618845	150619105	-1	Ig_I-set	2317.3	150618845-150619105	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150627377	150630367	-1	Ig_I-set	2317.3	150627377-150627494,150630216-150630367	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150649966	150652645	-1	Ig_I-set	2317.3	150649966-150650086,150652512-150652645	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150632410	150633714	-1	Ig_I-set	2317.3	150632410-150632547,150633610-150633714	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150686669	150686908	-1	Ig_I-set	2317.3	150686669-150686908	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150607296	150609763	-1	Ig_I-set	2317.3	150607296-150607370,150609623-150609763	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150671916	150674394	-1	Ig_I-set	2317.3	150671916-150672062,150674296-150674394	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150689520	150690647	-1	Ig_I-set	2317.3	150689520-150689677,150690554-150690647	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150680615	150683728	-1	Ig_I-set	2317.3	150680615-150680724,150683590-150683728	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150663862	150664925	-1	Ig_I-set	2317.3	150663862-150663954,150664773-150664925	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150700441	150701978	-1	Ig_I-set	2317.3	150700441-150700560,150701832-150701978	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150744957	150748296	-1	Ig_I-set	2317.3	150744957-150745080,150748172-150748296	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150630658	150631303	-1	Ig_I-set	2317.3	150630658-150630781,150631167-150631303	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150677240	150679572	-1	Ig_I-set	2317.3	150677240-150677427,150679509-150679572	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150646582	150646824	-1	Ig_I-set	2317.3	150646582-150646824	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150798726	150798992	-1	Ig_I-set	2317.3	150798726-150798992	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
1	150723262	150723495	-1	Ig_I-set	2317.3	150723262-150723495	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
