#>P	ENSMUSG00000055632	ENSMUST00000113532	ENSMUSP00000109160	2	31314415	31460392	1	hemicentin 2 [Source:MGI Symbol;Acc:MGI:2677838]
#>E	ENSMUSE00000696086,ENSMUSE00000696085,ENSMUSE00000696084,ENSMUSE00000696083,ENSMUSE00000696082,ENSMUSE00000696081,ENSMUSE00000696080,ENSMUSE00000696079,ENSMUSE00000696078,ENSMUSE00000696077,ENSMUSE00000696076,ENSMUSE00000696075,ENSMUSE00000696074,ENSMUSE00000696073,ENSMUSE00000696072,ENSMUSE00000696070,ENSMUSE00000696069,ENSMUSE00000696068,ENSMUSE00000696067,ENSMUSE00000696066,ENSMUSE00000696065,ENSMUSE00000696064,ENSMUSE00000696063,ENSMUSE00000696062,ENSMUSE00000696061,ENSMUSE00000696060,ENSMUSE00000696059,ENSMUSE00000696058,ENSMUSE00000696057,ENSMUSE00000696056,ENSMUSE00000696055,ENSMUSE00000696054,ENSMUSE00000696053,ENSMUSE00000696052,ENSMUSE00000696050,ENSMUSE00000696049,ENSMUSE00000696048,ENSMUSE00000696047,ENSMUSE00000696046,ENSMUSE00000696045,ENSMUSE00000696044,ENSMUSE00000696043,ENSMUSE00000696042,ENSMUSE00000696041,ENSMUSE00000696040,ENSMUSE00000696039,ENSMUSE00000696038,ENSMUSE00000696036,ENSMUSE00000696035,ENSMUSE00000696034,ENSMUSE00000696032,ENSMUSE00000696031,ENSMUSE00000696030,ENSMUSE00000696029,ENSMUSE00000696027,ENSMUSE00000696026,ENSMUSE00000696025,ENSMUSE00000696024,ENSMUSE00000696022,ENSMUSE00000696021,ENSMUSE00000696020,ENSMUSE00000696019,ENSMUSE00000696018,ENSMUSE00000696017,ENSMUSE00000696016,ENSMUSE00000696014,ENSMUSE00000696012,ENSMUSE00000696011,ENSMUSE00000696010,ENSMUSE00000696009,ENSMUSE00000696008,ENSMUSE00000696007,ENSMUSE00000696006,ENSMUSE00000696005,ENSMUSE00000696004,ENSMUSE00000696003,ENSMUSE00000695997,ENSMUSE00000695996,ENSMUSE00000695995,ENSMUSE00000695994,ENSMUSE00000695991,ENSMUSE00000695990,ENSMUSE00000695989,ENSMUSE00000695988,ENSMUSE00000695987,ENSMUSE00001274236,ENSMUSE00001206380,ENSMUSE00001216329,ENSMUSE00001252971,ENSMUSE00001235836,ENSMUSE00001239508,ENSMUSE00001260955,ENSMUSE00001292025,ENSMUSE00001215497,ENSMUSE00001220974,ENSMUSE00001222421,ENSMUSE00001211601,ENSMUSE00000828670	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	31314415-31314676,31333855-31333925,31335414-31335572,31336507-31336629,31343056-31343227,31344012-31344118,31344469-31344589,31346462-31346725,31349978-31350122,31350519-31350640,31352609-31352881,31353716-31353857,31354166-31354293,31354622-31354735,31356224-31356373,31360881-31361069,31361797-31361892,31362158-31362285,31364217-31364361,31368951-31369063,31369174-31369330,31370781-31370946,31378241-31378368,31380228-31380482,31381042-31381128,31382327-31382521,31383650-31383814,31384047-31384187,31384839-31384965,31385150-31385304,31386611-31386889,31388167-31388445,31389003-31389111,31389255-31389449,31390940-31391117,31391415-31391526,31392130-31392225,31392962-31393138,31394689-31394846,31396021-31396144,31396644-31396819,31397476-31397572,31397689-31397808,31398881-31399042,31400019-31400300,31401600-31401767,31402412-31402525,31403653-31403739,31404714-31404905,31405486-31405659,31405781-31405894,31406381-31406523,31406992-31407142,31408931-31409149,31411249-31411362,31411721-31411908,31412474-31412570,31413254-31413415,31413567-31413680,31414527-31414729,31415201-31415282,31416710-31416841,31419822-31419965,31420058-31420217,31420298-31420422,31420773-31420956,31422603-31422700,31423090-31423356,31423892-31424067,31424197-31424278,31424366-31424502,31425138-31425279,31425354-31425498,31426145-31426272,31426797-31426953,31428188-31428309,31428955-31429119,31430339-31430446,31430715-31430849,31431082-31431216,31432133-31432323,31433275-31433488,31434684-31434818,31435711-31435901,31438248-31438329,31445074-31445343,31450808-31450957,31452810-31452947,31453043-31453164,31453383-31453620,31454628-31454690,31454805-31454927,31455492-31455626,31457060-31457188,31457733-31458053,31458684-31458803,31459081-31459207,31460050-31460395
2	31450807	31453514	1	G2_nidogen/fibulin_G2F	184.5	31450807-31450957,31452810-31452947,31453043-31453164,31453383-31453514	PF07474	http://pfam.sanger.ac.uk/family?acc=PF07474
2	31458743	31459091	1	cEGF	112.5	31458743-31458803,31459081-31459091	PF12662	http://pfam.sanger.ac.uk/family?acc=PF12662
2	31454804	31454923	1	EGF-like_Ca-bd_dom	147.6	31454804-31454923	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	31455491	31455622	1	EGF-like_Ca-bd_dom	147.6	31455491-31455622	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	31457059	31457184	1	EGF-like_Ca-bd_dom	147.6	31457059-31457184	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	31457732	31457851	1	EGF-like_Ca-bd_dom	147.6	31457732-31457851	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
2	31423122	31423352	1	Ig_I-set	2093.2	31423122-31423352	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31405527	31405890	1	Ig_I-set	2093.2	31405527-31405659,31405781-31405890	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31432138	31433352	1	Ig_I-set	2093.2	31432138-31432323,31433275-31433352	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31400051	31400296	1	Ig_I-set	2093.2	31400051-31400296	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31386643	31386885	1	Ig_I-set	2093.2	31386643-31386885	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31445079	31445339	1	Ig_I-set	2093.2	31445079-31445339	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31381089	31382517	1	Ig_I-set	2093.2	31381089-31381128,31382327-31382517	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31353721	31354283	1	Ig_I-set	2093.2	31353721-31353857,31354166-31354283	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31430723	31431212	1	Ig_I-set	2093.2	31430723-31430849,31431082-31431212	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31389035	31389420	1	Ig_I-set	2093.2	31389035-31389111,31389255-31389420	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31414565	31415278	1	Ig_I-set	2093.2	31414565-31414729,31415201-31415278	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31409026	31411358	1	Ig_I-set	2093.2	31409026-31409149,31411249-31411358	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31435758	31438319	1	Ig_I-set	2093.2	31435758-31435901,31438248-31438319	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31425359	31426268	1	Ig_I-set	2093.2	31425359-31425498,31426145-31426268	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31360886	31361882	1	Ig_I-set	2093.2	31360886-31361069,31361797-31361882	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31401632	31402521	1	Ig_I-set	2093.2	31401632-31401767,31402412-31402521	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31362163	31364357	1	Ig_I-set	2093.2	31362163-31362285,31364217-31364357	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31368959	31369326	1	Ig_I-set	2093.2	31368959-31369063,31369174-31369326	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31406425	31407132	1	Ig_I-set	2093.2	31406425-31406523,31406992-31407132	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31384889	31385300	1	Ig_I-set	2093.2	31384889-31384965,31385150-31385300	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31428984	31430442	1	Ig_I-set	2093.2	31428984-31429119,31430339-31430442	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31411756	31412566	1	Ig_I-set	2093.2	31411756-31411908,31412474-31412566	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31396670	31397568	1	Ig_I-set	2093.2	31396670-31396819,31397476-31397568	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31392138	31393131	1	Ig_I-set	2093.2	31392138-31392225,31392962-31393131	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31424425	31425275	1	Ig_I-set	2093.2	31424425-31424502,31425138-31425275	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31397709	31399038	1	Ig_I-set	2093.2	31397709-31397808,31398881-31399038	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31403688	31404901	1	Ig_I-set	2093.2	31403688-31403739,31404714-31404901	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
2	31413283	31413676	1	Ig_I-set	2093.2	31413283-31413415,31413567-31413676	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
