#>P	ENSMUSG00000074867	ENSMUST00000099449	ENSMUSP00000097048	13	62130026	62173217	1	zinc finger protein 80 [Source:MGI Symbol;Acc:MGI:3704127]
#>E	ENSMUSE00000681636,ENSMUSE00001025991,ENSMUSE00001042951,ENSMUSE00000641540	1,1,1,1	62130026-62130028,62169442-62169568,62169754-62169814,62171150-62173220
13	62169448	62169755	1	KRAB	77.5	62169448-62169568,62169754-62169755	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
13	62172447	62172518	1	Znf_C2H2	171.7	62172447-62172518	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62171523	62171594	1	Znf_C2H2	171.7	62171523-62171594	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62171943	62172014	1	Znf_C2H2	171.7	62171943-62172014	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62172363	62172431	1	Znf_C2H2	171.7	62172363-62172431	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62172867	62172935	1	Znf_C2H2	171.7	62172867-62172935	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62172531	62172605	1	Znf_C2H2	171.7	62172531-62172605	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62173119	62173187	1	Znf_C2H2	171.7	62173119-62173187	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62171775	62171846	1	Znf_C2H2	171.7	62171775-62171846	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62172615	62172689	1	Znf_C2H2	171.7	62172615-62172689	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62172069	62172146	1	Znf_C2H2	651.3	62172069-62172146	PF13465	http://pfam.sanger.ac.uk/family?acc=PF13465
13	62172741	62172815	1	Znf_C2H2	651.3	62172741-62172815	PF13465	http://pfam.sanger.ac.uk/family?acc=PF13465
13	62172951	62173019	1	Znf_C2H2	331.8	62172951-62173019	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
13	62171859	62171927	1	Znf_C2H2	331.8	62171859-62171927	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
