#>P	ENSMUSG00000094942	ENSMUST00000187656	ENSMUSP00000139845	13	62368866	62383082	-1	predicted gene 3604 [Source:MGI Symbol;Acc:MGI:3781781]
#>E	ENSMUSE00001330888,ENSMUSE00001093138,ENSMUSE00000964187,ENSMUSE00001332299	0,0,1,0	62368863-62370351,62371563-62371623,62371810-62371936,62383080-62383082
13	62371622	62371930	-1	KRAB	77.6	62371622-62371623,62371810-62371930	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
13	62369826	62369894	-1	Znf_C2H2	107.6	62369826-62369894	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369406	62369474	-1	Znf_C2H2	107.6	62369406-62369474	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369742	62369810	-1	Znf_C2H2	107.6	62369742-62369810	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369487	62369558	-1	Znf_C2H2	107.6	62369487-62369558	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369991	62370062	-1	Znf_C2H2	107.6	62369991-62370062	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369910	62369978	-1	Znf_C2H2	107.6	62369910-62369978	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369151	62369222	-1	Znf_C2H2	107.6	62369151-62369222	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62369322	62369390	-1	Znf_C2H2	107.6	62369322-62369390	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
13	62368986	62369054	-1	Znf_C2H2	223.2	62368986-62369054	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
13	62369070	62369138	-1	Znf_C2H2	223.2	62369070-62369138	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
