#>P	ENSMUSG00000038725	ENSMUST00000209244	ENSMUSP00000147447	15	44457553	44601167	1	polycystic kidney and hepatic disease 1-like 1 [Source:MGI Symbol;Acc:MGI:2183153]
#>E	ENSMUSE00000379171,ENSMUSE00000252269,ENSMUSE00000252263,ENSMUSE00000252258,ENSMUSE00000252253,ENSMUSE00000252249,ENSMUSE00000252245,ENSMUSE00000252239,ENSMUSE00000252232,ENSMUSE00000252227,ENSMUSE00000252222,ENSMUSE00000252217,ENSMUSE00000252211,ENSMUSE00000252204,ENSMUSE00000252198,ENSMUSE00000252191,ENSMUSE00000252190,ENSMUSE00000252184,ENSMUSE00000252177,ENSMUSE00000252170,ENSMUSE00000252164,ENSMUSE00000252156,ENSMUSE00000252148,ENSMUSE00000252141,ENSMUSE00000252135,ENSMUSE00000252128,ENSMUSE00000252121,ENSMUSE00000252116,ENSMUSE00000252106,ENSMUSE00000252098,ENSMUSE00000252091,ENSMUSE00000252084,ENSMUSE00000252078,ENSMUSE00000252072,ENSMUSE00000252066,ENSMUSE00000252059,ENSMUSE00000252051,ENSMUSE00000252043,ENSMUSE00000447994,ENSMUSE00000447989,ENSMUSE00000447985,ENSMUSE00000447983,ENSMUSE00000447977,ENSMUSE00000447974,ENSMUSE00000447971,ENSMUSE00000447969,ENSMUSE00000447963,ENSMUSE00000447956,ENSMUSE00000447949,ENSMUSE00000447946,ENSMUSE00000447939,ENSMUSE00000447932,ENSMUSE00000447929,ENSMUSE00000447922,ENSMUSE00000447918,ENSMUSE00000447912,ENSMUSE00000447906,ENSMUSE00000447900,ENSMUSE00000447898,ENSMUSE00000447894,ENSMUSE00000447889,ENSMUSE00000447887,ENSMUSE00000447882,ENSMUSE00000447879,ENSMUSE00000447875,ENSMUSE00000447870,ENSMUSE00000447865,ENSMUSE00000447861,ENSMUSE00000447856,ENSMUSE00000447849,ENSMUSE00000251996,ENSMUSE00000251990,ENSMUSE00000251985,ENSMUSE00000251977,ENSMUSE00000251971,ENSMUSE00000251967,ENSMUSE00001389498,ENSMUSE00001384082	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	44457553-44457625,44459393-44459482,44466278-44466422,44467339-44467447,44477552-44477609,44479604-44479697,44483809-44483862,44484354-44484427,44485407-44485449,44489515-44489585,44491026-44491136,44493063-44493152,44495409-44495677,44496142-44496233,44497929-44498088,44498466-44498601,44499249-44499392,44499999-44500156,44501438-44501551,44503213-44503362,44503943-44504067,44505148-44505311,44505485-44505657,44511548-44511695,44512789-44512943,44514852-44514974,44516103-44516208,44518109-44518219,44519687-44519851,44520721-44520842,44522596-44522728,44523493-44523685,44525202-44525344,44525947-44526051,44526691-44526879,44527618-44527788,44528101-44528327,44529059-44530043,44532857-44533105,44533743-44533892,44535714-44535888,44536809-44536965,44537336-44537492,44538895-44538974,44539645-44539774,44540848-44540977,44543370-44543611,44545362-44545498,44546479-44547508,44550749-44550940,44554552-44554703,44555895-44556054,44556782-44556953,44557924-44558012,44558511-44558659,44560388-44560517,44561771-44561889,44562618-44562747,44564252-44564425,44566265-44566368,44568233-44568362,44569462-44569583,44569959-44570049,44573572-44573720,44573804-44573926,44574407-44574518,44574599-44574715,44578492-44578657,44581725-44581957,44582148-44582315,44584819-44584976,44586393-44586528,44589367-44589708,44591873-44592024,44594457-44594603,44594887-44595040,44596878-44597135,44601160-44601170
15	44495417	44497956	1	PA14_dom	41.6	44495417-44495677,44496142-44496233,44497929-44497956	PF07691	http://pfam.sanger.ac.uk/family?acc=PF07691
15	44529242	44529496	1	IPT	584.2	44529242-44529496	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44519812	44522670	1	IPT	584.2	44519812-44519851,44520721-44520842,44522596-44522670	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44535809	44536965	1	IPT	584.2	44535809-44535888,44536809-44536965	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44522686	44523677	1	IPT	584.2	44522686-44522728,44523493-44523677	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44529758	44529997	1	IPT	584.2	44529758-44529997	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44489582	44495443	1	IPT	584.2	44489582-44489585,44491026-44491136,44493063-44493152,44495409-44495443	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44530013	44533071	1	IPT	584.2	44530013-44530043,44532857-44533071	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44529512	44529748	1	IPT	584.2	44529512-44529748	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44533078	44535793	1	IPT	584.2	44533078-44533105,44533743-44533892,44535714-44535793	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44516178	44519757	1	IPT	584.2	44516178-44516208,44518109-44518219,44519687-44519757	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44477570	44489539	1	IPT	584.2	44477570-44477609,44479604-44479697,44483809-44483862,44484354-44484427,44485407-44485449,44489515-44489539	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44525248	44526008	1	IPT	584.2	44525248-44525344,44525947-44526008	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44528232	44529160	1	IPT	584.2	44528232-44528327,44529059-44529160	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44459410	44467384	1	IPT	584.2	44459410-44459482,44466278-44466422,44467339-44467384	PF01833	http://pfam.sanger.ac.uk/family?acc=PF01833
15	44557946	44561829	1	G8_domain	232.7	44557946-44558012,44558511-44558659,44560388-44560517,44561771-44561829	PF10162	http://pfam.sanger.ac.uk/family?acc=PF10162
15	44537384	44540882	1	G8_domain	232.7	44537384-44537492,44538895-44538974,44539645-44539774,44540848-44540882	PF10162	http://pfam.sanger.ac.uk/family?acc=PF10162
