#>P	ENSMUSG00000026478	ENSMUST00000027752	ENSMUSP00000027752	1	153221476	153332539	-1	laminin, gamma 1 [Source:MGI Symbol;Acc:MGI:99914]
#>E	ENSMUSE00000386201,ENSMUSE00000256206,ENSMUSE00000256216,ENSMUSE00000256228,ENSMUSE00000159565,ENSMUSE00001213381,ENSMUSE00001206801,ENSMUSE00000159574,ENSMUSE00000159552,ENSMUSE00000159558,ENSMUSE00000159559,ENSMUSE00000159554,ENSMUSE00000159555,ENSMUSE00000159569,ENSMUSE00000159553,ENSMUSE00000159551,ENSMUSE00000159572,ENSMUSE00000159549,ENSMUSE00001230284,ENSMUSE00001221391,ENSMUSE00000159567,ENSMUSE00000159561,ENSMUSE00000159556,ENSMUSE00000159560,ENSMUSE00000159546,ENSMUSE00000159570,ENSMUSE00000256378,ENSMUSE00000256385	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	153221473-153221729,153223659-153223758,153226384-153226542,153227511-153227710,153228735-153228849,153229042-153229191,153230722-153230866,153231734-153231871,153233485-153233564,153234448-153234653,153239255-153239411,153240317-153240495,153241877-153242019,153242629-153242782,153243231-153243476,153246938-153247126,153247237-153247458,153249040-153249152,153249565-153249754,153249845-153249967,153250387-153250523,153250612-153250710,153251077-153251194,153251952-153252140,153255189-153255355,153258076-153258206,153262390-153262694,153332128-153332539
1	153247385	153249860	-1	Laminin_IV	88.3	153247385-153247458,153249040-153249152,153249565-153249754,153249845-153249860	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
1	153258078	153332398	-1	Laminin_N	270.3	153258078-153258206,153262390-153262694,153332128-153332398	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
1	153243427	153247022	-1	Laminin_EGF	288.7	153243427-153243476,153246938-153247022	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153247029	153247279	-1	Laminin_EGF	288.7	153247029-153247126,153247237-153247279	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153241881	153242018	-1	Laminin_EGF	288.7	153241881-153242018	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153242634	153242780	-1	Laminin_EGF	288.7	153242634-153242780	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153247316	153247384	-1	Laminin_EGF	288.7	153247316-153247384	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153251079	153251970	-1	Laminin_EGF	288.7	153251079-153251194,153251952-153251970	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153251977	153252138	-1	Laminin_EGF	288.7	153251977-153252138	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153243235	153243396	-1	Laminin_EGF	288.7	153243235-153243396	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153240356	153240493	-1	Laminin_EGF	288.7	153240356-153240493	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153250475	153250706	-1	Laminin_EGF	288.7	153250475-153250523,153250612-153250706	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	153255214	153255354	-1	Laminin_EGF	288.7	153255214-153255354	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
