#>P	ENSMUSG00000033952	ENSMUST00000053364	ENSMUSP00000059159	1	139454932	139493747	1	asp (abnormal spindle)-like, microcephaly associated (Drosophila) [Source:MGI Symbol;Acc:MGI:1334448]
#>E	ENSMUSE00001353439,ENSMUSE00001233347,ENSMUSE00001225485,ENSMUSE00001260323,ENSMUSE00001250858,ENSMUSE00001298777,ENSMUSE00001251680,ENSMUSE00001281114,ENSMUSE00001311848,ENSMUSE00001248278,ENSMUSE00000386272,ENSMUSE00000351105,ENSMUSE00001238855,ENSMUSE00001246653,ENSMUSE00001229412,ENSMUSE00000352077,ENSMUSE00000376583,ENSMUSE00000462716,ENSMUSE00000375010,ENSMUSE00000379412,ENSMUSE00000340643,ENSMUSE00000382766,ENSMUSE00000485201,ENSMUSE00000494811,ENSMUSE00000368705,ENSMUSE00000407660,ENSMUSE00000402082,ENSMUSE00001351151	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	139454932-139455204,139456740-139456883,139457037-139458444,139461426-139461530,139461772-139461918,139463056-139463301,139464236-139464303,139467918-139468059,139468618-139468748,139469336-139469511,139470438-139470583,139470672-139470757,139471571-139471792,139473538-139473745,139473838-139473980,139474245-139474373,139476708-139476902,139477346-139481140,139482338-139482504,139485700-139485787,139487207-139487416,139488388-139488537,139489646-139489837,139489964-139490156,139490299-139490453,139491518-139491694,139492707-139492876,139493648-139493750
1	139455016	139456844	1	ASH	111.5	139455016-139455204,139456740-139456844	PF15780	http://pfam.sanger.ac.uk/family?acc=PF15780
1	139471742	139474274	1	CH-domain	61.5	139471742-139471792,139473538-139473745,139473838-139473980,139474245-139474274	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
1	139478465	139478527	1	IQ_motif_EF-hand-BS	369.3	139478465-139478527	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478759	139478815	1	IQ_motif_EF-hand-BS	369.3	139478759-139478815	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139479344	139479397	1	IQ_motif_EF-hand-BS	369.3	139479344-139479397	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478249	139478308	1	IQ_motif_EF-hand-BS	369.3	139478249-139478308	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139477463	139477516	1	IQ_motif_EF-hand-BS	369.3	139477463-139477516	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139479191	139479247	1	IQ_motif_EF-hand-BS	369.3	139479191-139479247	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480475	139480534	1	IQ_motif_EF-hand-BS	369.3	139480475-139480534	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478903	139478965	1	IQ_motif_EF-hand-BS	369.3	139478903-139478965	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139482383	139482439	1	IQ_motif_EF-hand-BS	369.3	139482383-139482439	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478687	139478746	1	IQ_motif_EF-hand-BS	369.3	139478687-139478746	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139479998	139480060	1	IQ_motif_EF-hand-BS	369.3	139479998-139480060	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478972	139479034	1	IQ_motif_EF-hand-BS	369.3	139478972-139479034	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139479854	139479907	1	IQ_motif_EF-hand-BS	369.3	139479854-139479907	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139488517	139489681	1	IQ_motif_EF-hand-BS	369.3	139488517-139488537,139489646-139489681	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139487210	139487269	1	IQ_motif_EF-hand-BS	369.3	139487210-139487269	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480214	139480273	1	IQ_motif_EF-hand-BS	369.3	139480214-139480273	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478537	139478593	1	IQ_motif_EF-hand-BS	369.3	139478537-139478593	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480850	139480903	1	IQ_motif_EF-hand-BS	369.3	139480850-139480903	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139477670	139477726	1	IQ_motif_EF-hand-BS	369.3	139477670-139477726	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480625	139480684	1	IQ_motif_EF-hand-BS	369.3	139480625-139480684	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139478177	139478239	1	IQ_motif_EF-hand-BS	369.3	139478177-139478239	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139489817	139489996	1	IQ_motif_EF-hand-BS	369.3	139489817-139489837,139489964-139489996	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139477889	139477951	1	IQ_motif_EF-hand-BS	369.3	139477889-139477951	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139487363	139487416	1	IQ_motif_EF-hand-BS	369.3	139487363-139487416	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480073	139480126	1	IQ_motif_EF-hand-BS	369.3	139480073-139480126	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139481066	139481116	1	IQ_motif_EF-hand-BS	369.3	139481066-139481116	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139476882	139477381	1	IQ_motif_EF-hand-BS	369.3	139476882-139476902,139477346-139477381	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480409	139480468	1	IQ_motif_EF-hand-BS	369.3	139480409-139480468	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139479410	139479469	1	IQ_motif_EF-hand-BS	369.3	139479410-139479469	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	139480283	139480342	1	IQ_motif_EF-hand-BS	369.3	139480283-139480342	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
