#>P	ENSMUSG00000074505	ENSMUST00000082170	ENSMUSP00000080808	9	15915002	16378225	-1	FAT atypical cadherin 3 [Source:MGI Symbol;Acc:MGI:2444314]
#>E	ENSMUSE00000703478,ENSMUSE00000703480,ENSMUSE00000638545,ENSMUSE00000496298,ENSMUSE00000638547,ENSMUSE00000487258,ENSMUSE00001060010,ENSMUSE00000492073,ENSMUSE00000490479,ENSMUSE00000489054,ENSMUSE00000513024,ENSMUSE00000511580,ENSMUSE00000510659,ENSMUSE00000703482,ENSMUSE00000703483,ENSMUSE00000703484,ENSMUSE00000703486,ENSMUSE00000703487,ENSMUSE00000214878,ENSMUSE00000703489,ENSMUSE00000703490,ENSMUSE00000703492,ENSMUSE00000703495,ENSMUSE00000585018,ENSMUSE00000585019	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	15914999-15915621,15919164-15919277,15922376-15923028,15924941-15925094,15937993-15938461,15944842-15944999,15947434-15947568,15959744-15960542,15962769-15962966,15965963-15966106,15966975-15967112,15968127-15968341,15969719-15970108,15988270-15988503,15990496-15990649,15992120-15992316,15995824-15999897,16003844-16004054,16006530-16006805,16021316-16021455,16029814-16030024,16031106-16031420,16085259-16085320,16246721-16247035,16374949-16378225
9	15938141	15944907	-1	Laminin_G	67.1	15938141-15938461,15944842-15944907	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
9	16246911	16375093	-1	Cadherin	1591.4	16246911-16247035,16374949-16375093	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16003995	16006748	-1	Cadherin	1591.4	16003995-16004054,16006530-16006748	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15992162	15995935	-1	Cadherin	1591.4	15992162-15992316,15995824-15995935	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15999737	16003955	-1	Cadherin	1591.4	15999737-15999897,16003844-16003955	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15997901	15998149	-1	Cadherin	1591.4	15997901-15998149	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15996950	15997219	-1	Cadherin	1591.4	15996950-15997219	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16029965	16031315	-1	Cadherin	1591.4	16029965-16030024,16031106-16031315	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15999104	15999346	-1	Cadherin	1591.4	15999104-15999346	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15998804	15999028	-1	Cadherin	1591.4	15998804-15999028	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16375148	16375420	-1	Cadherin	1591.4	16375148-16375420	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16031355	16246859	-1	Cadherin	1591.4	16031355-16031420,16085259-16085320,16246721-16246859	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15996623	15996907	-1	Cadherin	1591.4	15996623-15996907	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16375775	16376044	-1	Cadherin	1591.4	16375775-16376044	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15968220	15969869	-1	Cadherin	1591.4	15968220-15968341,15969719-15969869	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16377470	16377754	-1	Cadherin	1591.4	16377470-16377754	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16375469	16375735	-1	Cadherin	1591.4	16375469-16375735	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15997259	15997522	-1	Cadherin	1591.4	15997259-15997522	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15988421	15990643	-1	Cadherin	1591.4	15988421-15988503,15990496-15990643	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	16376537	16376812	-1	Cadherin	1591.4	16376537-16376812	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15966023	15968177	-1	Cadherin	1591.4	15966023-15966106,15966975-15967112,15968127-15968177	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15995975	15996262	-1	Cadherin	1591.4	15995975-15996262	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15998495	15998761	-1	Cadherin	1591.4	15998495-15998761	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15999443	15999694	-1	Cadherin	1591.4	15999443-15999694	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15998186	15998437	-1	Cadherin	1591.4	15998186-15998437	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15969909	15988345	-1	Cadherin	1591.4	15969909-15970108,15988270-15988345	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15997568	15997846	-1	Cadherin	1591.4	15997568-15997846	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
9	15960486	15965980	-1	Cadherin	1591.4	15960486-15960542,15962769-15962966,15965963-15965980	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
