#>P	ENSMUSG00000025020	ENSMUST00000025993	ENSMUSP00000025993	19	41600454	41743408	-1	slit homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:1315203]
#>E	ENSMUSE00000517914,ENSMUSE00000464432,ENSMUSE00000516476,ENSMUSE00000517545,ENSMUSE00000514545,ENSMUSE00001291340,ENSMUSE00000461527,ENSMUSE00000466396,ENSMUSE00000467166,ENSMUSE00000472550,ENSMUSE00000472860,ENSMUSE00000462342,ENSMUSE00000463143,ENSMUSE00000468457,ENSMUSE00000469766,ENSMUSE00000474613,ENSMUSE00000475375,ENSMUSE00000478668,ENSMUSE00000477172,ENSMUSE00000481872,ENSMUSE00000482708,ENSMUSE00000489782,ENSMUSE00000487229,ENSMUSE00000543797,ENSMUSE00000477767,ENSMUSE00000280770,ENSMUSE00000543802,ENSMUSE00000280833,ENSMUSE00000280860,ENSMUSE00000280884,ENSMUSE00000280907,ENSMUSE00000280926,ENSMUSE00000280944,ENSMUSE00000280967,ENSMUSE00000280987,ENSMUSE00000281012,ENSMUSE00000497420	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41600451-41600689,41601489-41601700,41602087-41602375,41603326-41603480,41604312-41604442,41606360-41606588,41608318-41608455,41610801-41610894,41611002-41611141,41614402-41614499,41614790-41614914,41616665-41616828,41624498-41624569,41625522-41625593,41627241-41627312,41629870-41629938,41630764-41630896,41634155-41634321,41634600-41634743,41637469-41637612,41637777-41637851,41638569-41638713,41638883-41638906,41639703-41639866,41646016-41646159,41646968-41647039,41648516-41648587,41648985-41649056,41649412-41649559,41650677-41650840,41651155-41651226,41651631-41651702,41652695-41652766,41721040-41721111,41727070-41727141,41729055-41729126,41743212-41743408
19	41601496	41601531	-1	EGF-like_CS	45.3	41601496-41601531	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
19	41602269	41604442	-1	Laminin_G	93.7	41602269-41602375,41603326-41603480,41604312-41604442	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
19	41647018	41649422	-1	Leu-rich_rpt	381.8	41647018-41647039,41648516-41648587,41648985-41649056,41649412-41649422	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41634650	41637554	-1	Leu-rich_rpt	381.8	41634650-41634743,41637469-41637554	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41650819	41652705	-1	Leu-rich_rpt	381.8	41650819-41650840,41651155-41651226,41651631-41651702,41652695-41652705	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41624551	41629880	-1	Leu-rich_rpt	381.8	41624551-41624569,41625522-41625593,41627241-41627312,41629870-41629880	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41639848	41646981	-1	Leu-rich_rpt	381.8	41639848-41639866,41646016-41646159,41646968-41646981	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41721090	41743225	-1	Leu-rich_rpt	381.8	41721090-41721111,41727070-41727141,41729055-41729126,41743212-41743225	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
19	41630781	41630864	-1	LRRNT	86.5	41630781-41630864	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
19	41649429	41649509	-1	LRRNT	86.5	41649429-41649509	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
19	41743229	41743312	-1	LRRNT	86.5	41743229-41743312	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
19	41638586	41638669	-1	LRRNT	86.5	41638586-41638669	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
19	41611108	41614469	-1	EGF-like_dom	120.8	41611108-41611141,41614402-41614469	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	41606585	41608400	-1	EGF-like_dom	120.8	41606585-41606588,41608318-41608400	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	41614491	41614876	-1	EGF-like_dom	120.8	41614491-41614499,41614790-41614876	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	41608422	41610865	-1	EGF-like_dom	120.8	41608422-41608455,41610801-41610865	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
19	41616669	41616740	-1	Cys-rich_flank_reg_C	62.5	41616669-41616740	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
19	41634159	41634236	-1	Cys-rich_flank_reg_C	62.5	41634159-41634236	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
19	41639704	41639778	-1	Cys-rich_flank_reg_C	62.5	41639704-41639778	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
19	41650678	41650755	-1	Cys-rich_flank_reg_C	62.5	41650678-41650755	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
