#>P	ENSMUSG00000032796	ENSMUST00000035471	ENSMUSP00000043957	17	67697335	67822446	1	laminin, alpha 1 [Source:MGI Symbol;Acc:MGI:99892]
#>E	ENSMUSE00000276652,ENSMUSE00000276627,ENSMUSE00000276607,ENSMUSE00000606410,ENSMUSE00000276562,ENSMUSE00000276533,ENSMUSE00000276506,ENSMUSE00000276477,ENSMUSE00000276448,ENSMUSE00000276427,ENSMUSE00000381554,ENSMUSE00000276379,ENSMUSE00000276357,ENSMUSE00000276335,ENSMUSE00000276314,ENSMUSE00000276297,ENSMUSE00000276275,ENSMUSE00000276245,ENSMUSE00000276223,ENSMUSE00000276193,ENSMUSE00000276152,ENSMUSE00000276115,ENSMUSE00000472245,ENSMUSE00000482312,ENSMUSE00000276093,ENSMUSE00000276071,ENSMUSE00000276043,ENSMUSE00000275990,ENSMUSE00000275958,ENSMUSE00000275920,ENSMUSE00000606409,ENSMUSE00000275851,ENSMUSE00000275832,ENSMUSE00000275807,ENSMUSE00000275772,ENSMUSE00000275746,ENSMUSE00000275723,ENSMUSE00000275681,ENSMUSE00000275652,ENSMUSE00000275631,ENSMUSE00000275604,ENSMUSE00000275584,ENSMUSE00000275559,ENSMUSE00000275524,ENSMUSE00000275489,ENSMUSE00000275469,ENSMUSE00000275453,ENSMUSE00000275434,ENSMUSE00000275409,ENSMUSE00000275383,ENSMUSE00000275366,ENSMUSE00000275344,ENSMUSE00000275325,ENSMUSE00000395396,ENSMUSE00000275281,ENSMUSE00000275260,ENSMUSE00000359613,ENSMUSE00000275214,ENSMUSE00000275192,ENSMUSE00000275176,ENSMUSE00000275127,ENSMUSE00000275104,ENSMUSE00000275082	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	67697335-67697416,67716694-67716864,67717162-67717274,67737474-67737716,67738711-67738890,67742025-67742114,67743275-67743392,67745046-67745224,67745850-67745955,67746748-67746908,67748044-67748184,67750517-67750690,67752382-67752483,67752778-67752989,67753751-67753862,67756667-67756777,67761603-67761730,67763771-67763857,67764630-67764841,67766953-67767059,67767385-67767565,67768300-67768436,67769380-67769616,67770956-67771099,67772662-67772841,67773687-67773872,67774464-67774591,67775771-67775891,67776908-67777045,67779049-67779170,67780529-67780615,67780879-67781072,67782020-67782162,67783994-67784083,67785051-67785162,67785998-67786160,67790819-67791026,67791210-67791326,67791445-67791608,67794195-67794330,67795200-67795293,67796697-67796813,67798527-67798709,67798983-67799137,67800759-67800902,67802896-67803029,67804400-67804550,67805362-67805486,67807778-67807928,67809211-67809355,67809840-67809981,67810070-67810184,67810330-67810500,67811439-67811590,67812326-67812511,67813853-67813988,67815178-67815290,67815855-67816044,67817003-67817161,67817527-67817680,67818584-67818717,67821518-67821740,67822289-67822449
17	67798550	67800845	1	Laminin_domII	146.5	67798550-67798709,67798983-67799137,67800759-67800845	PF06009	http://pfam.sanger.ac.uk/family?acc=PF06009
17	67818631	67822365	1	Laminin_G	490.3	67818631-67818717,67821518-67821740,67822289-67822365	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
17	67810417	67813859	1	Laminin_G	490.3	67810417-67810500,67811439-67811590,67812326-67812511,67813853-67813859	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
17	67807875	67810130	1	Laminin_G	490.3	67807875-67807928,67809211-67809355,67809840-67809981,67810070-67810130	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
17	67815874	67817586	1	Laminin_G	490.3	67815874-67816044,67817003-67817161,67817527-67817586	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
17	67800849	67805433	1	Laminin_G	490.3	67800849-67800902,67802896-67803029,67804400-67804550,67805362-67805433	PF00054	http://pfam.sanger.ac.uk/family?acc=PF00054
17	67782079	67791320	1	Laminin_aI	285.7	67782079-67782162,67783994-67784083,67785051-67785162,67785998-67786160,67790819-67791026,67791210-67791320	PF06008	http://pfam.sanger.ac.uk/family?acc=PF06008
17	67745048	67745224	1	Laminin_EGF	386.4	67745048-67745224	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67764685	67764837	1	Laminin_EGF	386.4	67764685-67764837	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67779142	67780927	1	Laminin_EGF	386.4	67779142-67779170,67780529-67780615,67780879-67780927	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67761699	67764678	1	Laminin_EGF	386.4	67761699-67761730,67763771-67763857,67764630-67764678	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67767427	67767561	1	Laminin_EGF	386.4	67767427-67767561	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67775853	67776937	1	Laminin_EGF	386.4	67775853-67775891,67776908-67776937	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67756727	67761692	1	Laminin_EGF	386.4	67756727-67756777,67761603-67761692	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67769383	67769508	1	Laminin_EGF	386.4	67769383-67769508	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67746846	67748121	1	Laminin_EGF	386.4	67746846-67746908,67748044-67748121	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67742064	67743373	1	Laminin_EGF	386.4	67742064-67742114,67743275-67743373	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67753821	67756690	1	Laminin_EGF	386.4	67753821-67753862,67756667-67756690	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67745883	67746836	1	Laminin_EGF	386.4	67745883-67745955,67746748-67746836	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67766955	67767420	1	Laminin_EGF	386.4	67766955-67767059,67767385-67767420	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67768302	67768433	1	Laminin_EGF	386.4	67768302-67768433	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67780934	67781065	1	Laminin_EGF	386.4	67780934-67781065	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67776992	67779135	1	Laminin_EGF	386.4	67776992-67777045,67779049-67779135	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67769521	67771033	1	Laminin_EGF	386.4	67769521-67769616,67770956-67771033	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
17	67716699	67742060	1	Laminin_N	234.8	67716699-67716864,67717162-67717274,67737474-67737716,67738711-67738890,67742025-67742060	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
17	67772806	67775807	1	Laminin_IV	205.8	67772806-67772841,67773687-67773872,67774464-67774591,67775771-67775807	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
17	67750655	67753820	1	Laminin_IV	205.8	67750655-67750690,67752382-67752483,67752778-67752989,67753751-67753820	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
