#>P	ENSG00000138119	ENST00000359263	ENSP00000352208	10	93306966	93482194	-1	myoferlin [Source:HGNC Symbol;Acc:HGNC:3656]
#>E	ENSE00003261797,ENSE00003663477,ENSE00003640266,ENSE00003478117,ENSE00003474142,ENSE00003652893,ENSE00003559504,ENSE00000932929,ENSE00003478648,ENSE00003605171,ENSE00003289603,ENSE00003264674,ENSE00003269682,ENSE00001753360,ENSE00001741484,ENSE00002516596,ENSE00001690317,ENSE00001801168,ENSE00001658202,ENSE00001685634,ENSE00001801029,ENSE00001718884,ENSE00001776338,ENSE00001650844,ENSE00001770834,ENSE00001635278,ENSE00001764014,ENSE00001687908,ENSE00001743861,ENSE00001644285,ENSE00001607775,ENSE00001657218,ENSE00001591952,ENSE00001792572,ENSE00002512650,ENSE00001791610,ENSE00001796656,ENSE00001778381,ENSE00001721472,ENSE00001602452,ENSE00001738173,ENSE00001597532,ENSE00001651333,ENSE00001775552,ENSE00001669811,ENSE00001699506,ENSE00001696852,ENSE00001760561,ENSE00001780017,ENSE00003504934,ENSE00003494463,ENSE00003510105,ENSE00003513158,ENSE00003681654	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	93306963-93307001,93310020-93310167,93310534-93310643,93313020-93313210,93316714-93316813,93319872-93320013,93323078-93323173,93323270-93323358,93325826-93325965,93328763-93328911,93329664-93329834,93333221-93333312,93333758-93333913,93335921-93336046,93337815-93337913,93340153-93340164,93343856-93343932,93347617-93347782,93349808-93349969,93351197-93351295,93351413-93351571,93351665-93351846,93353811-93353888,93355628-93355736,93356675-93356848,93359833-93359978,93361452-93361557,93363961-93364075,93366392-93366555,93369645-93369776,93372930-93373085,93374763-93374955,93377323-93377429,93379863-93379987,93381219-93381396,93387797-93387913,93389030-93389154,93392917-93392955,93396142-93396224,93397247-93397290,93397388-93397456,93399392-93399495,93401418-93401544,93402232-93402347,93402860-93402890,93404023-93404073,93404157-93404219,93408787-93408915,93409573-93409739,93426071-93426158,93431408-93431516,93452050-93452141,93456882-93456937,93482107-93482194
10	93369711	93373085	-1	Ferlin_B-domain	108.9	93369711-93369776,93372930-93373085	PF08150	http://pfam.sanger.ac.uk/family?acc=PF08150
10	93401476	93402315	-1	FerIin_dom	72.5	93401476-93401544,93402232-93402315	PF08151	http://pfam.sanger.ac.uk/family?acc=PF08151
10	93306981	93313028	-1	Ferlin_C	103.8	93306981-93307001,93310020-93310167,93310534-93310643,93313020-93313028	PF16165	http://pfam.sanger.ac.uk/family?acc=PF16165
10	93374841	93377399	-1	Ferlin_A-domain	82	93374841-93374955,93377323-93377399	PF08165	http://pfam.sanger.ac.uk/family?acc=PF08165
10	93431450	93482191	-1	C2_dom	324.5	93431450-93431516,93452050-93452141,93456882-93456937,93482107-93482191	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93329717	93333817	-1	C2_dom	324.5	93329717-93329834,93333221-93333312,93333758-93333817	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93396149	93401454	-1	C2_dom	324.5	93396149-93396224,93397247-93397290,93397388-93397456,93399392-93399495,93401418-93401454	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93347681	93349963	-1	C2_dom	324.5	93347681-93347782,93349808-93349963	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93402876	93409575	-1	C2_dom	324.5	93402876-93402890,93404023-93404073,93404157-93404219,93408787-93408915,93409573-93409575	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93351536	93353874	-1	C2_dom	324.5	93351536-93351571,93351665-93351846,93353811-93353874	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
10	93313185	93323166	-1	C2_dom	324.5	93313185-93313210,93316714-93316813,93319872-93320013,93323078-93323166	PF00168	http://pfam.sanger.ac.uk/family?acc=PF00168
