#>P	ENSG00000164199	ENST00000405460	ENSP00000384582	5	90558896	91163897	1	adhesion G protein-coupled receptor V1 [Source:HGNC Symbol;Acc:HGNC:17416]
#>E	ENSE00001554556,ENSE00001547340,ENSE00001082343,ENSE00001153190,ENSE00001082335,ENSE00001082339,ENSE00001082345,ENSE00001082316,ENSE00001082319,ENSE00001082341,ENSE00001082327,ENSE00003467808,ENSE00003561616,ENSE00001082336,ENSE00001082315,ENSE00001082331,ENSE00001153142,ENSE00001153139,ENSE00001153132,ENSE00001153127,ENSE00001153122,ENSE00001153118,ENSE00003583548,ENSE00003531435,ENSE00003645521,ENSE00001153111,ENSE00001153108,ENSE00001153103,ENSE00001082356,ENSE00001082358,ENSE00001082361,ENSE00002504146,ENSE00002472310,ENSE00002458409,ENSE00002460309,ENSE00002434084,ENSE00002495298,ENSE00002532876,ENSE00002515073,ENSE00002429819,ENSE00002518095,ENSE00002470236,ENSE00002529941,ENSE00002504391,ENSE00002460384,ENSE00002533445,ENSE00002532651,ENSE00002441257,ENSE00002493740,ENSE00002458576,ENSE00002435538,ENSE00002466493,ENSE00002463565,ENSE00002452670,ENSE00002442952,ENSE00002497626,ENSE00002443652,ENSE00002503764,ENSE00002472087,ENSE00002523496,ENSE00002446036,ENSE00002490568,ENSE00002466087,ENSE00002490465,ENSE00002500866,ENSE00002443246,ENSE00002479246,ENSE00002472076,ENSE00002515000,ENSE00002474809,ENSE00002473152,ENSE00002510973,ENSE00002512813,ENSE00002466805,ENSE00002495629,ENSE00002453221,ENSE00002510834,ENSE00002436892,ENSE00003684955,ENSE00002517333,ENSE00002504107,ENSE00003614701,ENSE00003478886,ENSE00002480473,ENSE00002517824,ENSE00002439137,ENSE00002454350,ENSE00002523679,ENSE00002451441,ENSE00002083411	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	90558896-90558917,90614835-90615019,90617804-90617953,90619086-90619181,90622597-90622701,90625130-90625243,90627211-90627776,90628562-90628832,90629210-90629539,90635114-90635290,90637725-90637948,90642636-90642762,90642856-90643041,90643803-90643983,90644706-90644869,90645968-90646091,90647498-90647764,90651604-90651730,90652346-90652563,90653209-90653952,90657905-90658278,90672546-90672722,90674054-90674234,90675243-90675445,90676080-90676209,90679549-90679629,90681315-90681454,90683586-90684195,90685780-90685995,90689861-90690076,90690797-90691041,90692605-90692786,90693890-90694701,90696937-90697146,90703665-90703795,90704389-90704488,90705400-90705579,90706231-90706394,90708816-90708909,90710981-90711059,90711184-90711322,90712287-90712428,90716467-90716729,90720048-90720223,90720935-90721059,90724832-90724989,90725086-90725232,90725549-90725656,90728669-90728933,90729642-90729764,90745046-90745265,90745591-90745795,90750551-90750697,90753574-90753829,90754983-90755185,90756454-90756630,90756979-90757161,90759409-90759588,90763305-90763469,90774186-90774303,90776453-90776576,90777905-90778043,90778427-90778609,90778865-90779097,90781430-90781578,90783124-90783325,90783838-90784057,90788071-90788310,90789702-90789851,90790873-90791346,90802739-90802882,90805284-90805458,90807602-90807737,90810233-90811338,90815619-90815736,90823425-90823596,90828944-90829186,90840578-90840985,90848637-90848821,90853284-90853533,90854062-90854201,90855741-90855901,90863757-90863857,90965415-90965531,90985344-90985522,91072447-91072604,91102219-91102340,91150030-91150221,91153221-91153398,91163782-91163900
5	90728690	90728821	1	EPTP	49.7	90728690-90728821	PF03736	http://pfam.sanger.ac.uk/family?acc=PF03736
5	90745742	90753669	1	Calx_beta	796.2	90745742-90745795,90750551-90750697,90753574-90753669	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90675314	90676190	1	Calx_beta	796.2	90675314-90675445,90676080-90676190	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90629435	90635116	1	Calx_beta	796.2	90629435-90629539,90635114-90635116	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90685830	90689988	1	Calx_beta	796.2	90685830-90685995,90689861-90689988	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90694236	90694382	1	Calx_beta	796.2	90694236-90694382	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90705486	90708860	1	Calx_beta	796.2	90705486-90705579,90706231-90706394,90708816-90708860	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90757024	90759483	1	Calx_beta	796.2	90757024-90757161,90759409-90759483	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90643878	90646003	1	Calx_beta	796.2	90643878-90643983,90644706-90644869,90645968-90646003	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90711001	90712385	1	Calx_beta	796.2	90711001-90711059,90711184-90711322,90712287-90712385	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90658036	90658161	1	Calx_beta	796.2	90658036-90658161	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90658216	90674119	1	Calx_beta	796.2	90658216-90658278,90672546-90672722,90674054-90674119	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90690052	90692622	1	Calx_beta	796.2	90690052-90690076,90690797-90691041,90692605-90692622	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90829031	90840703	1	Calx_beta	796.2	90829031-90829186,90840578-90840703	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90781512	90783868	1	Calx_beta	796.2	90781512-90781578,90783124-90783325,90783838-90783868	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90619128	90627246	1	Calx_beta	796.2	90619128-90619181,90622597-90622701,90625130-90625243,90627211-90627246	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90720939	90721052	1	Calx_beta	796.2	90720939-90721052	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90681347	90683771	1	Calx_beta	796.2	90681347-90681454,90683586-90683771	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90628566	90628784	1	Calx_beta	796.2	90628566-90628784	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90642691	90643832	1	Calx_beta	796.2	90642691-90642762,90642856-90643041,90643803-90643832	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90716562	90720113	1	Calx_beta	796.2	90716562-90716729,90720048-90720113	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90651636	90652550	1	Calx_beta	796.2	90651636-90651730,90652346-90652550	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90790909	90791031	1	Calx_beta	796.2	90790909-90791031	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90637734	90637943	1	Calx_beta	796.2	90637734-90637943	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90683826	90684155	1	Calx_beta	796.2	90683826-90684155	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90697068	90704469	1	Calx_beta	796.2	90697068-90697146,90703665-90703795,90704389-90704469	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
5	90627301	90627624	1	Calx_beta	796.2	90627301-90627624	PF03160	http://pfam.sanger.ac.uk/family?acc=PF03160
