#>P	ENSG00000008710	ENST00000262304	ENSP00000262304	16	2089730	2135689	-1	polycystin 1, transient receptor potential channel interacting [Source:HGNC Symbol;Acc:HGNC:9008]
#>E	ENSE00001679334,ENSE00003552757,ENSE00001646942,ENSE00003683239,ENSE00003677394,ENSE00003544442,ENSE00003530534,ENSE00003642197,ENSE00003531671,ENSE00003612827,ENSE00003628139,ENSE00003516228,ENSE00003514551,ENSE00003567818,ENSE00003786909,ENSE00003668317,ENSE00003544272,ENSE00003477392,ENSE00003533708,ENSE00003489424,ENSE00003665951,ENSE00003631955,ENSE00003629798,ENSE00003549115,ENSE00003559565,ENSE00003607637,ENSE00003596620,ENSE00003569697,ENSE00003685878,ENSE00003647173,ENSE00003583385,ENSE00001707265,ENSE00003514982,ENSE00003476703,ENSE00003465030,ENSE00003645303,ENSE00003491604,ENSE00003646590,ENSE00003593667,ENSE00001685753,ENSE00003536327,ENSE00001742822,ENSE00001704553,ENSE00001768440,ENSE00001712154,ENSE00002710399	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2089727-2090194,2090285-2090590,2090674-2090808,2090884-2091174,2091423-2091597,2091781-2091906,2092047-2092188,2092480-2092592,2092954-2093093,2093544-2093738,2093811-2094013,2094092-2094210,2097148-2097241,2097319-2097503,2097728-2097780,2097868-2097984,2099644-2099770,2099861-2100071,2100166-2100309,2100396-2100566,2102061-2102256,2102381-2102633,2102814-2102970,2103266-2103895,2104498-2104642,2105322-2105474,2105865-2106024,2106091-2106304,2106398-2106677,2106805-2106948,2107883-2108032,2108252-2111871,2112340-2112473,2112788-2112963,2113161-2113292,2114170-2114925,2115378-2115625,2115992-2116118,2116529-2116644,2116833-2117053,2117489-2117672,2117791-2118462,2118676-2118845,2119114-2119185,2119307-2119378,2135475-2135689
16	2118827	2135482	-1	Leu-rich_rpt	41.3	2118827-2118845,2119114-2119185,2119307-2119378,2135475-2135482	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
16	2100209	2102100	-1	PLAT/LH2_dom	72.7	2100209-2100309,2100396-2100566,2102061-2102100	PF01477	http://pfam.sanger.ac.uk/family?acc=PF01477
16	2118236	2118454	-1	WSC_carb-bd	35.1	2118236-2118454	PF01822	http://pfam.sanger.ac.uk/family?acc=PF01822
16	2116846	2117598	-1	C-type_lectin	33.6	2116846-2117053,2117489-2117598	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
16	2110304	2110510	-1	PKD_dom	741.1	2110304-2110510	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2111315	2111503	-1	PKD_dom	741.1	2111315-2111503	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2109284	2109490	-1	PKD_dom	741.1	2109284-2109490	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2111819	2112879	-1	PKD_dom	741.1	2111819-2111871,2112340-2112473,2112788-2112879	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2110046	2110255	-1	PKD_dom	741.1	2110046-2110255	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2111060	2111260	-1	PKD_dom	741.1	2111060-2111260	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2109791	2110000	-1	PKD_dom	741.1	2109791-2110000	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2111564	2111767	-1	PKD_dom	741.1	2111564-2111767	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2117960	2118151	-1	PKD_dom	741.1	2117960-2118151	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2110802	2111011	-1	PKD_dom	741.1	2110802-2111011	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2114260	2114457	-1	PKD_dom	741.1	2114260-2114457	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2109017	2109226	-1	PKD_dom	741.1	2109017-2109226	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2108771	2108965	-1	PKD_dom	741.1	2108771-2108965	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2110556	2110741	-1	PKD_dom	741.1	2110556-2110741	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2109536	2109730	-1	PKD_dom	741.1	2109536-2109730	PF00801	http://pfam.sanger.ac.uk/family?acc=PF00801
16	2105886	2108656	-1	PKD/REJ-like	388.1	2105886-2106024,2106091-2106304,2106398-2106677,2106805-2106948,2107883-2108032,2108252-2108656	PF02010	http://pfam.sanger.ac.uk/family?acc=PF02010
16	2090393	2092973	-1	PKD1_2_channel	400.5	2090393-2090590,2090674-2090808,2090884-2091174,2091423-2091597,2091781-2091906,2092047-2092188,2092480-2092592,2092954-2092973	PF08016	http://pfam.sanger.ac.uk/family?acc=PF08016
