#>P	ENSG00000223355	ENST00000439349	ENSP00000408335	CHR_HSCHR6_MHC_MCF_CTG1	32271863	32300374	-1	notch 4 [Source:HGNC Symbol;Acc:HGNC:7884]
#>E	ENSE00003572250,ENSE00003691213,ENSE00003562674,ENSE00003648770,ENSE00003472803,ENSE00003492090,ENSE00003636987,ENSE00003499479,ENSE00001757619,ENSE00001796210,ENSE00001700725,ENSE00001673694,ENSE00001695675,ENSE00003526748,ENSE00001627914,ENSE00003617991,ENSE00003559222,ENSE00001647828,ENSE00001612069,ENSE00001648712,ENSE00003547645,ENSE00003659601,ENSE00003623589,ENSE00003649352,ENSE00003506455,ENSE00003610190,ENSE00003583271,ENSE00003475430,ENSE00003668096,ENSE00001693327	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32271860-32272573,32272747-32272844,32273348-32273495,32273722-32274017,32274844-32274982,32275072-32275153,32275349-32275568,32277264-32277439,32277550-32277933,32278509-32279032,32280203-32280315,32280570-32280822,32287183-32287367,32288902-32289055,32289252-32289339,32289563-32289680,32290116-32290268,32290538-32290683,32291681-32291840,32293394-32293516,32293602-32293715,32294444-32294557,32296041-32296235,32296578-32296733,32296854-32297090,32297205-32297327,32297427-32297774,32298957-32299252,32299451-32299532,32300302-32300374
CHR_HSCHR6_MHC_MCF_CTG1	32272750	32272845	-1	Ankyrin_rpt	95.2	32272750-32272845	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
CHR_HSCHR6_MHC_MCF_CTG1	32278526	32278633	-1	Notch_dom	84.7	32278526-32278633	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
CHR_HSCHR6_MHC_MCF_CTG1	32278652	32278762	-1	Notch_dom	84.7	32278652-32278762	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
CHR_HSCHR6_MHC_MCF_CTG1	32277834	32278516	-1	Notch_dom	84.7	32277834-32277933,32278509-32278516	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
CHR_HSCHR6_MHC_MCF_CTG1	32296861	32296947	-1	EGF-like_Ca-bd_dom	132.8	32296861-32296947	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32293503	32293689	-1	EGF-like_Ca-bd_dom	132.8	32293503-32293516,32293602-32293689	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32288957	32289040	-1	EGF-like_Ca-bd_dom	132.8	32288957-32289040	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32296963	32297073	-1	EGF-like_Ca-bd_dom	132.8	32296963-32297073	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32296147	32296599	-1	EGF-like_Ca-bd_dom	132.8	32296147-32296235,32296578-32296599	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32297545	32297646	-1	EGF-like_Ca-bd_dom	132.8	32297545-32297646	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
CHR_HSCHR6_MHC_MCF_CTG1	32294547	32296116	-1	EGF-like_dom	387	32294547-32294557,32296041-32296116	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32293699	32294519	-1	EGF-like_dom	387	32293699-32293715,32294444-32294519	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32291839	32293478	-1	EGF-like_dom	387	32291839-32291840,32293394-32293478	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32289598	32290125	-1	EGF-like_dom	387	32289598-32289680,32290116-32290125	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32297314	32297514	-1	EGF-like_dom	387	32297314-32297327,32297427-32297514	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32287273	32287347	-1	EGF-like_dom	387	32287273-32287347	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32297662	32297748	-1	EGF-like_dom	387	32297662-32297748	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32280682	32280774	-1	EGF-like_dom	387	32280682-32280774	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32279015	32280286	-1	EGF-like_dom	387	32279015-32279032,32280203-32280286	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32289264	32289573	-1	EGF-like_dom	387	32289264-32289339,32289563-32289573	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32280799	32287248	-1	EGF-like_dom	387	32280799-32280822,32287183-32287248	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32297089	32297289	-1	EGF-like_dom	387	32297089-32297090,32297205-32297289	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
CHR_HSCHR6_MHC_MCF_CTG1	32297764	32298984	-1	EGF-like_CS	110.9	32297764-32297774,32298957-32298984	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
CHR_HSCHR6_MHC_MCF_CTG1	32296606	32296641	-1	EGF-like_CS	110.9	32296606-32296641	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
CHR_HSCHR6_MHC_MCF_CTG1	32299066	32299101	-1	EGF-like_CS	110.9	32299066-32299101	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
CHR_HSCHR6_MHC_MCF_CTG1	32277268	32277554	-1	Notch_NODP_dom	45.3	32277268-32277439,32277550-32277554	PF07684	http://pfam.sanger.ac.uk/family?acc=PF07684
CHR_HSCHR6_MHC_MCF_CTG1	32277660	32277803	-1	Notch_NOD_dom	21	32277660-32277803	PF06816	http://pfam.sanger.ac.uk/family?acc=PF06816
CHR_HSCHR6_MHC_MCF_CTG1	32273355	32273862	-1	Ankyrin_rpt-contain_dom	101.3	32273355-32273495,32273722-32273862	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
