#>P	ENSG00000042781	ENST00000307340	ENSP00000305941	1	215625784	216422336	-1	usherin [Source:HGNC Symbol;Acc:HGNC:12601]
#>E	ENSE00001420094,ENSE00001418469,ENSE00001163127,ENSE00001153938,ENSE00001153944,ENSE00001153952,ENSE00001153960,ENSE00001163132,ENSE00001415724,ENSE00001414217,ENSE00001412553,ENSE00001432095,ENSE00001430384,ENSE00001428791,ENSE00001431560,ENSE00001429999,ENSE00001428260,ENSE00001426708,ENSE00001429481,ENSE00001426779,ENSE00001427314,ENSE00001423492,ENSE00001443070,ENSE00001443071,ENSE00001425308,ENSE00001421513,ENSE00001068846,ENSE00001403988,ENSE00001404439,ENSE00001405160,ENSE00001003462,ENSE00001003463,ENSE00001402360,ENSE00001399787,ENSE00001403513,ENSE00001400939,ENSE00001399207,ENSE00001433056,ENSE00001400376,ENSE00001434267,ENSE00001432510,ENSE00001430939,ENSE00001433737,ENSE00001413215,ENSE00001415860,ENSE00001414403,ENSE00001412762,ENSE00003649854,ENSE00003573846,ENSE00003624201,ENSE00001410654,ENSE00001408126,ENSE00000479283,ENSE00000792371,ENSE00000792372,ENSE00000792373,ENSE00001336966,ENSE00001336967,ENSE00001336970,ENSE00001336973,ENSE00001336979,ENSE00000925568,ENSE00000925569,ENSE00000792381,ENSE00000792382,ENSE00000792383,ENSE00000792384,ENSE00000792385,ENSE00000801763,ENSE00000801764,ENSE00001162812	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	215625781-215625870,215628814-215629035,215634459-215634703,215639155-215639238,215640558-215640734,215647522-215647730,215648528-215648766,215650592-215650801,215670972-215671293,215674100-215675616,215680149-215680376,215728030-215728384,215741375-215741537,215743177-215743335,215758595-215758752,215759660-215759843,215766681-215766788,215779843-215780041,215782042-215782196,215782738-215782935,215786670-215786874,215790059-215790282,215798907-215799125,215813736-215813904,215816997-215817195,215837991-215838103,215844294-215844496,215845824-215846033,215867007-215867170,215877758-215877880,215878764-215879098,215888426-215889054,215900075-215900217,215900755-215900905,215934616-215934795,215965317-215965479,215970625-215970776,215993020-215993167,215998887-215999058,216000403-216000562,216046431-216046592,216048534-216048647,216070101-216070292,216072889-216072969,216073097-216073300,216078089-216078362,216083456-216083586,216084698-216084877,216086719-216086820,216089013-216089139,216097083-216097213,216175252-216175482,216190223-216190367,216196553-216196722,216198315-216198584,216199627-216200121,216207273-216207431,216217387-216217550,216231953-216232136,216246585-216247226,216250903-216251098,216289280-216289410,216292175-216292370,216321883-216321976,216323474-216323695,216324168-216324352,216325305-216325599,216327591-216327654,216364953-216365085,216418514-216418679,216421852-216422336
1	216323476	216325505	-1	Laminin_N	107.4	216323476-216323695,216324168-216324352,216325305-216325505	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
1	216247162	216250990	-1	Laminin_EGF	246.6	216247162-216247226,216250903-216250990	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216250997	216289330	-1	Laminin_EGF	246.6	216250997-216251098,216289280-216289330	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216232102	216246696	-1	Laminin_EGF	246.6	216232102-216232136,216246585-216246696	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216246871	216247011	-1	Laminin_EGF	246.6	216246871-216247011	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216247024	216247155	-1	Laminin_EGF	246.6	216247024-216247155	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216217418	216217540	-1	Laminin_EGF	246.6	216217418-216217540	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216289370	216292292	-1	Laminin_EGF	246.6	216289370-216289410,216292175-216292292	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216246703	216246855	-1	Laminin_EGF	246.6	216246703-216246855	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216292335	216321975	-1	Laminin_EGF	246.6	216292335-216292370,216321883-216321975	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216231955	216232095	-1	Laminin_EGF	246.6	216231955-216232095	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	216199754	216199969	-1	FN3_dom	727.5	216199754-216199969	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215845870	215867064	-1	FN3_dom	727.5	215845870-215846033,215867007-215867064	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215675170	215675430	-1	FN3_dom	727.5	215675170-215675430	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215878925	215888464	-1	FN3_dom	727.5	215878925-215879098,215888426-215888464	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	216048568	216070278	-1	FN3_dom	727.5	216048568-216048647,216070101-216070278	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215888822	215889025	-1	FN3_dom	727.5	215888822-215889025	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215766730	215779996	-1	FN3_dom	727.5	215766730-215766788,215779843-215779996	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215741518	215758643	-1	FN3_dom	727.5	215741518-215741537,215743177-215743335,215758595-215758643	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	216198358	216199696	-1	FN3_dom	727.5	216198358-216198584,216199627-216199696	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215647565	215648592	-1	FN3_dom	727.5	215647565-215647730,215648528-215648592	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	215900112	215900885	-1	FN3_dom	727.5	215900112-215900217,215900755-215900885	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
