#>P	ENSG00000127603	ENST00000361689	ENSP00000354573	1	39084219	39485791	1	microtubule-actin crosslinking factor 1 [Source:HGNC Symbol;Acc:HGNC:13664]
#>E	ENSE00002164985,ENSE00003584786,ENSE00003466663,ENSE00003790687,ENSE00003602769,ENSE00002273289,ENSE00001633058,ENSE00003639143,ENSE00001691519,ENSE00002708865,ENSE00003461801,ENSE00001713164,ENSE00001641956,ENSE00001760927,ENSE00001654662,ENSE00001621722,ENSE00001771617,ENSE00001765360,ENSE00001679208,ENSE00001217237,ENSE00001218134,ENSE00003690465,ENSE00003484227,ENSE00003474074,ENSE00003591734,ENSE00003499885,ENSE00003520092,ENSE00003649450,ENSE00003674352,ENSE00003499725,ENSE00003679603,ENSE00003784046,ENSE00003684463,ENSE00003649898,ENSE00003605315,ENSE00003688828,ENSE00003683045,ENSE00003527187,ENSE00003674754,ENSE00003678072,ENSE00003621022,ENSE00003526687,ENSE00003535713,ENSE00003462003,ENSE00003615518,ENSE00001693302,ENSE00001612539,ENSE00001805045,ENSE00001643168,ENSE00001727162,ENSE00001734332,ENSE00001599839,ENSE00001784267,ENSE00001769328,ENSE00001779669,ENSE00001756285,ENSE00001761406,ENSE00001736392,ENSE00001755069,ENSE00001651972,ENSE00001615446,ENSE00001712868,ENSE00001632309,ENSE00001599247,ENSE00003466894,ENSE00001041407,ENSE00003537745,ENSE00003616751,ENSE00003518683,ENSE00003531753,ENSE00001669455,ENSE00001651040,ENSE00001594816,ENSE00001751465,ENSE00001738534,ENSE00001673140,ENSE00001595626,ENSE00001774048,ENSE00001727666,ENSE00001651128,ENSE00001722236,ENSE00001780166,ENSE00001788884,ENSE00001743647,ENSE00001623366,ENSE00001633755,ENSE00003492120,ENSE00003568504,ENSE00003601779,ENSE00003670995,ENSE00003546381,ENSE00001741989,ENSE00001630629	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	39084219-39084438,39231182-39231243,39250014-39250103,39254298-39254375,39257936-39258028,39282208-39282374,39283189-39283301,39283409-39283515,39284066-39284185,39284333-39284428,39285083-39285210,39285297-39285390,39285604-39285758,39287286-39287562,39291910-39292038,39292766-39292843,39293458-39293619,39295046-39295150,39295787-39295882,39297620-39297745,39300210-39300362,39302924-39303078,39309570-39309696,39310245-39310428,39310831-39311000,39315513-39315691,39316391-39316529,39317214-39317407,39318453-39318615,39319664-39319747,39322608-39322715,39322910-39323008,39324193-39324345,39324646-39324734,39327218-39327353,39349478-39349627,39350785-39351018,39353007-39353231,39357375-39357893,39358697-39358873,39359141-39359264,39360793-39361001,39361360-39361677,39368148-39368314,39370030-39370186,39372479-39372596,39378461-39378523,39379203-39379444,39380244-39380373,39381953-39382152,39385434-39385929,39387187-39388658,39422374-39422535,39422730-39422900,39424028-39424194,39427455-39427614,39427961-39428287,39429242-39429326,39429827-39430068,39430702-39430908,39432535-39432654,39433048-39433155,39434414-39434632,39435558-39435761,39436482-39436490,39437777-39438008,39439274-39439500,39441003-39441125,39441224-39441325,39441952-39442053,39442147-39442320,39442412-39442567,39442714-39442911,39443446-39443574,39444662-39444835,39447432-39447587,39447692-39447898,39448033-39448152,39448594-39448763,39451052-39451211,39452156-39452350,39452684-39452812,39453707-39453850,39454909-39455097,39458370-39458490,39459086-39459249,39460632-39460794,39461883-39462037,39463612-39463686,39468615-39468732,39479798-39480009,39484601-39484730,39485538-39485794
1	39460704	39461977	1	EF_hand_dom	42.2	39460704-39460794,39461883-39461977	PF13499	http://pfam.sanger.ac.uk/family?acc=PF13499
1	39282247	39283479	1	CH-domain	157	39282247-39282374,39283189-39283301,39283409-39283479	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
1	39231196	39258028	1	CH-domain	157	39231196-39231243,39250014-39250103,39254298-39254375,39257936-39258028	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
1	39447456	39447874	1	Spectrin_repeat	715.4	39447456-39447587,39447692-39447874	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39358736	39360857	1	Spectrin_repeat	715.4	39358736-39358873,39359141-39359264,39360793-39360857	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39447887	39451070	1	Spectrin_repeat	715.4	39447887-39447898,39448033-39448152,39448594-39448763,39451052-39451070	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39387552	39387863	1	Spectrin_repeat	715.4	39387552-39387863	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39427486	39428143	1	Spectrin_repeat	715.4	39427486-39427614,39427961-39428143	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39430897	39434488	1	Spectrin_repeat	715.4	39430897-39430908,39432535-39432654,39433048-39433155,39434414-39434488	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39387225	39387539	1	Spectrin_repeat	715.4	39387225-39387539	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39379307	39382011	1	Spectrin_repeat	715.4	39379307-39379444,39380244-39380373,39381953-39382011	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39451089	39452338	1	Spectrin_repeat	715.4	39451089-39451211,39452156-39452338	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39452687	39454947	1	Spectrin_repeat	715.4	39452687-39452812,39453707-39453850,39454909-39454947	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39357582	39357806	1	Spectrin_repeat	715.4	39357582-39357806	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39434507	39435740	1	Spectrin_repeat	715.4	39434507-39434632,39435558-39435740	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39442439	39442896	1	Spectrin_repeat	715.4	39442439-39442567,39442714-39442896	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39442909	39447446	1	Spectrin_repeat	715.4	39442909-39442911,39443446-39443574,39444662-39444835,39447432-39447446	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39441302	39442423	1	Spectrin_repeat	715.4	39441302-39441325,39441952-39442053,39442147-39442320,39442412-39442423	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39439369	39441286	1	Spectrin_repeat	715.4	39439369-39439500,39441003-39441125,39441224-39441286	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39388533	39422759	1	Spectrin_repeat	715.4	39388533-39388658,39422374-39422535,39422730-39422759	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39422778	39427473	1	Spectrin_repeat	715.4	39422778-39422900,39424028-39424194,39427455-39427473	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	39462026	39479799	1	GAS2_dom	113.8	39462026-39462037,39463612-39463686,39468615-39468732,39479798-39479799	PF02187	http://pfam.sanger.ac.uk/family?acc=PF02187
