#>P	ENSG00000170949	ENST00000429604	ENSP00000406201	19	53068080	53086276	-1	zinc finger protein 160 [Source:HGNC Symbol;Acc:HGNC:12948]
#>E	ENSE00001185288,ENSE00000842657,ENSE00003471812,ENSE00003526360	0,0,0,0	53068077-53070262,53074140-53074268,53075057-53075183,53086262-53086276
19	53074267	53075177	-1	KRAB	89.3	53074267-53074268,53075057-53075177	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	53068530	53068589	-1	Znf_C2H2	122.3	53068530-53068589	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53069193	53069261	-1	Znf_C2H2	122.3	53069193-53069261	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53068101	53068169	-1	Znf_C2H2	388.9	53068101-53068169	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53069529	53069597	-1	Znf_C2H2	388.9	53069529-53069597	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53068269	53068337	-1	Znf_C2H2	388.9	53068269-53068337	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53068773	53068841	-1	Znf_C2H2	388.9	53068773-53068841	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53068605	53068673	-1	Znf_C2H2	388.9	53068605-53068673	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53068185	53068253	-1	Znf_C2H2	388.9	53068185-53068253	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53068437	53068505	-1	Znf_C2H2	388.9	53068437-53068505	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53069025	53069093	-1	Znf_C2H2	388.9	53069025-53069093	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53069697	53069765	-1	Znf_C2H2	388.9	53069697-53069765	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
