#>P	ENSG00000196724	ENST00000396147	ENSP00000379451	19	57926153	57933822	-1	zinc finger protein 418 [Source:HGNC Symbol;Acc:HGNC:20647]
#>E	ENSE00001524053,ENSE00002503815,ENSE00003511624	0,0,0	57926150-57928047,57930428-57930554,57933817-57933822
19	57928046	57930548	-1	KRAB	68.7	57928046-57928047,57930428-57930548	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	57926501	57926569	-1	Znf_C2H2	280	57926501-57926569	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57927257	57927325	-1	Znf_C2H2	280	57927257-57927325	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57927341	57927409	-1	Znf_C2H2	280	57927341-57927409	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57926669	57926737	-1	Znf_C2H2	280	57926669-57926737	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57926174	57926242	-1	Znf_C2H2	280	57926174-57926242	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57926837	57926905	-1	Znf_C2H2	280	57926837-57926905	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57927173	57927241	-1	Znf_C2H2	280	57927173-57927241	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57926921	57926989	-1	Znf_C2H2	280	57926921-57926989	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57927089	57927157	-1	Znf_C2H2	280	57927089-57927157	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	57926258	57926326	-1	Znf_C2H2	84.9	57926258-57926326	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	57926585	57926653	-1	Znf_C2H2	84.9	57926585-57926653	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
