#>P	ENSG00000029534	ENST00000265709	ENSP00000265709	8	41655730	41896480	-1	ankyrin 1 [Source:HGNC Symbol;Acc:HGNC:492]
#>E	ENSE00003527901,ENSE00001192253,ENSE00003603014,ENSE00003571523,ENSE00000691945,ENSE00003468578,ENSE00003504663,ENSE00003653028,ENSE00003541933,ENSE00003649989,ENSE00003600622,ENSE00003603711,ENSE00003471948,ENSE00003649005,ENSE00003468411,ENSE00003480301,ENSE00003560787,ENSE00003566338,ENSE00001252137,ENSE00001252145,ENSE00001482382,ENSE00001252155,ENSE00001252162,ENSE00000532987,ENSE00000692046,ENSE00000692050,ENSE00000532984,ENSE00001252187,ENSE00001252194,ENSE00000692080,ENSE00001252199,ENSE00001252205,ENSE00001252214,ENSE00001252224,ENSE00001252233,ENSE00001252241,ENSE00001252247,ENSE00001252255,ENSE00001252268,ENSE00001252279,ENSE00001252286,ENSE00001252297,ENSE00001482383	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	41655727-41655753,41661876-41661941,41663659-41663742,41668267-41668564,41672354-41672912,41684544-41684690,41686152-41686283,41688156-41688230,41688511-41688589,41690227-41690346,41690474-41690599,41692648-41692876,41693105-41693201,41693898-41694102,41694592-41694803,41695177-41695331,41696363-41696587,41696676-41696773,41698043-41698121,41699452-41699548,41700431-41700454,41701550-41701622,41702052-41702144,41704041-41704139,41704374-41704472,41706143-41706241,41708778-41708975,41714156-41714254,41714976-41715074,41715652-41715849,41716953-41717051,41717604-41717702,41718106-41718204,41719661-41719858,41723125-41723223,41723535-41723633,41724456-41724554,41725761-41725946,41727250-41727348,41727908-41728006,41733971-41734069,41758036-41758137,41896355-41896480
8	41708889	41708975	-1	Ankyrin_rpt	431.2	41708889-41708975	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
8	41723131	41724458	-1	Ankyrin_rpt-contain_dom	503.9	41723131-41723223,41723535-41723633,41724456-41724458	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41719667	41723127	-1	Ankyrin_rpt-contain_dom	503.9	41719667-41719858,41723125-41723127	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41715760	41717045	-1	Ankyrin_rpt-contain_dom	503.9	41715760-41715849,41716953-41717045	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41724465	41725847	-1	Ankyrin_rpt-contain_dom	503.9	41724465-41724554,41725761-41725847	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41727914	41758113	-1	Ankyrin_rpt-contain_dom	503.9	41727914-41728006,41733971-41734069,41758036-41758113	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41725869	41727348	-1	Ankyrin_rpt-contain_dom	503.9	41725869-41725946,41727250-41727348	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41704380	41708861	-1	Ankyrin_rpt-contain_dom	503.9	41704380-41704472,41706143-41706241,41708778-41708861	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41714180	41715074	-1	Ankyrin_rpt-contain_dom	503.9	41714180-41714254,41714976-41715074	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41717610	41718204	-1	Ankyrin_rpt-contain_dom	503.9	41717610-41717702,41718106-41718204	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
8	41684629	41688204	-1	Death_domain	90.2	41684629-41684690,41686152-41686283,41688156-41688204	PF00531	http://pfam.sanger.ac.uk/family?acc=PF00531
8	41695256	41696580	-1	ZU5_dom	113.8	41695256-41695331,41696363-41696580	PF00791	http://pfam.sanger.ac.uk/family?acc=PF00791
