#>P	ENSG00000135862	ENST00000258341	ENSP00000258341	1	183023717	183142787	1	laminin subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:6492]
#>E	ENSE00001160088,ENSE00003602607,ENSE00003672532,ENSE00000922145,ENSE00003642569,ENSE00003513441,ENSE00003624892,ENSE00000922141,ENSE00000922140,ENSE00000922139,ENSE00000922138,ENSE00000922137,ENSE00000922136,ENSE00000922135,ENSE00000922134,ENSE00003595882,ENSE00003681197,ENSE00000922131,ENSE00003607476,ENSE00003592883,ENSE00003664036,ENSE00000922127,ENSE00000922126,ENSE00003459245,ENSE00003522824,ENSE00000922123,ENSE00000922122,ENSE00001160082	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	183023717-183024134,183103328-183103632,183108276-183108406,183110488-183110654,183114531-183114719,183115520-183115637,183116577-183116675,183116767-183116903,183117320-183117442,183117534-183117723,183118034-183118146,183121723-183121944,183122063-183122251,183124631-183124876,183125397-183125550,183126120-183126262,183127226-183127404,183128594-183128750,183130344-183130549,183131299-183131378,183132400-183132537,183133406-183133550,183134660-183134809,183135042-183135156,183136386-183136585,183137669-183137827,183140404-183140503,183142534-183142790
1	183023864	183108404	1	Laminin_N	272.7	183023864-183024134,183103328-183103632,183108276-183108404	PF00055	http://pfam.sanger.ac.uk/family?acc=PF00055
1	183117427	183121796	1	Laminin_IV	87.6	183117427-183117442,183117534-183117723,183118034-183118146,183121723-183121796	PF00052	http://pfam.sanger.ac.uk/family?acc=PF00052
1	183110489	183110629	1	Laminin_EGF	282.2	183110489-183110629	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183114701	183115635	1	Laminin_EGF	282.2	183114701-183114719,183115520-183115635	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183116581	183116815	1	Laminin_EGF	282.2	183116581-183116675,183116767-183116815	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183122167	183124677	1	Laminin_EGF	282.2	183122167-183122251,183124631-183124677	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183124711	183124872	1	Laminin_EGF	282.2	183124711-183124872	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183126121	183126258	1	Laminin_EGF	282.2	183126121-183126258	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183121902	183122160	1	Laminin_EGF	282.2	183121902-183121944,183122063-183122160	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183125399	183125545	1	Laminin_EGF	282.2	183125399-183125545	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183127228	183127365	1	Laminin_EGF	282.2	183127228-183127365	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
1	183114533	183114694	1	Laminin_EGF	282.2	183114533-183114694	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
