#>P	ENSG00000184916	ENST00000331782	ENSP00000328169	14	105142698	105168420	-1	jagged 2 [Source:HGNC Symbol;Acc:HGNC:6189]
#>E	ENSE00002412669,ENSE00003461958,ENSE00003541630,ENSE00003461229,ENSE00003512055,ENSE00001306790,ENSE00001325832,ENSE00001313304,ENSE00003481296,ENSE00003614618,ENSE00001317095,ENSE00001294738,ENSE00001323860,ENSE00001291747,ENSE00001319156,ENSE00001297971,ENSE00001315207,ENSE00001325002,ENSE00001302090,ENSE00003683846,ENSE00003504868,ENSE00003471559,ENSE00003517289,ENSE00003692427,ENSE00001301167,ENSE00001332651	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	105142695-105143170,105143482-105143638,105144930-105145061,105145731-105145973,105146385-105146500,105146611-105146724,105147326-105147411,105147500-105147527,105147772-105147888,105148116-105148229,105148326-105148439,105148745-105148858,105148937-105149089,105149170-105149320,105150604-105150777,105150865-105150911,105150991-105151104,105151283-105151396,105151626-105151739,105151938-105152057,105152161-105152291,105155562-105155622,105155738-105155989,105157706-105157763,105167757-105168107,105168355-105168420
14	105155745	105155933	-1	DSL	85.4	105155745-105155933	PF01414	http://pfam.sanger.ac.uk/family?acc=PF01414
14	105167865	105168092	-1	Notch_ligand_N	95.5	105167865-105168092	PF07657	http://pfam.sanger.ac.uk/family?acc=PF07657
14	105151004	105151105	-1	EGF-like_Ca-bd_dom	52.6	105151004-105151105	PF07645	http://pfam.sanger.ac.uk/family?acc=PF07645
14	105150613	105150702	-1	EGF-like_dom	250.2	105150613-105150702	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105151296	105151385	-1	EGF-like_dom	250.2	105151296-105151385	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105151636	105151728	-1	EGF-like_dom	250.2	105151636-105151728	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105148758	105148847	-1	EGF-like_dom	250.2	105148758-105148847	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105146621	105146713	-1	EGF-like_dom	250.2	105146621-105146713	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105151948	105152046	-1	EGF-like_dom	250.2	105151948-105152046	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105148126	105148218	-1	EGF-like_dom	250.2	105148126-105148218	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105147339	105147516	-1	EGF-like_dom	250.2	105147339-105147411,105147500-105147516	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105147782	105147874	-1	EGF-like_dom	250.2	105147782-105147874	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105148336	105148428	-1	EGF-like_dom	250.2	105148336-105148428	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105150724	105150897	-1	EGF-like_dom	250.2	105150724-105150777,105150865-105150897	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
14	105148944	105148979	-1	EGF-like_CS	64.8	105148944-105148979	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
