#>P	ENSG00000196350	ENST00000601693	ENSP00000469582	19	22286526	22317173	1	zinc finger protein 729 [Source:HGNC Symbol;Acc:HGNC:32464]
#>E	ENSE00003172719,ENSE00002382526,ENSE00002397682,ENSE00003019750	1,1,1,1	22286526-22286555,22303758-22303884,22304688-22304783,22313671-22317176
19	22303761	22304689	1	KRAB	80	22303761-22303884,22304688-22304689	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	22314963	22315031	1	Znf_C2H2	510.9	22314963-22315031	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22315971	22316039	1	Znf_C2H2	510.9	22315971-22316039	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22316307	22316375	1	Znf_C2H2	510.9	22316307-22316375	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22314795	22314863	1	Znf_C2H2	510.9	22314795-22314863	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22316895	22316963	1	Znf_C2H2	510.9	22316895-22316963	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22314207	22314275	1	Znf_C2H2	510.9	22314207-22314275	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22315299	22315367	1	Znf_C2H2	510.9	22315299-22315367	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	22314879	22314947	1	Znf_C2H2	165	22314879-22314947	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22315638	22315694	1	Znf_C2H2	165	22315638-22315694	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22314375	22314443	1	Znf_C2H2	165	22314375-22314443	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22315467	22315535	1	Znf_C2H2	165	22315467-22315535	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22315719	22315778	1	Znf_C2H2	165	22315719-22315778	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22315383	22315451	1	Znf_C2H2	165	22315383-22315451	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22314711	22314779	1	Znf_C2H2	165	22314711-22314779	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22316475	22316543	1	Znf_C2H2	165	22316475-22316543	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22316142	22316207	1	Znf_C2H2	165	22316142-22316207	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	22315134	22315190	1	Znf_C2H2	165	22315134-22315190	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
