#>P	ENSG00000248672	ENST00000504764	ENSP00000423463	2	159771854	159904682	-1	LY75-CD302 readthrough [Source:HGNC Symbol;Acc:HGNC:38828]
#>E	ENSE00003610604,ENSE00003512729,ENSE00003606336,ENSE00003611189,ENSE00003475938,ENSE00003630782,ENSE00003655864,ENSE00003482214,ENSE00003624733,ENSE00003674656,ENSE00003620497,ENSE00003504001,ENSE00003561763,ENSE00003620139,ENSE00003608591,ENSE00003658144,ENSE00003600243,ENSE00003590882,ENSE00003553227,ENSE00003547279,ENSE00003486589,ENSE00003531588,ENSE00003609969,ENSE00003560528,ENSE00003516449,ENSE00003571072,ENSE00003535449,ENSE00003545076,ENSE00003498978,ENSE00003543515,ENSE00003645351,ENSE00003571067,ENSE00003469174,ENSE00003588363,ENSE00003684793,ENSE00003615108,ENSE00003661901,ENSE00003536637,ENSE00003523406	1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	159771851-159772053,159777938-159777964,159780005-159780178,159780882-159780998,159783359-159783469,159806973-159807140,159808449-159808571,159810526-159810675,159815405-159815573,159816806-159817032,159819726-159819920,159831670-159831786,159834044-159834211,159835480-159835645,159840729-159840955,159842245-159842374,159849980-159850140,159850362-159850467,159852201-159852340,159853273-159853352,159853630-159853697,159854360-159854535,159854904-159854939,159858362-159858476,159860821-159860889,159864839-159864920,159872451-159872593,159875444-159875643,159878324-159878493,159878633-159878721,159879259-159879369,159881083-159881240,159882124-159882315,159885153-159885293,159886420-159886530,159890213-159890377,159893914-159894084,159898688-159899059,159904589-159904682
2	159893924	159894046	-1	FN_type2_col-bd	54.5	159893924-159894046	PF00040	http://pfam.sanger.ac.uk/family?acc=PF00040
2	159879313	159882235	-1	C-type_lectin	488.1	159879313-159879369,159881083-159881240,159882124-159882235	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159875543	159878646	-1	C-type_lectin	488.1	159875543-159875643,159878324-159878493,159878633-159878646	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159806983	159810565	-1	C-type_lectin	488.1	159806983-159807140,159808449-159808571,159810526-159810565	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159819856	159834080	-1	C-type_lectin	488.1	159819856-159819920,159831670-159831786,159834044-159834080	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159852288	159854464	-1	C-type_lectin	488.1	159852288-159852340,159853273-159853352,159853630-159853697,159854360-159854464	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159835490	159840875	-1	C-type_lectin	488.1	159835490-159835645,159840729-159840875	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159815415	159816952	-1	C-type_lectin	488.1	159815415-159815573,159816806-159816952	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159885181	159890306	-1	C-type_lectin	488.1	159885181-159885293,159886420-159886530,159890213-159890306	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159858372	159872566	-1	C-type_lectin	488.1	159858372-159858476,159860821-159860889,159864839-159864920,159872451-159872566	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159780012	159783398	-1	C-type_lectin	488.1	159780012-159780178,159780882-159780998,159783359-159783398	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
2	159842252	159850443	-1	C-type_lectin	488.1	159842252-159842374,159849980-159850140,159850362-159850443	PF00059	http://pfam.sanger.ac.uk/family?acc=PF00059
