#>P	ENSG00000283224	ENST00000282272	ENSP00000282272	2	196989594	197310604	-1	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B  [Source:UniProtKB/Swiss-Prot;Acc:Q8N8A2]
#>E	ENSE00001785977,ENSE00003793094,ENSE00003797807,ENSE00003794280,ENSE00003795379,ENSE00003799168,ENSE00003794509,ENSE00003798558,ENSE00003792017,ENSE00003793696,ENSE00003799579,ENSE00003795357,ENSE00003791943,ENSE00003794495,ENSE00003792996,ENSE00003798505,ENSE00003792228,ENSE00003793867,ENSE00003798859,ENSE00003795563,ENSE00003799636,ENSE00003794266,ENSE00003793252,ENSE00003800345,ENSE00003799367,ENSE00003793633,ENSE00003797074,ENSE00003795682	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	196989591-196989649,196993583-196993674,196995379-196995461,196998337-196998419,196998907-196999052,197000419-197000502,197001753-197001840,197005694-197005910,197007806-197007923,197008944-197009031,197013511-197013712,197025196-197025267,197078703-197078814,197081645-197081725,197083369-197083509,197086680-197086748,197088711-197088774,197089950-197090032,197099816-197099930,197110766-197110844,197121332-197121544,197122650-197122792,197125381-197125468,197125837-197126037,197136592-197136662,197147027-197147105,197187023-197187106,197310578-197310604
2	197000460	197001775	-1	Ankyrin_rpt	487.7	197000460-197000502,197001753-197001775	PF00023	http://pfam.sanger.ac.uk/family?acc=PF00023
2	197136640	197310580	-1	Ankyrin_rpt-contain_dom	630.8	197136640-197136662,197147027-197147105,197187023-197187106,197310578-197310580	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	196998376	197000429	-1	Ankyrin_rpt-contain_dom	630.8	196998376-196998419,196998907-196999052,197000419-197000429	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197083422	197090007	-1	Ankyrin_rpt-contain_dom	630.8	197083422-197083509,197086680-197086748,197088711-197088774,197089950-197090007	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197121434	197125402	-1	Ankyrin_rpt-contain_dom	630.8	197121434-197121544,197122650-197122792,197125381-197125402	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	196993602	196998369	-1	Ankyrin_rpt-contain_dom	630.8	196993602-196993674,196995379-196995461,196998337-196998369	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197013545	197025219	-1	Ankyrin_rpt-contain_dom	630.8	197013545-197013712,197025196-197025219	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197007839	197013538	-1	Ankyrin_rpt-contain_dom	630.8	197007839-197007923,197008944-197009031,197013511-197013538	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197001806	197005838	-1	Ankyrin_rpt-contain_dom	630.8	197001806-197001840,197005694-197005838	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197125421	197136621	-1	Ankyrin_rpt-contain_dom	630.8	197125421-197125468,197125837-197126037,197136592-197136621	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
2	197099824	197121412	-1	Ankyrin_rpt-contain_dom	630.8	197099824-197099930,197110766-197110844,197121332-197121412	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
