#>P	ENSG00000136011	ENST00000388887	ENSP00000373539	12	103587477	103766333	1	stabilin 2 [Source:HGNC Symbol;Acc:HGNC:18629]
#>E	ENSE00002698916,ENSE00002398248,ENSE00002334513,ENSE00002420576,ENSE00002364068,ENSE00002406434,ENSE00002361546,ENSE00002338579,ENSE00002400819,ENSE00002405626,ENSE00002339362,ENSE00002340459,ENSE00002427925,ENSE00002348000,ENSE00002406046,ENSE00002331830,ENSE00002371189,ENSE00002375454,ENSE00002427725,ENSE00002335547,ENSE00002356311,ENSE00002342179,ENSE00002326957,ENSE00002352228,ENSE00002401132,ENSE00002331762,ENSE00002418575,ENSE00002372376,ENSE00002419566,ENSE00002370133,ENSE00002417766,ENSE00002418289,ENSE00002429568,ENSE00002327690,ENSE00002345824,ENSE00002364142,ENSE00002419065,ENSE00001504284,ENSE00001504283,ENSE00001504282,ENSE00003466760,ENSE00001504280,ENSE00001504279,ENSE00001504278,ENSE00001504277,ENSE00001504276,ENSE00001504275,ENSE00001504274,ENSE00000922885,ENSE00000922887,ENSE00000922888,ENSE00000922889,ENSE00000922890,ENSE00000818262,ENSE00000922893,ENSE00000922895,ENSE00001194013,ENSE00001194009,ENSE00000922901,ENSE00000922902,ENSE00000922905,ENSE00001513480,ENSE00003548355,ENSE00002361702,ENSE00003551590,ENSE00002419281,ENSE00002426555,ENSE00002418744,ENSE00002425590	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	103587477-103587557,103590897-103591030,103594395-103594510,103620468-103620553,103622042-103622111,103631598-103631693,103637111-103637236,103638016-103638212,103640123-103640256,103648690-103648823,103650496-103650578,103652556-103652705,103654555-103654698,103655251-103655307,103655456-103655581,103660331-103660384,103660683-103660763,103662846-103662998,103666291-103666353,103668643-103668729,103669541-103669627,103670696-103670807,103673907-103674087,103675928-103676021,103677453-103677611,103683205-103683300,103684989-103685084,103688168-103688215,103689846-103689982,103690424-103690538,103692812-103692889,103695550-103695648,103695737-103695844,103699096-103699227,103703148-103703276,103704558-103704614,103705632-103705727,103706792-103706987,103708441-103708536,103711471-103711516,103712367-103712443,103713643-103713768,103715815-103715888,103717770-103717841,103724975-103725094,103726116-103726163,103727267-103727350,103728849-103728995,103730116-103730256,103731576-103731635,103733006-103733182,103735491-103735580,103737634-103737780,103739412-103739468,103740630-103740756,103742405-103742554,103745173-103745277,103746597-103746704,103748963-103749156,103750579-103750720,103753220-103753353,103755302-103755467,103755612-103755718,103758170-103758289,103759133-103759273,103761300-103761410,103762274-103762402,103763492-103763608,103766286-103766336
12	103753234	103755457	1	Link_dom	95.9	103753234-103753353,103755302-103755457	PF00193	http://pfam.sanger.ac.uk/family?acc=PF00193
12	103748974	103749081	1	EGF_dom	222	103748974-103749081	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103715826	103717817	1	EGF_dom	222	103715826-103715888,103717770-103717817	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103749112	103750632	1	EGF_dom	222	103749112-103749156,103750579-103750632	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103683268	103685066	1	EGF_dom	222	103683268-103683300,103684989-103685066	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103638039	103638131	1	EGF_dom	222	103638039-103638131	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103717833	103725076	1	EGF_dom	222	103717833-103717841,103724975-103725076	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103713654	103713764	1	EGF_dom	222	103713654-103713764	PF12947	http://pfam.sanger.ac.uk/family?acc=PF12947
12	103727267	103730211	1	FAS1_domain	426.2	103727267-103727350,103728849-103728995,103730116-103730211	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103731612	103737729	1	FAS1_domain	426.2	103731612-103731635,103733006-103733182,103735491-103735580,103737634-103737729	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103688192	103695561	1	FAS1_domain	426.2	103688192-103688215,103689846-103689982,103690424-103690538,103692812-103692889,103695550-103695561	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103695619	103703228	1	FAS1_domain	426.2	103695619-103695648,103695737-103695844,103699096-103699227,103703148-103703228	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103648796	103654662	1	FAS1_domain	426.2	103648796-103648823,103650496-103650578,103652556-103652705,103654555-103654662	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103655278	103662938	1	FAS1_domain	426.2	103655278-103655307,103655456-103655581,103660331-103660384,103660683-103660763,103662846-103662938	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
12	103758245	103761389	1	FAS1_domain	426.2	103758245-103758289,103759133-103759273,103761300-103761389	PF02469	http://pfam.sanger.ac.uk/family?acc=PF02469
