#>P	ENSG00000148400	ENST00000277541	ENSP00000277541	9	136496074	136545786	-1	notch 1 [Source:HGNC Symbol;Acc:HGNC:7881]
#>E	ENSE00001247584,ENSE00000985049,ENSE00000985048,ENSE00000985047,ENSE00000985046,ENSE00000985045,ENSE00000985044,ENSE00003681600,ENSE00000985042,ENSE00000985041,ENSE00000985040,ENSE00000985039,ENSE00000985038,ENSE00000985037,ENSE00000985036,ENSE00000985035,ENSE00000985034,ENSE00000985033,ENSE00000985032,ENSE00000985031,ENSE00000985030,ENSE00000985029,ENSE00000985028,ENSE00000985027,ENSE00000985026,ENSE00000985025,ENSE00000985024,ENSE00000985023,ENSE00000985022,ENSE00001378880,ENSE00000985020,ENSE00001042401,ENSE00001124718,ENSE00001247593	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	136496071-136497558,136498899-136498996,136499112-136499259,136500552-136500847,136501748-136501913,136502001-136502088,136502272-136502488,136503182-136503330,136504673-136505104,136505310-136505881,136506527-136506639,136506716-136506973,136507305-136507437,136507955-136508139,136508232-136508385,136508870-136509071,136509733-136509961,136510653-136510805,136511152-136511271,136513021-136513134,136513392-136513537,136514510-136514702,136515290-136515400,136515483-136515716,136515981-136516094,136517272-136517385,136517752-136517937,136518137-136518292,136518591-136518824,136519443-136519565,136522850-136523188,136523717-136523979,136544024-136544102,136545726-136545786
9	136496122	136496301	-1	DUF3454_notch	88.4	136496122-136496301	PF11936	http://pfam.sanger.ac.uk/family?acc=PF11936
9	136505330	136505437	-1	Notch_dom	91.6	136505330-136505437	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
9	136505456	136505557	-1	Notch_dom	91.6	136505456-136505557	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
9	136505008	136505317	-1	Notch_dom	91.6	136505008-136505104,136505310-136505317	PF00066	http://pfam.sanger.ac.uk/family?acc=PF00066
9	136518165	136518200	-1	EGF-like_CS	127.3	136518165-136518200	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
9	136509762	136509800	-1	EGF-like_CS	127.3	136509762-136509800	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
9	136499227	136500752	-1	Ankyrin_rpt-contain_dom	107	136499227-136499259,136500552-136500752	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
9	136497472	136499199	-1	Ankyrin_rpt-contain_dom	107	136497472-136497558,136498899-136498996,136499112-136499199	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
9	136507414	136508020	-1	EGF-like_dom	649.4	136507414-136507437,136507955-136508020	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136505867	136506610	-1	EGF-like_dom	649.4	136505867-136505881,136506527-136506610	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136523184	136523804	-1	EGF-like_dom	649.4	136523184-136523188,136523717-136523804	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
9	136513501	136514559	-1	EGF-like_dom	649.4	136513501-136513537,136514510-136514559	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
