#>P	ENSG00000163554	ENST00000368147	ENSP00000357129	1	158611267	158686517	-1	spectrin alpha, erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11272]
#>E	ENSE00001446423,ENSE00001075963,ENSE00003519778,ENSE00003676402,ENSE00003628015,ENSE00003479963,ENSE00002340408,ENSE00001075921,ENSE00001075971,ENSE00001075888,ENSE00003562694,ENSE00001446421,ENSE00003528016,ENSE00001075914,ENSE00001075970,ENSE00001075959,ENSE00001075947,ENSE00001075931,ENSE00003612806,ENSE00001075965,ENSE00001075911,ENSE00001075899,ENSE00001075949,ENSE00001075941,ENSE00001075889,ENSE00001075973,ENSE00001075901,ENSE00001075891,ENSE00001075924,ENSE00001075906,ENSE00001075954,ENSE00001075892,ENSE00001075967,ENSE00001075951,ENSE00001075939,ENSE00001075895,ENSE00001075974,ENSE00001075908,ENSE00001075904,ENSE00001075969,ENSE00001659491,ENSE00001075927,ENSE00001075972,ENSE00001075916,ENSE00001075956,ENSE00001075907,ENSE00003705440,ENSE00001075935,ENSE00001075925,ENSE00001075943,ENSE00001075897,ENSE00001446425	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	158611264-158611389,158612817-158612961,158613721-158613867,158614253-158614306,158615216-158615403,158617537-158617588,158618039-158618056,158619222-158619334,158620170-158620466,158622983-158623192,158626146-158626222,158626839-158627007,158627625-158627723,158634543-158634675,158635913-158636034,158636641-158636761,158638033-158638241,158639582-158639686,158639870-158640007,158642411-158642542,158642814-158642976,158643322-158643425,158644253-158644396,158645188-158645385,158645495-158645594,158647539-158647720,158648509-158648653,158649856-158649947,158651367-158651468,158652467-158652653,158653274-158653425,158654611-158654748,158656564-158656656,158657477-158657694,158661287-158661409,158662702-158662945,158666316-158666497,158667858-158668062,158669408-158669563,158669709-158669786,158671343-158671453,158672059-158672196,158674329-158674430,158674540-158674675,158676141-158676295,158677690-158677834,158678401-158678534,158680583-158680729,158681527-158681667,158683371-158683496,158685108-158685347,158686494-158686517
1	158653378	158654697	-1	SH3_domain	53.4	158653378-158653425,158654611-158654697	PF00018	http://pfam.sanger.ac.uk/family?acc=PF00018
1	158611270	158612903	-1	EF-hand_Ca_insen	92.5	158611270-158611389,158612817-158612903	PF08726	http://pfam.sanger.ac.uk/family?acc=PF08726
1	158649888	158652583	-1	Spectrin_repeat	1336.5	158649888-158649947,158651367-158651468,158652467-158652583	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158657594	158662786	-1	Spectrin_repeat	1336.5	158657594-158657694,158661287-158661409,158662702-158662786	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158638089	158639923	-1	Spectrin_repeat	1336.5	158638089-158638241,158639582-158639686,158639870-158639923	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158647574	158649872	-1	Spectrin_repeat	1336.5	158647574-158647720,158648509-158648653,158649856-158649872	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158676152	158678420	-1	Spectrin_repeat	1336.5	158676152-158676295,158677690-158677834,158678401-158678420	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158662796	158666474	-1	Spectrin_repeat	1336.5	158662796-158662945,158666316-158666474	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158681593	158685215	-1	Spectrin_repeat	1336.5	158681593-158681667,158683371-158683496,158685108-158685215	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158619314	158620457	-1	Spectrin_repeat	1336.5	158619314-158619334,158620170-158620457	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158666481	158669494	-1	Spectrin_repeat	1336.5	158666481-158666497,158667858-158668062,158669408-158669494	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158669501	158672118	-1	Spectrin_repeat	1336.5	158669501-158669563,158669709-158669786,158671343-158671453,158672059-158672118	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158634657	158638082	-1	Spectrin_repeat	1336.5	158634657-158634675,158635913-158636034,158636641-158636761,158638033-158638082	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
1	158654740	158657584	-1	Spectrin_repeat	1336.5	158654740-158654748,158656564-158656656,158657477-158657584	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
