#>P	ENSG00000213799	ENST00000458035	ENSP00000388311	19	53341308	53353585	1	zinc finger protein 845 [Source:HGNC Symbol;Acc:HGNC:25112]
#>E	ENSE00002508826,ENSE00002488982,ENSE00001655497	1,1,0	53341308-53341322,53345506-53345632,53350818-53353588
19	53345509	53350819	1	KRAB	91.7	53345509-53345632,53350818-53350819	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	53353250	53353318	1	Znf_C2H2	429.9	53353250-53353318	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53352074	53352142	1	Znf_C2H2	429.9	53352074-53352142	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53351822	53351890	1	Znf_C2H2	429.9	53351822-53351890	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53351990	53352058	1	Znf_C2H2	429.9	53351990-53352058	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53353502	53353570	1	Znf_C2H2	429.9	53353502-53353570	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53351738	53351806	1	Znf_C2H2	429.9	53351738-53351806	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53352578	53352646	1	Znf_C2H2	429.9	53352578-53352646	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53351906	53351974	1	Znf_C2H2	429.9	53351906-53351974	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53352914	53352982	1	Znf_C2H2	429.9	53352914-53352982	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	53353166	53353234	1	Znf_C2H2	133.5	53353166-53353234	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53352746	53352814	1	Znf_C2H2	133.5	53352746-53352814	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
19	53351567	53351638	1	Znf_C2H2	133.5	53351567-53351638	PF13912	http://pfam.sanger.ac.uk/family?acc=PF13912
