#>P	ENSG00000132466	ENST00000358602	ENSP00000351416	4	73076234	73258668	-1	ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:HGNC:23575]
#>E	ENSE00002051724,ENSE00002531739,ENSE00002454077,ENSE00003463665,ENSE00001723277,ENSE00001605872,ENSE00001726219,ENSE00001605787,ENSE00003487096,ENSE00003641226,ENSE00003656052,ENSE00003672891,ENSE00003478324,ENSE00003630833,ENSE00003552930,ENSE00003605000,ENSE00003627891,ENSE00003506664,ENSE00003649296,ENSE00003518065,ENSE00003600915,ENSE00003601623,ENSE00003588381,ENSE00003515859,ENSE00003600978,ENSE00001024832,ENSE00003620284,ENSE00003670201,ENSE00000904406,ENSE00000904407,ENSE00000904408,ENSE00003673262,ENSE00003669919,ENSE00001505891	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	73076231-73076290,73076940-73077104,73077355-73077533,73078642-73078890,73085249-73085446,73090667-73092300,73094079-73094228,73097117-73097272,73098073-73098520,73102376-73102547,73113792-73113908,73115821-73115916,73118688-73118850,73120162-73120337,73120881-73121094,73121617-73121759,73124913-73125058,73125201-73125312,73135117-73135265,73139531-73140283,73141741-73141843,73142242-73142385,73142640-73142767,73144745-73144832,73146764-73146873,73147241-73147432,73148813-73149050,73151430-73151524,73153880-73154113,73155631-73155778,73156019-73156166,73161192-73161348,73177380-73177533,73258276-73258668
4	73092258	73094221	-1	KH_dom_type_1	50.6	73092258-73092300,73094079-73094221	PF00013	http://pfam.sanger.ac.uk/family?acc=PF00013
4	73153929	73155634	-1	Ankyrin_rpt-contain_dom	492.7	73153929-73154113,73155631-73155634	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73155641	73156159	-1	Ankyrin_rpt-contain_dom	492.7	73155641-73155778,73156019-73156159	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73115884	73120217	-1	Ankyrin_rpt-contain_dom	492.7	73115884-73115916,73118688-73118850,73120162-73120217	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73148994	73153916	-1	Ankyrin_rpt-contain_dom	492.7	73148994-73149050,73151430-73151524,73153880-73153916	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73124970	73135125	-1	Ankyrin_rpt-contain_dom	492.7	73124970-73125058,73125201-73125312,73135117-73135125	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73147413	73148978	-1	Ankyrin_rpt-contain_dom	492.7	73147413-73147432,73148813-73148978	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73142748	73147298	-1	Ankyrin_rpt-contain_dom	492.7	73142748-73142767,73144745-73144832,73146764-73146873,73147241-73147298	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73142314	73142738	-1	Ankyrin_rpt-contain_dom	492.7	73142314-73142385,73142640-73142738	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73121616	73124957	-1	Ankyrin_rpt-contain_dom	492.7	73121616-73121759,73124913-73124957	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
4	73120248	73121066	-1	Ankyrin_rpt-contain_dom	492.7	73120248-73120337,73120881-73121066	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
