#>P	ENSG00000282908	ENST00000634703	ENSP00000489369	CHR_HG2116_PATCH	92356189	92895186	1	FAT atypical cadherin 3 [Source:HGNC Symbol;Acc:HGNC:23112]
#>E	ENSE00003787507,ENSE00003784153,ENSE00003784130,ENSE00003786878,ENSE00003790264,ENSE00003789716,ENSE00003788690,ENSE00003789862,ENSE00003787103,ENSE00003786585,ENSE00003787332,ENSE00003786038,ENSE00003789441,ENSE00003784709,ENSE00003787210,ENSE00003788025,ENSE00003789294,ENSE00003786686,ENSE00003784825,ENSE00003785182,ENSE00003785980,ENSE00003787035,ENSE00003787514,ENSE00003786304,ENSE00003787955	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	92356189-92359480,92528710-92529024,92701460-92701521,92765932-92766246,92768955-92769165,92778117-92778256,92794019-92794294,92796843-92797053,92801912-92805985,92809229-92809425,92810438-92810591,92813919-92814152,92835698-92836087,92838946-92839160,92840642-92840779,92841739-92841882,92844638-92844835,92848010-92848808,92861290-92861424,92863241-92863398,92870817-92871285,92884807-92884960,92886814-92887469,92891076-92891189,92894567-92895189
CHR_HG2116_PATCH	92863333	92871137	1	Laminin_G	72.5	92863333-92863398,92870817-92871137	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
CHR_HG2116_PATCH	92835937	92839067	1	Cadherin	1588.3	92835937-92836087,92838946-92839067	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92839110	92841822	1	Cadherin	1588.3	92839110-92839160,92840642-92840779,92841739-92841822	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92814080	92835897	1	Cadherin	1588.3	92814080-92814152,92835698-92835897	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92359009	92359281	1	Cadherin	1588.3	92359009-92359281	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92803963	92804241	1	Cadherin	1588.3	92803963-92804241	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92810444	92814001	1	Cadherin	1588.3	92810444-92810591,92813919-92814001	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92803660	92803908	1	Cadherin	1588.3	92803660-92803908	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92841865	92848066	1	Cadherin	1588.3	92841865-92841882,92844638-92844835,92848010-92848066	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92802463	92802705	1	Cadherin	1588.3	92802463-92802705	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92803048	92803314	1	Cadherin	1588.3	92803048-92803314	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92805553	92805834	1	Cadherin	1588.3	92805553-92805834	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92528886	92765997	1	Cadherin	1588.3	92528886-92529024,92701460-92701521,92765932-92765997	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92796942	92802075	1	Cadherin	1588.3	92796942-92797053,92801912-92802075	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92358694	92358960	1	Cadherin	1588.3	92358694-92358960	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92804287	92804550	1	Cadherin	1588.3	92804287-92804550	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92805874	92809353	1	Cadherin	1588.3	92805874-92805985,92809229-92809353	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92802115	92802366	1	Cadherin	1588.3	92802115-92802366	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92803372	92803623	1	Cadherin	1588.3	92803372-92803623	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92356675	92356959	1	Cadherin	1588.3	92356675-92356959	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92794076	92796902	1	Cadherin	1588.3	92794076-92794294,92796843-92796902	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92766037	92769014	1	Cadherin	1588.3	92766037-92766246,92768955-92769014	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92359336	92528834	1	Cadherin	1588.3	92359336-92359480,92528710-92528834	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92358385	92358654	1	Cadherin	1588.3	92358385-92358654	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92804590	92804859	1	Cadherin	1588.3	92804590-92804859	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92804902	92805186	1	Cadherin	1588.3	92804902-92805186	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
CHR_HG2116_PATCH	92357617	92357892	1	Cadherin	1588.3	92357617-92357892	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
