#>P	ENSG00000184347	ENST00000332966	ENSP00000332164	5	168666457	169300709	-1	slit guidance ligand 3 [Source:HGNC Symbol;Acc:HGNC:11087]
#>E	ENSE00001313864,ENSE00001293568,ENSE00001305501,ENSE00001310283,ENSE00003663122,ENSE00001292515,ENSE00003603909,ENSE00003654554,ENSE00001309009,ENSE00001320550,ENSE00002090053,ENSE00001297106,ENSE00001304112,ENSE00001315650,ENSE00001303397,ENSE00001316861,ENSE00001291696,ENSE00001313097,ENSE00001291276,ENSE00003640835,ENSE00003504453,ENSE00003629737,ENSE00003672087,ENSE00003626537,ENSE00003459673,ENSE00003485839,ENSE00003597496,ENSE00003675724,ENSE00003573166,ENSE00003537988,ENSE00003587321,ENSE00003495075,ENSE00003552724,ENSE00003501905,ENSE00003528161,ENSE00002107713	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	168666454-168666689,168669783-168669991,168671198-168671483,168673177-168673331,168683966-168684096,168685687-168685927,168686979-168687116,168692607-168692700,168696292-168696431,168700582-168700679,168707976-168708121,168710895-168711058,168712283-168712354,168722256-168722327,168722933-168723004,168724416-168724484,168748302-168748434,168749472-168749635,168752955-168753098,168753864-168754007,168760862-168760936,168762539-168762689,168772781-168772944,168774235-168774378,168785907-168785978,168789560-168789631,168795507-168795578,168806446-168806587,168817300-168817463,168823260-168823331,168844584-168844655,168883265-168883336,169193479-169193550,169244705-169244776,169251388-169251459,169300513-169300709
5	168671386	168684093	-1	Laminin_G	76.4	168671386-168671483,168673177-168673331,168683966-168684093	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
5	168671233	168671271	-1	EGF-like_CS	45.2	168671233-168671271	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
5	168669790	168669825	-1	EGF-like_CS	45.2	168669790-168669825	PF12661	http://pfam.sanger.ac.uk/family?acc=PF12661
5	168817442	168883275	-1	Leu-rich_rpt	373.1	168817442-168817463,168823260-168823331,168844584-168844655,168883265-168883275	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
5	169193529	169300526	-1	Leu-rich_rpt	373.1	169193529-169193550,169244705-169244776,169251388-169251459,169300513-169300526	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
5	168753005	168753949	-1	Leu-rich_rpt	373.1	168753005-168753098,168753864-168753949	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
5	168711037	168722949	-1	Leu-rich_rpt	373.1	168711037-168711058,168712283-168712354,168722256-168722327,168722933-168722949	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
5	168774357	168795520	-1	Leu-rich_rpt	373.1	168774357-168774378,168785907-168785978,168789560-168789631,168795507-168795520	PF13855	http://pfam.sanger.ac.uk/family?acc=PF13855
5	168685783	168685875	-1	EGF-like_dom	151.3	168685783-168685875	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168669919	168671211	-1	EGF-like_dom	151.3	168669919-168669991,168671198-168671211	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168685921	168687061	-1	EGF-like_dom	151.3	168685921-168685927,168686979-168687061	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168692696	168696376	-1	EGF-like_dom	151.3	168692696-168692700,168696292-168696376	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168696398	168700649	-1	EGF-like_dom	151.3	168696398-168696431,168700582-168700649	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168687086	168692671	-1	EGF-like_dom	151.3	168687086-168687116,168692607-168692671	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
5	168710896	168710970	-1	Cys-rich_flank_reg_C	45.6	168710896-168710970	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
5	168749473	168749550	-1	Cys-rich_flank_reg_C	45.6	168749473-168749550	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
5	168817301	168817375	-1	Cys-rich_flank_reg_C	45.6	168817301-168817375	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
5	168772782	168772856	-1	Cys-rich_flank_reg_C	45.6	168772782-168772856	PF01463	http://pfam.sanger.ac.uk/family?acc=PF01463
5	168748319	168748399	-1	LRRNT	79.2	168748319-168748399	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
5	169300530	169300613	-1	LRRNT	79.2	169300530-169300613	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
5	168806463	168806543	-1	LRRNT	79.2	168806463-168806543	PF01462	http://pfam.sanger.ac.uk/family?acc=PF01462
