#>P	ENSG00000178031	ENST00000380548	ENSP00000369921	9	18474233	18908545	1	ADAMTS like 1 [Source:HGNC Symbol;Acc:HGNC:14632]
#>E	ENSE00001936456,ENSE00001313382,ENSE00001303038,ENSE00001330201,ENSE00001309461,ENSE00001315290,ENSE00001295594,ENSE00000982244,ENSE00003676296,ENSE00000982246,ENSE00003662712,ENSE00003614019,ENSE00001367200,ENSE00001089601,ENSE00003633997,ENSE00003644436,ENSE00003464322,ENSE00003598950,ENSE00003554442,ENSE00003609308,ENSE00003509522,ENSE00003608272,ENSE00003525275,ENSE00003606968,ENSE00003609855,ENSE00003490484,ENSE00003587484,ENSE00003519309,ENSE00001729064	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	18474233-18474295,18504829-18504956,18533247-18533292,18574030-18574266,18622243-18622369,18635943-18636017,18639254-18639411,18657639-18657750,18661935-18662073,18675857-18675907,18680312-18680516,18681812-18681959,18684716-18684800,18706747-18707048,18721536-18721665,18753298-18753508,18770602-18770781,18775743-18775896,18776781-18777906,18795397-18795524,18817109-18817237,18826284-18826463,18829843-18829977,18887831-18888043,18889568-18889748,18892389-18892596,18905782-18905891,18906692-18906912,18908442-18908548
9	18908447	18908536	1	PLAC	29.9	18908447-18908536	PF08686	http://pfam.sanger.ac.uk/family?acc=PF08686
9	18829938	18888039	1	Ig_I-set	158.1	18829938-18829977,18887831-18888039	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	18777818	18795517	1	Ig_I-set	158.1	18777818-18777906,18795397-18795517	PF07679	http://pfam.sanger.ac.uk/family?acc=PF07679
9	18504877	18574035	1	TSP1_rpt	129.5	18504877-18504956,18533247-18533292,18574030-18574035	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18770767	18775805	1	TSP1_rpt	129.5	18770767-18770781,18775743-18775805	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18680322	18680393	1	TSP1_rpt	129.5	18680322-18680393	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18680502	18681928	1	TSP1_rpt	129.5	18680502-18680516,18681812-18681928	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18706760	18706834	1	TSP1_rpt	129.5	18706760-18706834	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18753497	18770748	1	TSP1_rpt	129.5	18753497-18753508,18770602-18770748	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18753308	18753385	1	TSP1_rpt	129.5	18753308-18753385	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
9	18892399	18892566	1	TSP1_rpt	129.5	18892399-18892566	PF00090	http://pfam.sanger.ac.uk/family?acc=PF00090
