#>P	ENSG00000169436	ENST00000303045	ENSP00000303153	8	138589256	138883172	-1	collagen type XXII alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:22989]
#>E	ENSE00003458828,ENSE00003522919,ENSE00003522374,ENSE00003498700,ENSE00003674109,ENSE00003671430,ENSE00003574070,ENSE00003497572,ENSE00003482420,ENSE00003613866,ENSE00003634633,ENSE00003592592,ENSE00003694177,ENSE00003544573,ENSE00003465750,ENSE00003604203,ENSE00003472401,ENSE00003571910,ENSE00003555028,ENSE00003682546,ENSE00003578734,ENSE00003602830,ENSE00003679687,ENSE00003570252,ENSE00003664260,ENSE00001213954,ENSE00003628956,ENSE00003514880,ENSE00003676265,ENSE00003586654,ENSE00003647675,ENSE00003607530,ENSE00003687055,ENSE00003649849,ENSE00003495780,ENSE00003641611,ENSE00003616101,ENSE00003664511,ENSE00003581474,ENSE00001423267,ENSE00001409025,ENSE00001214034,ENSE00001330786,ENSE00001425778,ENSE00001308781,ENSE00001325876,ENSE00001312188,ENSE00001400292,ENSE00001329207,ENSE00001432009,ENSE00001320362,ENSE00001300468,ENSE00001337610,ENSE00001311551,ENSE00001328404,ENSE00001308017,ENSE00001290445,ENSE00001318870,ENSE00001327665,ENSE00003628279,ENSE00001297201,ENSE00001316823,ENSE00001293277,ENSE00001313353	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	138589253-138589440,138591424-138591501,138594017-138594199,138596904-138596970,138598719-138598898,138602115-138602159,138604734-138604769,138606381-138606452,138607936-138607989,138613867-138613920,138616001-138616054,138616914-138616958,138619455-138619508,138623732-138623785,138626190-138626243,138630695-138630748,138635010-138635063,138636742-138636795,138646629-138646682,138649665-138649778,138655897-138655944,138660436-138660480,138662030-138662083,138663705-138663740,138676558-138676635,138679617-138679676,138684425-138684469,138685208-138685312,138688917-138688970,138690821-138690874,138693646-138693699,138694508-138694561,138694826-138694879,138700112-138700144,138703306-138703347,138715682-138715735,138716227-138716289,138716825-138716869,138720739-138720792,138722036-138722089,138724615-138724668,138725387-138725440,138737524-138737577,138751458-138751511,138755157-138755210,138755482-138755511,138755785-138755829,138760243-138760287,138762413-138762466,138775966-138776010,138778353-138778406,138779509-138779562,138780927-138780980,138796819-138796857,138802872-138802934,138807768-138807812,138811799-138811921,138812939-138813019,138821136-138821411,138826658-138826781,138833039-138833150,138844084-138844158,138877750-138878316,138883082-138883172
8	138877778	138878296	-1	VWF_A	158	138877778-138878296	PF00092	http://pfam.sanger.ac.uk/family?acc=PF00092
8	138775981	138780962	-1	Collagen	504.4	138775981-138776010,138778353-138778406,138779509-138779562,138780927-138780962	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138655942	138676575	-1	Collagen	504.4	138655942-138655944,138660436-138660480,138662030-138662083,138663705-138663740,138676558-138676575	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138606414	138616027	-1	Collagen	504.4	138606414-138606452,138607936-138607989,138613867-138613920,138616001-138616027	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138616004	138623758	-1	Collagen	504.4	138616004-138616054,138616914-138616958,138619455-138619508,138623732-138623758	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138636775	138649760	-1	Collagen	504.4	138636775-138636795,138646629-138646682,138649665-138649760	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138690869	138694879	-1	Collagen	504.4	138690869-138690874,138693646-138693699,138694508-138694561,138694826-138694879	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138703306	138716833	-1	Collagen	504.4	138703306-138703347,138715682-138715735,138716227-138716289,138716825-138716833	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138716269	138722089	-1	Collagen	504.4	138716269-138716289,138716825-138716869,138720739-138720792,138722036-138722089	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138720778	138725440	-1	Collagen	504.4	138720778-138720792,138722036-138722089,138724615-138724668,138725387-138725440	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138630716	138646655	-1	Collagen	504.4	138630716-138630748,138635010-138635063,138636742-138636795,138646629-138646655	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138591464	138594146	-1	Collagen	504.4	138591464-138591501,138594017-138594146	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138596965	138598880	-1	Collagen	504.4	138596965-138596970,138598719-138598880	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
8	138760273	138779517	-1	Collagen	504.4	138760273-138760287,138762413-138762466,138775966-138776010,138778353-138778406,138779509-138779517	PF01391	http://pfam.sanger.ac.uk/family?acc=PF01391
