#>P	ENSG00000066279	ENST00000367409	ENSP00000356379	1	197084327	197146437	-1	abnormal spindle microtubule assembly [Source:HGNC Symbol;Acc:HGNC:19048]
#>E	ENSE00001278129,ENSE00000791074,ENSE00000791073,ENSE00000791072,ENSE00000791071,ENSE00001278060,ENSE00000791069,ENSE00000468981,ENSE00000791068,ENSE00000999409,ENSE00001277893,ENSE00001067766,ENSE00001067770,ENSE00001067760,ENSE00001277977,ENSE00001277986,ENSE00001277993,ENSE00001067777,ENSE00001067780,ENSE00001067783,ENSE00001067786,ENSE00001067767,ENSE00003588360,ENSE00001419954,ENSE00001277906,ENSE00001277916,ENSE00001277921,ENSE00001444450	0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	197084324-197084426,197086803-197086972,197088256-197088432,197089930-197090084,197090196-197090388,197090850-197091041,197091907-197092056,197093052-197093261,197094084-197094180,197095998-197096164,197100431-197105185,197117789-197117983,197121915-197122043,197122159-197122301,197122388-197122595,197124110-197124331,197124870-197124955,197125046-197125191,197128490-197128665,197129187-197129317,197129915-197130056,197132285-197132352,197133350-197133595,197135096-197135242,197139767-197139871,197142331-197143810,197143957-197144100,197146141-197146437
1	197143996	197146329	-1	ASH	116.3	197143996-197144100,197146141-197146329	PF15780	http://pfam.sanger.ac.uk/family?acc=PF15780
1	197122017	197124160	-1	CH-domain	51.1	197122017-197122043,197122159-197122301,197122388-197122595,197124110-197124160	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
1	197102471	197102533	-1	IQ_motif_EF-hand-BS	454.7	197102471-197102533	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197101820	197101879	-1	IQ_motif_EF-hand-BS	454.7	197101820-197101879	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197102255	197102314	-1	IQ_motif_EF-hand-BS	454.7	197102255-197102314	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197090356	197090867	-1	IQ_motif_EF-hand-BS	454.7	197090356-197090388,197090850-197090867	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197096063	197096119	-1	IQ_motif_EF-hand-BS	454.7	197096063-197096119	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104301	197104354	-1	IQ_motif_EF-hand-BS	454.7	197104301-197104354	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197100974	197101033	-1	IQ_motif_EF-hand-BS	454.7	197100974-197101033	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197105150	197117809	-1	IQ_motif_EF-hand-BS	454.7	197105150-197105185,197117789-197117809	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
1	197104514	197104570	-1	IQ_motif_EF-hand-BS	454.7	197104514-197104570	PF00612	http://pfam.sanger.ac.uk/family?acc=PF00612
