#>P	ENSG00000153201	ENST00000283195	ENSP00000283195	2	108719607	108783898	1	RAN binding protein 2 [Source:HGNC Symbol;Acc:HGNC:9848]
#>E	ENSE00001427934,ENSE00003241565,ENSE00002439890,ENSE00003641991,ENSE00002476126,ENSE00002497068,ENSE00001785652,ENSE00002510422,ENSE00002476777,ENSE00002509667,ENSE00002437359,ENSE00002513403,ENSE00002524114,ENSE00002533119,ENSE00002459851,ENSE00002472646,ENSE00002479403,ENSE00002522596,ENSE00002437505,ENSE00001147357,ENSE00001009418,ENSE00001009429,ENSE00001291545,ENSE00001009419,ENSE00001009428,ENSE00001377207,ENSE00001383394,ENSE00001147257,ENSE00001316371	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	108719607-108719678,108729132-108729199,108730774-108730885,108731322-108731474,108735532-108735762,108736104-108736249,108740489-108740681,108746711-108746798,108748920-108749129,108751264-108751445,108751528-108751703,108751871-108751994,108752998-108753159,108753426-108753563,108753825-108753971,108754905-108755084,108755176-108755259,108758413-108758548,108762101-108762195,108763237-108768388,108771701-108771871,108772489-108772581,108772868-108773046,108775732-108775936,108777130-108777231,108781269-108781429,108782128-108782401,108782528-108782862,108783596-108783901
2	108782722	108783892	1	Cyclophilin-type_PPIase_dom	138.6	108782722-108782862,108783596-108783892	PF00160	http://pfam.sanger.ac.uk/family?acc=PF00160
2	108765532	108765621	1	Znf_RanBP2	277	108765532-108765621	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108765355	108765444	1	Znf_RanBP2	277	108765355-108765444	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108764782	108764868	1	Znf_RanBP2	277	108764782-108764868	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108765709	108765798	1	Znf_RanBP2	277	108765709-108765798	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108765880	108765966	1	Znf_RanBP2	277	108765880-108765966	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108765166	108765252	1	Znf_RanBP2	277	108765166-108765252	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108764590	108764682	1	Znf_RanBP2	277	108764590-108764682	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108764974	108765063	1	Znf_RanBP2	277	108764974-108765063	PF00641	http://pfam.sanger.ac.uk/family?acc=PF00641
2	108772879	108775743	1	IR1-M	174.8	108772879-108773046,108775732-108775743	PF12185	http://pfam.sanger.ac.uk/family?acc=PF12185
2	108771742	108772541	1	IR1-M	174.8	108771742-108771871,108772489-108772541	PF12185	http://pfam.sanger.ac.uk/family?acc=PF12185
2	108766609	108766971	1	Ran_bind_dom	740	108766609-108766971	PF00638	http://pfam.sanger.ac.uk/family?acc=PF00638
2	108764086	108764448	1	Ran_bind_dom	740	108764086-108764448	PF00638	http://pfam.sanger.ac.uk/family?acc=PF00638
2	108767500	108767862	1	Ran_bind_dom	740	108767500-108767862	PF00638	http://pfam.sanger.ac.uk/family?acc=PF00638
2	108782131	108782619	1	Ran_bind_dom	740	108782131-108782401,108782528-108782619	PF00638	http://pfam.sanger.ac.uk/family?acc=PF00638
