#>P	ENSG00000139618	ENST00000380152	ENSP00000369497	13	32316461	32398767	1	BRCA2, DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]
#>E	ENSE00001484009,ENSE00003666217,ENSE00003659301,ENSE00003739878,ENSE00003747332,ENSE00003749714,ENSE00003714754,ENSE00003731761,ENSE00000939167,ENSE00000939168,ENSE00000939169,ENSE00000939171,ENSE00000939173,ENSE00000939174,ENSE00000939175,ENSE00001394102,ENSE00000939177,ENSE00000939178,ENSE00000939180,ENSE00003461148,ENSE00000939183,ENSE00000939185,ENSE00000939187,ENSE00000939189,ENSE00003560258,ENSE00003717596	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	32316461-32316527,32319077-32319325,32325076-32325184,32326101-32326150,32326242-32326282,32326499-32326613,32329443-32329492,32330919-32331030,32332272-32333387,32336265-32341196,32344558-32344653,32346827-32346896,32354861-32355288,32356428-32356609,32357742-32357929,32362523-32362693,32363179-32363533,32370402-32370557,32370956-32371100,32376670-32376791,32379317-32379515,32379750-32379913,32380007-32380145,32394689-32394933,32396898-32397044,32398162-32398770
13	32363210	32370452	1	BRCA2_OB_1	139.6	32363210-32363533,32370402-32370452	PF09103	http://pfam.sanger.ac.uk/family?acc=PF09103
13	32337362	32337460	1	BRCA2_repeat	294.3	32337362-32337460	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32339867	32339959	1	BRCA2_repeat	294.3	32339867-32339959	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32338619	32338714	1	BRCA2_repeat	294.3	32338619-32338714	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32337992	32338090	1	BRCA2_repeat	294.3	32337992-32338090	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32340272	32340367	1	BRCA2_repeat	294.3	32340272-32340367	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32339348	32339440	1	BRCA2_repeat	294.3	32339348-32339440	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32340512	32340604	1	BRCA2_repeat	294.3	32340512-32340604	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32338907	32339005	1	BRCA2_repeat	294.3	32338907-32339005	PF00634	http://pfam.sanger.ac.uk/family?acc=PF00634
13	32370959	32371084	1	Tower_dom	72.2	32370959-32371084	PF09121	http://pfam.sanger.ac.uk/family?acc=PF09121
13	32356436	32363203	1	BRCA2_hlx	321.7	32356436-32356609,32357742-32357929,32362523-32362693,32363179-32363203	PF09169	http://pfam.sanger.ac.uk/family?acc=PF09169
13	32380043	32396951	1	BRCA2_OB_3	180.4	32380043-32380145,32394689-32394933,32396898-32396951	PF09104	http://pfam.sanger.ac.uk/family?acc=PF09104
