#>P	ENSG00000116147	ENST00000367674	ENSP00000356646	1	175323360	175406714	-1	tenascin R [Source:HGNC Symbol;Acc:HGNC:11953]
#>E	ENSE00003706855,ENSE00001677785,ENSE00001799901,ENSE00001647591,ENSE00001670014,ENSE00001707744,ENSE00001608891,ENSE00001781385,ENSE00001679263,ENSE00001617257,ENSE00001618382,ENSE00001662994,ENSE00001805365,ENSE00001708080,ENSE00001617834,ENSE00001763163,ENSE00001650570,ENSE00003709708,ENSE00000789989,ENSE00001162104,ENSE00001445343	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0	175323357-175323476,175324356-175324519,175330074-175330235,175335711-175335807,175337528-175337679,175354391-175354523,175355503-175355633,175356319-175356462,175359612-175359731,175362663-175362809,175363708-175363827,175365010-175365279,175365875-175366138,175367208-175367297,175379552-175379737,175386032-175386301,175391288-175391438,175393780-175393895,175396544-175396807,175403140-175403616,175406216-175406714
1	175403147	175403221	-1	EGF_extracell	63.8	175403147-175403221	PF07974	http://pfam.sanger.ac.uk/family?acc=PF07974
1	175323405	175337659	-1	Fibrinogen_a/b/g_C_dom	276.2	175323405-175323476,175324356-175324519,175330074-175330235,175335711-175335807,175337528-175337659	PF00147	http://pfam.sanger.ac.uk/family?acc=PF00147
1	175356356	175359723	-1	FN3_dom	395.8	175356356-175356462,175359612-175359723	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175386066	175386290	-1	FN3_dom	395.8	175386066-175386290	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175362691	175363822	-1	FN3_dom	395.8	175362691-175362809,175363708-175363822	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175354419	175355628	-1	FN3_dom	395.8	175354419-175354523,175355503-175355628	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175391310	175393890	-1	FN3_dom	395.8	175391310-175391438,175393780-175393890	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175365903	175366133	-1	FN3_dom	395.8	175365903-175366133	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175367248	175379732	-1	FN3_dom	395.8	175367248-175367297,175379552-175379732	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175365047	175365271	-1	FN3_dom	395.8	175365047-175365271	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
1	175396584	175396802	-1	FN3_dom	395.8	175396584-175396802	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
