#>P	ENSG00000152818	ENST00000367545	ENSP00000356515	6	144291829	144850994	1	utrophin [Source:HGNC Symbol;Acc:HGNC:12635]
#>E	ENSE00001616860,ENSE00003784756,ENSE00001007393,ENSE00001007387,ENSE00001007390,ENSE00002297770,ENSE00002296033,ENSE00002313606,ENSE00002290277,ENSE00002226727,ENSE00002210703,ENSE00002310800,ENSE00002304723,ENSE00002264833,ENSE00002223546,ENSE00002273250,ENSE00002208483,ENSE00002233678,ENSE00002279457,ENSE00002259854,ENSE00002256996,ENSE00002686353,ENSE00002452352,ENSE00002506135,ENSE00001084805,ENSE00001084807,ENSE00001084804,ENSE00001084840,ENSE00001084871,ENSE00001084858,ENSE00001084810,ENSE00001084809,ENSE00001084815,ENSE00001084824,ENSE00001309213,ENSE00001084800,ENSE00001084865,ENSE00001084820,ENSE00001084866,ENSE00001084863,ENSE00001084839,ENSE00001084873,ENSE00001312504,ENSE00001312804,ENSE00001293425,ENSE00001314288,ENSE00001294544,ENSE00001315483,ENSE00001296065,ENSE00001317010,ENSE00002688830,ENSE00002530935,ENSE00001084833,ENSE00001084870,ENSE00001084803,ENSE00001084801,ENSE00001084816,ENSE00001084862,ENSE00001906623,ENSE00001084857,ENSE00001084847,ENSE00002453097,ENSE00002444292,ENSE00001084799,ENSE00001084845,ENSE00001084869,ENSE00001084798,ENSE00003785443,ENSE00003787093,ENSE00001084831,ENSE00001084796,ENSE00003492180,ENSE00001444982,ENSE00001444981	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	144291829-144291907,144403123-144403184,144421878-144421970,144423549-144423626,144423986-144424078,144426287-144426459,144428778-144428893,144429581-144429741,144435935-144436138,144437565-144437746,144438745-144438895,144440352-144440471,144444281-144444382,144447211-144447318,144447602-144447781,144448600-144448769,144451370-144451493,144453782-144453869,144458770-144459011,144459174-144459354,144461197-144461342,144462654-144462866,144473720-144473833,144474604-144474759,144479812-144479982,144482209-144482388,144485385-144485519,144487548-144487697,144488673-144488834,144490071-144490199,144490929-144491102,144493301-144493456,144499257-144499427,144510944-144511123,144513909-144514037,144514650-144514820,144516229-144516387,144516811-144516948,144521980-144522171,144523016-144523188,144531052-144531202,144533085-144533260,144537582-144537717,144539294-144539443,144542795-144542870,144548640-144548854,144550965-144551082,144554688-144554893,144557157-144557311,144577099-144577288,144678406-144678578,144700087-144700243,144730357-144730486,144748246-144748514,144751806-144751952,144754720-144754798,144757929-144757989,144771907-144771968,144774290-144774364,144781922-144782123,144789194-144789279,144793834-144793991,144797824-144797990,144803036-144803147,144820882-144821018,144827348-144827386,144827611-144827676,144828790-144828855,144835780-144835938,144836301-144836541,144839173-144839284,144840740-144840832,144846805-144846827,144850989-144850997
6	144789261	144797922	1	EF-hand_dom_typ2	131.5	144789261-144789279,144793834-144793991,144797824-144797922	PF09069	http://pfam.sanger.ac.uk/family?acc=PF09069
6	144797938	144803114	1	Znf_ZZ	61.5	144797938-144797990,144803036-144803114	PF00569	http://pfam.sanger.ac.uk/family?acc=PF00569
6	144771950	144789251	1	EF-hand_dom_typ1	131.6	144771950-144771968,144774290-144774364,144781922-144782123,144789194-144789251	PF09068	http://pfam.sanger.ac.uk/family?acc=PF09068
6	144462852	144479841	1	Spectrin_repeat	407.5	144462852-144462866,144473720-144473833,144474604-144474759,144479812-144479841	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144577154	144700099	1	Spectrin_repeat	407.5	144577154-144577288,144678406-144678578,144700087-144700099	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144438761	144444346	1	Spectrin_repeat	407.5	144438761-144438895,144440352-144440471,144444281-144444346	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144436010	144438754	1	Spectrin_repeat	407.5	144436010-144436138,144437565-144437746,144438745-144438754	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144531074	144537585	1	Spectrin_repeat	407.5	144531074-144531202,144533085-144533260,144537582-144537585	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144479860	144485387	1	Spectrin_repeat	407.5	144479860-144479982,144482209-144482388,144485385-144485387	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144548744	144554758	1	Spectrin_repeat	407.5	144548744-144548854,144550965-144551082,144554688-144554758	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144513921	144514817	1	Spectrin_repeat	407.5	144513921-144514037,144514650-144514817	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144499296	144511120	1	Spectrin_repeat	407.5	144499296-144499427,144510944-144511120	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144748380	144754755	1	Spectrin_repeat	407.5	144748380-144748514,144751806-144751952,144754720-144754755	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
6	144426335	144429648	1	CH-domain	146.5	144426335-144426459,144428778-144428893,144429581-144429648	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
6	144403137	144424078	1	CH-domain	146.5	144403137-144403184,144421878-144421970,144423549-144423626,144423986-144424078	PF00307	http://pfam.sanger.ac.uk/family?acc=PF00307
