#>P	ENSG00000254996	ENST00000532219	ENSP00000432016	5	140401968	140549234	1	ANKHD1-EIF4EBP3 readthrough [Source:HGNC Symbol;Acc:HGNC:33530]
#>E	ENSE00002294927,ENSE00003512101,ENSE00003602593,ENSE00003484025,ENSE00003491914,ENSE00003637150,ENSE00003478914,ENSE00003646898,ENSE00003593327,ENSE00003478170,ENSE00003514603,ENSE00003517713,ENSE00003637158,ENSE00003502357,ENSE00003683976,ENSE00003500370,ENSE00003501567,ENSE00003577072,ENSE00003537377,ENSE00003534659,ENSE00003592321,ENSE00003500556,ENSE00003500909,ENSE00003488754,ENSE00003570031,ENSE00003673028,ENSE00003525695,ENSE00003493199,ENSE00003613586,ENSE00003672350,ENSE00003533543,ENSE00003608654,ENSE00003664262,ENSE00003519332,ENSE00003485253,ENSE00003473882	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	140401968-140402273,140436104-140436257,140438461-140438617,140440119-140440266,140440995-140441142,140445742-140445975,140449211-140449305,140458625-140458862,140459164-140459355,140464667-140464776,140482580-140482667,140485121-140485248,140485589-140485732,140486958-140487060,140496520-140497278,140504821-140504966,140505122-140505233,140505724-140505869,140506835-140506977,140507785-140507998,140509637-140509812,140510019-140510181,140512828-140512923,140513363-140513479,140524066-140524240,140525996-140526443,140526928-140527074,140527873-140528022,140528184-140529796,140535362-140535538,140537389-140537589,140538086-140538261,140538919-140539083,140542172-140542281,140548906-140549076,140549234-140549237
5	140527880	140528226	1	KH_dom_type_1	47.2	140527880-140528022,140528184-140528226	PF00013	http://pfam.sanger.ac.uk/family?acc=PF00013
5	140505822	140506978	1	Ankyrin_rpt-contain_dom	489	140505822-140505869,140506835-140506978	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140445933	140458681	1	Ankyrin_rpt-contain_dom	489	140445933-140445975,140449211-140449305,140458625-140458681	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140509757	140512860	1	Ankyrin_rpt-contain_dom	489	140509757-140509812,140510019-140510181,140512828-140512860	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140458697	140459183	1	Ankyrin_rpt-contain_dom	489	140458697-140458862,140459164-140459183	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140440126	140441132	1	Ankyrin_rpt-contain_dom	489	140440126-140440266,140440995-140441132	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140459298	140485137	1	Ankyrin_rpt-contain_dom	489	140459298-140459355,140464667-140464776,140482580-140482667,140485121-140485137	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140504955	140505809	1	Ankyrin_rpt-contain_dom	489	140504955-140504966,140505122-140505233,140505724-140505809	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140441139	140445926	1	Ankyrin_rpt-contain_dom	489	140441139-140441142,140445742-140445926	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140507813	140509726	1	Ankyrin_rpt-contain_dom	489	140507813-140507998,140509637-140509726	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
5	140485150	140485660	1	Ankyrin_rpt-contain_dom	489	140485150-140485248,140485589-140485660	PF12796	http://pfam.sanger.ac.uk/family?acc=PF12796
