#>P	ENSG00000165899	ENST00000458043	ENSP00000400895	12	80209459	80378045	1	otogelin like [Source:HGNC Symbol;Acc:HGNC:26901]
#>E	ENSE00002224512,ENSE00002221966,ENSE00002284217,ENSE00002235775,ENSE00002293662,ENSE00002289309,ENSE00002310029,ENSE00002219724,ENSE00002235715,ENSE00002242147,ENSE00001556151,ENSE00001551735,ENSE00001560506,ENSE00001550765,ENSE00002239814,ENSE00002298694,ENSE00002231578,ENSE00002210608,ENSE00001554691,ENSE00001564078,ENSE00001548124,ENSE00001560764,ENSE00001561907,ENSE00002216449,ENSE00002213206,ENSE00002281326,ENSE00002282991,ENSE00002288006,ENSE00002218161,ENSE00002259235,ENSE00001549907,ENSE00001559410,ENSE00001563704,ENSE00001564187,ENSE00001564115,ENSE00001559315,ENSE00002267288,ENSE00002237616,ENSE00002292709,ENSE00001603158,ENSE00001552020,ENSE00001553313,ENSE00001558841,ENSE00001558543,ENSE00001556720,ENSE00001557937,ENSE00001259590,ENSE00003687623,ENSE00003729953,ENSE00003752109,ENSE00003713410,ENSE00003725411,ENSE00003486997,ENSE00003647856,ENSE00003514534,ENSE00003530794,ENSE00003570572,ENSE00003728989	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	80209459-80209510,80210847-80210886,80211949-80211997,80217598-80217664,80219814-80219912,80222091-80222245,80229257-80229378,80232892-80233097,80238851-80238978,80239333-80239439,80251693-80251799,80252076-80252201,80253466-80253574,80254524-80254570,80255040-80255185,80256337-80256460,80257825-80258002,80261969-80262093,80265001-80265210,80266451-80266616,80267253-80267327,80270102-80270154,80271648-80271810,80278168-80278275,80279028-80279166,80296827-80296961,80302634-80302783,80305576-80305695,80310611-80310727,80313476-80313632,80314305-80314331,80318546-80318713,80320422-80320700,80323723-80323840,80328665-80328744,80329051-80329119,80333005-80333078,80335963-80336140,80336413-80336555,80336797-80336820,80336912-80337004,80339075-80339264,80341948-80342162,80352295-80352436,80353325-80353510,80355736-80355948,80356416-80356520,80356807-80356914,80358248-80358349,80358671-80358775,80358860-80358900,80366574-80366637,80367561-80367739,80368205-80368309,80370570-80370689,80372019-80372064,80377123-80377202,80377848-80378048
12	80318671	80320693	1	AbfB_ABD	30.4	80318671-80318713,80320422-80320693	PF05270	http://pfam.sanger.ac.uk/family?acc=PF05270
12	80336418	80341997	1	VWF_type-D	322.6	80336418-80336555,80336797-80336820,80336912-80337004,80339075-80339264,80341948-80341997	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
12	80279080	80305644	1	VWF_type-D	322.6	80279080-80279166,80296827-80296961,80302634-80302783,80305576-80305644	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
12	80255045	80261984	1	VWF_type-D	322.6	80255045-80255185,80256337-80256460,80257825-80258002,80261969-80261984	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
12	80222123	80233087	1	VWF_type-D	322.6	80222123-80222245,80229257-80229378,80232892-80233087	PF00094	http://pfam.sanger.ac.uk/family?acc=PF00094
12	80353333	80353509	1	TIL_dom	53.4	80353333-80353509	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
12	80266459	80267262	1	TIL_dom	53.4	80266459-80266616,80267253-80267262	PF01826	http://pfam.sanger.ac.uk/family?acc=PF01826
12	80239345	80251792	1	Unchr_dom_Cys-rich	140.7	80239345-80239439,80251693-80251792	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
12	80310680	80313631	1	Unchr_dom_Cys-rich	140.7	80310680-80310727,80313476-80313631	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
12	80342115	80352435	1	Unchr_dom_Cys-rich	140.7	80342115-80342162,80352295-80352435	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
12	80265015	80265209	1	Unchr_dom_Cys-rich	140.7	80265015-80265209	PF08742	http://pfam.sanger.ac.uk/family?acc=PF08742
