#>P	ENSG00000197893	ENST00000369358	ENSP00000358365	10	113588978	113663882	-1	nebulin related anchoring protein [Source:HGNC Symbol;Acc:HGNC:7988]
#>E	ENSE00003329157,ENSE00002510093,ENSE00002521283,ENSE00001261999,ENSE00002481899,ENSE00002504515,ENSE00002533044,ENSE00002468570,ENSE00001261874,ENSE00001261885,ENSE00001262032,ENSE00001262041,ENSE00001261911,ENSE00001262778,ENSE00001188077,ENSE00001802729,ENSE00001711307,ENSE00001678417,ENSE00001642561,ENSE00001737976,ENSE00002476564,ENSE00002489081,ENSE00001647111,ENSE00001714490,ENSE00001795267,ENSE00001715014,ENSE00001630506,ENSE00001700565,ENSE00001592743,ENSE00001693574,ENSE00001777613,ENSE00001710908,ENSE00001716571,ENSE00001646224,ENSE00001775177,ENSE00001686637,ENSE00001677119,ENSE00001754148,ENSE00001652323,ENSE00001667008,ENSE00001739721,ENSE00003714118	0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0	113588975-113589082,113589666-113589797,113590578-113590889,113592194-113592301,113595623-113595727,113597086-113597184,113597969-113598073,113604609-113604920,113605762-113605869,113606178-113606282,113608414-113608512,113610459-113610563,113612234-113612431,113614183-113614296,113614839-113614946,113615712-113615816,113617455-113617553,113620604-113620708,113621869-113622180,113623529-113623636,113624826-113624930,113626047-113626145,113628917-113629021,113629588-113629785,113631509-113631610,113631857-113631964,113633084-113633188,113634112-113634210,113640227-113640331,113641365-113641472,113642934-113643038,113645825-113645941,113646923-113647027,113650037-113650141,113650438-113650545,113651803-113651907,113652935-113653039,113654021-113654125,113657470-113657574,113662679-113662766,113663352-113663446,113663811-113663882
10	113662763	113663867	-1	Znf_LIM	34.8	113662763-113662766,113663352-113663446,113663811-113663867	PF00412	http://pfam.sanger.ac.uk/family?acc=PF00412
10	113614261	113614880	-1	Nebulin_repeat	657	113614261-113614296,113614839-113614880	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113623601	113624870	-1	Nebulin_repeat	657	113623601-113623636,113624826-113624870	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113650510	113651853	-1	Nebulin_repeat	657	113650510-113650545,113651803-113651853	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113645906	113646970	-1	Nebulin_repeat	657	113645906-113645941,113646923-113646970	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113633156	113634162	-1	Nebulin_repeat	657	113633156-113633188,113634112-113634162	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113631929	113633131	-1	Nebulin_repeat	657	113631929-113631964,113633084-113633131	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113622034	113622099	-1	Nebulin_repeat	657	113622034-113622099	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113590746	113590826	-1	Nebulin_repeat	657	113590746-113590826	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113589762	113590631	-1	Nebulin_repeat	657	113589762-113589797,113590578-113590631	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113605846	113606222	-1	Nebulin_repeat	657	113605846-113605869,113606178-113606222	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113631575	113631907	-1	Nebulin_repeat	657	113631575-113631610,113631857-113631907	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	113612396	113614227	-1	Nebulin_repeat	657	113612396-113612431,113614183-113614227	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
