#>P	ENSG00000137642	ENST00000260197	ENSP00000260197	11	121452332	121629560	1	sortilin related receptor 1 [Source:HGNC Symbol;Acc:HGNC:11185]
#>E	ENSE00001134458,ENSE00003683621,ENSE00003478901,ENSE00003641851,ENSE00003514996,ENSE00003606568,ENSE00003571739,ENSE00003533314,ENSE00003585013,ENSE00003582072,ENSE00003548278,ENSE00003463287,ENSE00003650386,ENSE00003615663,ENSE00000991343,ENSE00000991344,ENSE00000991345,ENSE00000991346,ENSE00003463448,ENSE00003546837,ENSE00000532819,ENSE00003533392,ENSE00000532821,ENSE00000748901,ENSE00003504410,ENSE00000991347,ENSE00000991348,ENSE00000991349,ENSE00000991350,ENSE00000991351,ENSE00000991352,ENSE00000991353,ENSE00000991354,ENSE00000991355,ENSE00000991356,ENSE00000991357,ENSE00000991358,ENSE00000991359,ENSE00000991360,ENSE00003515953,ENSE00003602900,ENSE00003520049,ENSE00003541672,ENSE00003493761,ENSE00000991366,ENSE00001100819,ENSE00001283790,ENSE00001314697	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	121452332-121452616,121470007-121470123,121478118-121478243,121488032-121488193,121490043-121490110,121496869-121497049,121513003-121513104,121514152-121514321,121520657-121520849,121522586-121522703,121522916-121522989,121532464-121532552,121543548-121543726,121545243-121545429,121549960-121550088,121550585-121550670,121553937-121554109,121555187-121555318,121557314-121557405,121558591-121558837,121559519-121559657,121566940-121567113,121570157-121570270,121574241-121574363,121577281-121577400,121583458-121583583,121586222-121586329,121588020-121588151,121589259-121589390,121590040-121590174,121591001-121591156,121595623-121595772,121604193-121604324,121605113-121605239,121605402-121605571,121606845-121606957,121607186-121607290,121608104-121608176,121611076-121611158,121612736-121612832,121614871-121615055,121618774-121618893,121619753-121619917,121621064-121621238,121622162-121622268,121625085-121625277,121627555-121627767,121629496-121629563
11	121470121	121543620	1	Sortilin_N	363.5	121470121-121470123,121478118-121478243,121488032-121488193,121490043-121490110,121496869-121497049,121513003-121513104,121514152-121514321,121520657-121520849,121522586-121522703,121522916-121522989,121532464-121532552,121543548-121543620	PF15902	http://pfam.sanger.ac.uk/family?acc=PF15902
11	121605130	121605510	1	FN3_dom	126.4	121605130-121605239,121605402-121605510	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
11	121619828	121621198	1	FN3_dom	126.4	121619828-121619917,121621064-121621198	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
11	121606853	121608142	1	FN3_dom	126.4	121606853-121606957,121607186-121607290,121608104-121608142	PF00041	http://pfam.sanger.ac.uk/family?acc=PF00041
11	121558595	121558714	1	LDLR_classB_rpt	88.1	121558595-121558714	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
11	121555280	121557391	1	LDLR_classB_rpt	88.1	121555280-121555318,121557314-121557391	PF00058	http://pfam.sanger.ac.uk/family?acc=PF00058
11	121543624	121550660	1	Sortilin_C	140.8	121543624-121543726,121545243-121545429,121549960-121550088,121550585-121550660	PF15901	http://pfam.sanger.ac.uk/family?acc=PF15901
11	121590063	121590170	1	LDrepeatLR_classA_rpt	363.1	121590063-121590170	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121583469	121583582	1	LDrepeatLR_classA_rpt	363.1	121583469-121583582	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121574252	121574362	1	LDrepeatLR_classA_rpt	363.1	121574252-121574362	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121595661	121595771	1	LDrepeatLR_classA_rpt	363.1	121595661-121595771	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121586230	121586328	1	LDrepeatLR_classA_rpt	363.1	121586230-121586328	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121570159	121570269	1	LDrepeatLR_classA_rpt	363.1	121570159-121570269	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121577289	121577396	1	LDrepeatLR_classA_rpt	363.1	121577289-121577396	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121591036	121591146	1	LDrepeatLR_classA_rpt	363.1	121591036-121591146	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121604210	121604320	1	LDrepeatLR_classA_rpt	363.1	121604210-121604320	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
11	121589285	121589389	1	LDrepeatLR_classA_rpt	363.1	121589285-121589389	PF00057	http://pfam.sanger.ac.uk/family?acc=PF00057
