#>P	ENSG00000075275	ENST00000262738	ENSP00000262738	22	46363181	46537170	-1	cadherin EGF LAG seven-pass G-type receptor 1 [Source:HGNC Symbol;Acc:HGNC:1850]
#>E	ENSE00001183323,ENSE00000657321,ENSE00003631636,ENSE00003617540,ENSE00000657327,ENSE00000657329,ENSE00001046850,ENSE00000657333,ENSE00000657335,ENSE00000935971,ENSE00000657339,ENSE00003621316,ENSE00000657343,ENSE00000657345,ENSE00001773003,ENSE00001668343,ENSE00000657351,ENSE00000657353,ENSE00000657355,ENSE00000657357,ENSE00000657359,ENSE00000657361,ENSE00000657363,ENSE00000657365,ENSE00000657367,ENSE00000657369,ENSE00000657371,ENSE00000657373,ENSE00000657375,ENSE00000657376,ENSE00000657377,ENSE00000657378,ENSE00001775696,ENSE00000657380,ENSE00001717875	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	46363178-46363187,46363996-46364251,46364512-46364736,46365231-46365380,46365586-46365689,46366386-46366480,46366993-46367118,46367729-46367855,46369179-46369258,46369692-46369804,46372883-46373057,46377061-46377261,46378591-46378717,46380788-46380955,46381846-46382050,46384543-46384686,46386402-46386585,46389290-46389499,46390392-46390486,46391186-46391287,46391633-46391816,46394142-46394262,46396605-46396746,46397674-46397848,46398524-46398637,46399717-46399902,46408996-46409162,46409755-46409880,46410398-46410561,46411602-46411759,46433393-46433481,46436174-46436289,46439189-46439411,46463707-46464345,46533627-46537170
22	46390422	46391279	-1	GPCR_2_extracellular_dom	37	46390422-46390486,46391186-46391279	PF02793	http://pfam.sanger.ac.uk/family?acc=PF02793
22	46439290	46439376	-1	EGF-like_dom	37.1	46439290-46439376	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	46409765	46409857	-1	EGF-like_dom	37.1	46409765-46409857	PF00008	http://pfam.sanger.ac.uk/family?acc=PF00008
22	46391655	46391774	-1	Laminin_EGF	35.6	46391655-46391774	PF00053	http://pfam.sanger.ac.uk/family?acc=PF00053
22	46367107	46377246	-1	GPCR_2_secretin-like	188.6	46367107-46367118,46367729-46367855,46369179-46369258,46369692-46369804,46372883-46373057,46377061-46377246	PF00002	http://pfam.sanger.ac.uk/family?acc=PF00002
22	46397831	46409067	-1	Laminin_G	177.3	46397831-46397848,46398524-46398637,46399717-46399902,46408996-46409067	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
22	46410444	46436288	-1	Laminin_G	177.3	46410444-46410561,46411602-46411759,46433393-46433481,46436174-46436288	PF02210	http://pfam.sanger.ac.uk/family?acc=PF02210
22	46378612	46380819	-1	GPS	47.4	46378612-46378717,46380788-46380819	PF01825	http://pfam.sanger.ac.uk/family?acc=PF01825
22	46380901	46389454	-1	GAIN_dom_N	203.5	46380901-46380955,46381846-46382050,46384543-46384686,46386402-46386585,46389290-46389454	PF16489	http://pfam.sanger.ac.uk/family?acc=PF16489
22	46536142	46536423	-1	Cadherin	535.3	46536142-46536423	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46534831	46535097	-1	Cadherin	535.3	46534831-46535097	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46534201	46534482	-1	Cadherin	535.3	46534201-46534482	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46535506	46535781	-1	Cadherin	535.3	46535506-46535781	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46535137	46535460	-1	Cadherin	535.3	46535137-46535460	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46534525	46534791	-1	Cadherin	535.3	46534525-46534791	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46533901	46534149	-1	Cadherin	535.3	46533901-46534149	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
22	46535821	46536096	-1	Cadherin	535.3	46535821-46536096	PF00028	http://pfam.sanger.ac.uk/family?acc=PF00028
