#>P	ENSG00000197694	ENST00000372739	ENSP00000361824	9	128566741	128633331	1	spectrin alpha, non-erythrocytic 1 [Source:HGNC Symbol;Acc:HGNC:11273]
#>E	ENSE00002729979,ENSE00001783994,ENSE00001627456,ENSE00001767008,ENSE00001750205,ENSE00001693277,ENSE00001796301,ENSE00001679538,ENSE00001597357,ENSE00001740794,ENSE00001651430,ENSE00001613637,ENSE00001790966,ENSE00001683382,ENSE00001704186,ENSE00001611067,ENSE00001612670,ENSE00001777576,ENSE00001776409,ENSE00001627979,ENSE00001768241,ENSE00001628507,ENSE00001697865,ENSE00003507452,ENSE00001742935,ENSE00001636184,ENSE00003475630,ENSE00003589349,ENSE00003545564,ENSE00003578991,ENSE00003658618,ENSE00001749734,ENSE00001720104,ENSE00001654893,ENSE00001729156,ENSE00001783018,ENSE00001644730,ENSE00001771137,ENSE00003679449,ENSE00001697185,ENSE00000806992,ENSE00000730702,ENSE00000730706,ENSE00000806993,ENSE00000730597,ENSE00000730575,ENSE00000730564,ENSE00000730551,ENSE00001215160,ENSE00001752389,ENSE00000730520,ENSE00000730509,ENSE00000730493,ENSE00000730476,ENSE00000806994,ENSE00003762381	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	128566741-128566977,128568772-128568897,128574675-128574815,128575199-128575345,128576823-128576956,128577129-128577273,128577352-128577506,128578110-128578245,128579637-128579738,128580922-128581059,128581782-128581892,128582479-128582556,128582694-128582849,128583077-128583281,128583788-128583969,128584282-128584525,128584721-128584843,128585748-128585965,128587606-128587698,128588809-128588943,128591477-128591625,128592983-128593042,128594175-128594373,128598400-128598504,128598963-128598986,128600080-128600115,128603543-128603590,128604326-128604417,128605034-128605178,128605296-128605477,128607604-128607703,128607852-128608049,128608130-128608276,128608874-128608977,128609122-128609284,128609651-128609665,128611714-128611845,128612109-128612246,128613381-128613485,128615632-128615840,128617640-128617760,128617987-128618108,128618871-128619003,128621158-128621256,128624328-128624487,128625103-128625179,128625769-128625978,128626391-128626687,128627386-128627498,128627925-128627942,128630321-128630375,128632127-128632323,128632431-128632484,128632572-128632718,128632808-128632955,128633209-128633334
9	128588857	128591524	1	SH3_domain	55.1	128588857-128588943,128591477-128591524	PF00018	http://pfam.sanger.ac.uk/family?acc=PF00018
9	128632474	128632847	1	EF_hand_dom	47.4	128632474-128632484,128632572-128632718,128632808-128632847	PF13499	http://pfam.sanger.ac.uk/family?acc=PF13499
9	128584441	128585851	1	Spectrin_repeat	1559.9	128584441-128584525,128584721-128584843,128585748-128585851	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128577502	128580993	1	Spectrin_repeat	1559.9	128577502-128577506,128578110-128578245,128579637-128579738,128580922-128580993	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128618896	128624432	1	Spectrin_repeat	1559.9	128618896-128619003,128621158-128621256,128624328-128624432	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128594245	128598483	1	Spectrin_repeat	1559.9	128594245-128594373,128598400-128598483	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128624442	128625957	1	Spectrin_repeat	1559.9	128624442-128624487,128625103-128625179,128625769-128625957	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128582763	128583804	1	Spectrin_repeat	1559.9	128582763-128582849,128583077-128583281,128583788-128583804	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128627440	128632309	1	Spectrin_repeat	1559.9	128627440-128627498,128627925-128627942,128630321-128630375,128632127-128632309	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128574759	128576924	1	Spectrin_repeat	1559.9	128574759-128574815,128575199-128575345,128576823-128576924	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128581000	128582753	1	Spectrin_repeat	1559.9	128581000-128581059,128581782-128581892,128582479-128582556,128582694-128582753	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128612193	128615784	1	Spectrin_repeat	1559.9	128612193-128612246,128613381-128613485,128615632-128615784	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128626400	128627406	1	Spectrin_repeat	1559.9	128626400-128626687,128627386-128627406	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128605446	128608031	1	Spectrin_repeat	1559.9	128605446-128605477,128607604-128607703,128607852-128608031	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128585858	128588844	1	Spectrin_repeat	1559.9	128585858-128585965,128587606-128587698,128588809-128588844	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128566873	128574749	1	Spectrin_repeat	1559.9	128566873-128566977,128568772-128568897,128574675-128574749	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128608041	128609173	1	Spectrin_repeat	1559.9	128608041-128608049,128608130-128608276,128608874-128608977,128609122-128609173	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128604395	128605439	1	Spectrin_repeat	1559.9	128604395-128604417,128605034-128605178,128605296-128605439	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128609180	128612186	1	Spectrin_repeat	1559.9	128609180-128609284,128609651-128609665,128611714-128611845,128612109-128612186	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128615788	128618889	1	Spectrin_repeat	1559.9	128615788-128615840,128617640-128617760,128617987-128618108,128618871-128618889	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128576937	128577495	1	Spectrin_repeat	1559.9	128576937-128576956,128577129-128577273,128577352-128577495	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128583811	128584431	1	Spectrin_repeat	1559.9	128583811-128583969,128584282-128584431	PF00435	http://pfam.sanger.ac.uk/family?acc=PF00435
9	128632866	128633325	1	EF-hand_Ca_insen	99	128632866-128632955,128633209-128633325	PF08726	http://pfam.sanger.ac.uk/family?acc=PF08726
