#>P	ENSG00000078114	ENST00000377122	ENSP00000366326	10	20785750	20897205	-1	nebulette [Source:HGNC Symbol;Acc:HGNC:16932]
#>E	ENSE00001929333,ENSE00001356059,ENSE00001181266,ENSE00001181271,ENSE00003519602,ENSE00003566768,ENSE00003524096,ENSE00003476132,ENSE00003654874,ENSE00003571725,ENSE00003514832,ENSE00003552999,ENSE00003618308,ENSE00003500196,ENSE00003608477,ENSE00003607379,ENSE00001181353,ENSE00001181355,ENSE00001181358,ENSE00001181363,ENSE00001181368,ENSE00001181370,ENSE00001181373,ENSE00001724137,ENSE00001181379,ENSE00001181381,ENSE00001181384,ENSE00001376454	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	20785747-20785923,20787202-20787308,20808510-20808659,20809806-20809898,20812769-20812940,20813939-20814043,20815625-20815717,20817600-20817692,20819424-20819516,20823208-20823300,20826447-20826539,20828530-20828634,20831196-20831306,20831473-20831583,20835513-20835623,20840739-20840849,20845258-20845368,20850395-20850502,20852545-20852649,20858240-20858344,20859713-20859826,20868664-20868765,20869740-20869841,20880794-20880904,20888097-20888207,20889845-20889949,20896958-20897029,20897125-20897205
10	20785759	20785911	-1	SH3_domain	57	20785759-20785911	PF14604	http://pfam.sanger.ac.uk/family?acc=PF14604
10	20814008	20815672	-1	Nebulin_repeat	486.5	20814008-20814043,20815625-20815672	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20823283	20826497	-1	Nebulin_repeat	486.5	20823283-20823300,20826447-20826497	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20815706	20817650	-1	Nebulin_repeat	486.5	20815706-20815717,20817600-20817650	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20828605	20831246	-1	Nebulin_repeat	486.5	20828605-20828634,20831196-20831246	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20812905	20813989	-1	Nebulin_repeat	486.5	20812905-20812940,20813939-20813989	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20831560	20835563	-1	Nebulin_repeat	486.5	20831560-20831583,20835513-20835563	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20819499	20823258	-1	Nebulin_repeat	486.5	20819499-20819516,20823208-20823258	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20835600	20840780	-1	Nebulin_repeat	486.5	20835600-20835623,20840739-20840780	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20852614	20858296	-1	Nebulin_repeat	486.5	20852614-20852649,20858240-20858296	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20831268	20831523	-1	Nebulin_repeat	486.5	20831268-20831306,20831473-20831523	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20889917	20896996	-1	Nebulin_repeat	486.5	20889917-20889949,20896958-20896996	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20859797	20868708	-1	Nebulin_repeat	486.5	20859797-20859826,20868664-20868708	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20817681	20819474	-1	Nebulin_repeat	486.5	20817681-20817692,20819424-20819474	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20850467	20852595	-1	Nebulin_repeat	486.5	20850467-20850502,20852545-20852595	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
10	20845330	20850442	-1	Nebulin_repeat	486.5	20845330-20845368,20850395-20850442	PF00880	http://pfam.sanger.ac.uk/family?acc=PF00880
