#>P	ENSG00000196967	ENST00000292841	ENSP00000292841	19	37151592	37169910	-1	zinc finger protein 585A [Source:HGNC Symbol;Acc:HGNC:26305]
#>E	ENSE00001298137,ENSE00003683517,ENSE00003540534,ENSE00003689678	0,0,0,0	37151589-37153606,37155865-37155957,37156229-37156355,37169839-37169910
19	37155956	37156352	-1	KRAB	84.7	37155956-37155957,37156229-37156352	PF01352	http://pfam.sanger.ac.uk/family?acc=PF01352
19	37151679	37151747	-1	Znf_C2H2	414.8	37151679-37151747	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37151763	37151831	-1	Znf_C2H2	414.8	37151763-37151831	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37151931	37151999	-1	Znf_C2H2	414.8	37151931-37151999	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152687	37152755	-1	Znf_C2H2	414.8	37152687-37152755	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37153107	37153175	-1	Znf_C2H2	414.8	37153107-37153175	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152099	37152167	-1	Znf_C2H2	414.8	37152099-37152167	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152024	37152083	-1	Znf_C2H2	414.8	37152024-37152083	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37151847	37151915	-1	Znf_C2H2	414.8	37151847-37151915	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152351	37152419	-1	Znf_C2H2	414.8	37152351-37152419	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152939	37153007	-1	Znf_C2H2	414.8	37152939-37153007	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152267	37152335	-1	Znf_C2H2	414.8	37152267-37152335	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
19	37152435	37152503	-1	Znf_C2H2	414.8	37152435-37152503	PF00096	http://pfam.sanger.ac.uk/family?acc=PF00096
